Rank,Country,Export,Import,Total Trade,Trade Balance
"1.","CHINA P RP","11,934.25","60,413.17","72,347.42","-48,478.91"
"2.","U S A","42,448.66","21,814.60","64,263.26","20,634.05"
"3.","U ARAB EMTS","33,028.08","26,139.91","59,167.99","6,888.17"
"4.","SAUDI ARAB","11,161.43","28,107.56","39,268.98","-16,946.13"
"5.","SWITZERLAND","1,068.58","22,133.16","23,201.74","-21,064.58"
"6.","GERMANY","7,537.34","12,787.86","20,325.20","-5,250.52"
"7.","HONG KONG","13,599.88","5,571.99","19,171.87","8,027.89"
"8.","INDONESIA","4,043.32","15,004.64","19,047.96","-10,961.32"
"9.","KOREA RP","4,602.95","13,529.11","18,132.06","-8,926.16"
"10.","MALAYSIA","5,816.55","11,117.74","16,934.29","-5,301.19"
"11.","SINGAPORE","9,809.36","7,124.47","16,933.83","2,684.89"
"12.","NIGERIA","2,681.37","13,682.97","16,364.34","-11,001.60"
"13.","BELGIUM","5,519.47","10,805.92","16,325.39","-5,286.46"
"14.","QATAR","1,054.98","14,604.71","15,659.69","-13,549.74"
"15.","JAPAN","5,385.57","10,131.36","15,516.93","-4,745.79"
"16.","IRAQ","829.32","14,247.66","15,076.98","-13,418.34"
"17.","KUWAIT","1,198.89","13,381.97","14,580.85","-12,183.08"
"18.","U K","9,319.73","5,018.28","14,338.01","4,301.46"
"19.","IRAN","4,175.06","8,955.02","13,130.08","-4,779.96"
"20.","AUSTRALIA","2,782.13","10,247.24","13,029.38","-7,465.11"
"21.","VENEZUELA","258.07","11,729.89","11,987.96","-11,471.82"
"22.","SOUTH AFRICA","5,301.99","6,496.52","11,798.51","-1,194.52"
"23.","UNSPECIFIED","4,161.29","7,562.83","11,724.12","-3,401.54"
"24.","BRAZIL","5,963.82","5,400.91","11,364.73","562.91"
"25.","FRANCE","4,956.66","4,416.08","9,372.73","540.58"
"26.","THAILAND","3,464.83","5,865.88","9,330.71","-2,401.05"
"27.","ITALY","5,092.31","4,231.81","9,324.11","860.50"
"28.","VIETNAM SOC REP","6,257.88","3,003.35","9,261.23","3,254.53"
"29.","NETHERLAND","6,324.72","2,802.90","9,127.63","3,521.82"
"30.","SRI LANKA DSR","6,703.72","756.17","7,459.89","5,947.55"
"31.","BANGLADESH PR","6,451.47","621.37","7,072.84","5,830.10"
"32.","TURKEY","5,358.90","1,463.87","6,822.77","3,895.04"
"33.","RUSSIA","2,097.01","4,249.22","6,346.23","-2,152.21"
"34.","MEXICO","2,861.55","3,393.15","6,254.70","-531.60"
"35.","TAIWAN","2,178.70","4,028.65","6,207.35","-1,849.94"
"36.","CANADA","2,196.00","3,749.42","5,945.42","-1,553.41"
"37.","ISRAEL","3,289.85","2,328.04","5,617.89","961.81"
"38.","NEPAL","4,558.77","639.91","5,198.68","3,918.86"
"39.","ANGOLA","552.64","4,617.64","5,170.29","-4,065.00"
"40.","SPAIN","3,148.12","2,005.20","5,153.32","1,142.92"
"41.","EGYPT A RP","3,025.59","1,741.77","4,767.36","1,283.81"
"42.","KENYA","4,117.93","117.42","4,235.36","4,000.51"
"43.","OMAN","2,379.44","1,752.24","4,131.69","627.20"
"44.","CHILE","565.82","3,080.63","3,646.45","-2,514.81"
"45.","TANZANIA REP","2,484.61","1,089.03","3,573.64","1,395.58"
"46.","COLOMBIA","1,105.15","2,134.94","3,240.08","-1,029.79"
"47.","UKRAINE","348.91","2,238.99","2,587.89","-1,890.08"
"48.","SWEDEN","740.47","1,748.40","2,488.87","-1,007.93"
"49.","ARGENTINA","460.19","1,992.25","2,452.43","-1,532.06"
"50.","MOZAMBIQUE","2,070.84","325.74","2,396.58","1,745.10"
"51.","PAKISTAN IR","1,857.18","497.31","2,354.49","1,359.87"
"52.","JORDAN","1,431.11","857.85","2,288.96","573.26"
"53.","MYANMAR","773.24","1,231.54","2,004.78","-458.30"
"54.","GHANA","680.39","1,257.60","1,938.00","-577.21"
"55.","MAURITIUS","1,909.55","21.19","1,930.74","1,888.36"
"56.","PHILIPPINES","1,395.58","423.04","1,818.62","972.54"
"57.","POLAND","1,050.79","635.60","1,686.39","415.20"
"58.","ALGERIA","1,063.73","551.82","1,615.55","511.92"
"59.","YEMEN REPUBLC","992.13","540.68","1,532.82","451.45"
"60.","SUDAN","882.47","569.66","1,452.13","312.81"
"61.","PERU","819.86","590.40","1,410.25","229.46"
"62.","IRELAND","759.47","533.19","1,292.67","226.28"
"63.","ECUADOR","225.04","1,065.74","1,290.77","-840.70"
"64.","NORWAY","263.41","1,001.11","1,264.52","-737.70"
"65.","MOROCCO","326.31","936.25","1,262.56","-609.93"
"66.","FINLAND","330.18","917.48","1,247.66","-587.30"
"67.","DENMARK","724.24","457.95","1,182.20","266.29"
"68.","AUSTRIA","363.10","815.92","1,179.02","-452.82"
"69.","BOTSWANA","44.46","1,012.89","1,057.35","-968.42"
"70.","GUINEA","283.81","729.69","1,013.50","-445.88"
"71.","CAMEROON","249.13","745.36","994.49","-496.22"
"72.","KAZAKHSTAN","250.68","701.67","952.35","-450.98"
"73.","BAHARAIN IS","472.98","446.25","919.23","26.74"
"74.","NEW ZEALAND","322.10","591.40","913.49","-269.30"
"75.","CZECH REPUBLIC","378.56","517.87","896.43","-139.31"
"76.","TOGO","688.42","195.65","884.07","492.78"
"77.","BRUNEI","41.99","840.88","882.87","-798.89"
"78.","COTE D' IVOIRE","309.75","532.10","841.85","-222.35"
"79.","GABON","42.70","793.06","835.76","-750.36"
"80.","ETHIOPIA","783.13","44.26","827.39","738.87"
"81.","PORTUGAL","636.43","145.05","781.48","491.38"
"82.","EQUTL GUINEA","15.01","749.38","764.40","-734.37"
"83.","SENEGAL","518.75","208.13","726.89","310.62"
"84.","BENIN","497.95","222.12","720.07","275.83"
"85.","ROMANIA","416.79","296.45","713.24","120.33"
"86.","AFGHANISTAN TIS","422.56","261.91","684.47","160.65"
"87.","ZAMBIA","366.59","283.35","649.94","83.24"
"88.","GIBRALTAR","637.83","0.00","637.83","637.83"
"89.","CONGO P REP","252.89","365.52","618.42","-112.63"
"90.","UGANDA","553.93","37.69","591.61","516.24"
"91.","HUNGARY","349.26","239.55","588.81","109.71"
"92.","GREECE","360.84","127.75","488.59","233.09"
"93.","BHUTAN","333.94","149.87","483.81","184.08"
"94.","TUNISIA","249.83","196.19","446.02","53.64"
"95.","DOMINIC REP","140.91","290.66","431.57","-149.74"
"96.","SOMALIA","352.81","38.25","391.05","314.56"
"97.","CONGO D. REP.","254.16","126.45","380.61","127.71"
"98.","BULGARIA","266.45","103.66","370.11","162.79"
"99.","MALTA","327.59","28.42","356.01","299.17"
"100.","SLOVENIA","245.77","104.54","350.31","141.23"
