Rank,Country,Export,Import,Total Trade,Trade Balance
"1.","CHINA P RP","68,250.92","411,103.29","479,354.21","-342,852.37"
"2.","U S A","283,008.01","149,655.40","432,663.40","133,352.61"
"3.","U ARAB EMTS","208,939.49","144,237.12","353,176.61","64,702.37"
"4.","SAUDI ARAB","34,253.90","133,945.75","168,199.65","-99,691.85"
"5.","HONG KONG","94,114.93","54,906.18","149,021.11","39,208.75"
"6.","GERMANY","48,153.70","77,704.41","125,858.11","-29,550.71"
"7.","SWITZERLAND","6,543.02","115,619.29","122,162.31","-109,076.27"
"8.","INDONESIA","23,400.69","90,081.93","113,482.63","-66,681.24"
"9.","KOREA RP","28,436.72","84,404.33","112,841.05","-55,967.61"
"10.","SINGAPORE","64,115.09","47,541.69","111,656.78","16,573.39"
"11.","MALAYSIA","35,049.36","59,881.45","94,930.81","-24,832.09"
"12.","AUSTRALIA","19,827.86","74,864.43","94,692.30","-55,036.57"
"13.","JAPAN","25,786.24","65,414.52","91,200.77","-39,628.28"
"14.","IRAN","15,955.28","70,477.61","86,432.89","-54,522.33"
"15.","IRAQ","7,456.45","78,514.95","85,971.40","-71,058.50"
"16.","BELGIUM","37,915.04","44,395.64","82,310.68","-6,480.60"
"17.","U K","57,181.82","24,583.51","81,765.32","32,598.31"
"18.","FRANCE","35,178.70","38,263.74","73,442.44","-3,085.04"
"19.","VIETNAM SOC REP","45,508.69","22,263.47","67,772.16","23,245.23"
"20.","UNSPECIFIED","16,554.58","49,156.73","65,711.31","-32,602.15"
"21.","NIGERIA","11,825.97","51,374.53","63,200.50","-39,548.56"
"22.","SOUTH AFRICA","23,777.98","39,116.93","62,894.91","-15,338.96"
"23.","ITALY","32,857.90","26,128.45","58,986.35","6,729.46"
"24.","THAILAND","21,012.42","36,313.08","57,325.49","-15,300.66"
"25.","QATAR","5,261.64","51,275.96","56,537.61","-46,014.32"
"26.","BANGLADESH PR","45,740.44","4,707.73","50,448.17","41,032.71"
"27.","RUSSIA","12,985.32","37,180.34","50,165.66","-24,195.01"
"28.","NETHERLAND","34,017.04","12,729.48","46,746.52","21,287.56"
"29.","BRAZIL","16,097.48","27,652.62","43,750.09","-11,555.14"
"30.","MEXICO","23,205.59","19,776.12","42,981.71","3,429.47"
"31.","CANADA","13,435.85","27,726.11","41,161.97","-14,290.26"
"32.","KUWAIT","10,046.66","29,899.05","39,945.71","-19,852.39"
"33.","NEPAL","36,579.79","2,985.06","39,564.86","33,594.73"
"34.","TURKEY","31,030.80","8,096.61","39,127.42","22,934.19"
"35.","VENEZUELA","416.15","36,964.29","37,380.44","-36,548.14"
"36.","SPAIN","22,964.39","13,223.13","36,187.52","9,741.26"
"37.","TAIWAN","14,666.04","21,076.30","35,742.34","-6,410.26"
"38.","ISRAEL","20,698.04","13,147.33","33,845.37","7,550.72"
"39.","SRI LANKA DSR","26,232.77","4,039.73","30,272.50","22,193.04"
"40.","OMAN","18,262.17","8,657.49","26,919.67","9,604.68"
"41.","EGYPT A RP","13,855.13","7,810.43","21,665.56","6,044.71"
"42.","ARGENTINA","3,423.82","16,763.00","20,186.82","-13,339.18"
"43.","UKRAINE","2,080.06","16,656.92","18,736.98","-14,576.86"
"44.","ANGOLA","1,037.21","17,406.17","18,443.38","-16,368.96"
"45.","TANZANIA REP","11,966.56","6,369.95","18,336.51","5,596.61"
"46.","GHANA","4,565.86","13,015.36","17,581.22","-8,449.50"
"47.","KENYA","14,714.68","699.15","15,413.82","14,015.53"
"48.","PAKISTAN IR","12,222.35","3,048.77","15,271.12","9,173.58"
"49.","MYANMAR","7,435.07","7,156.12","14,591.19","278.96"
"50.","PHILIPPINES","9,932.78","3,317.87","13,250.65","6,614.91"
"51.","CHILE","4,521.88","8,229.21","12,751.09","-3,707.33"
"52.","POLAND","8,030.30","4,637.16","12,667.46","3,393.14"
"53.","SWEDEN","4,754.08","7,788.20","12,542.28","-3,034.12"
"54.","PERU","4,668.29","7,227.12","11,895.41","-2,558.83"
"55.","MOZAMBIQUE","6,778.15","3,662.36","10,440.50","3,115.79"
"56.","ALGERIA","5,643.44","4,055.42","9,698.86","1,588.02"
"57.","BOTSWANA","516.86","8,766.27","9,283.14","-8,249.41"
"58.","COLOMBIA","5,259.85","3,985.00","9,244.85","1,274.85"
"59.","JORDAN","3,504.35","5,556.11","9,060.46","-2,051.76"
"60.","AUSTRIA","2,568.60","6,084.98","8,653.58","-3,516.38"
"61.","FINLAND","1,809.17","6,791.93","8,601.10","-4,982.76"
"62.","DENMARK","4,647.10","3,230.84","7,877.94","1,416.26"
"63.","MOROCCO","2,507.09","5,322.01","7,829.11","-2,814.92"
"64.","CZECH REPUBLIC","3,577.49","3,617.61","7,195.09","-40.12"
"65.","IRELAND","3,255.36","3,528.14","6,783.50","-272.79"
"66.","SUDAN","5,021.01","1,636.61","6,657.62","3,384.40"
"67.","ZAMBIA","1,589.46","4,991.02","6,580.47","-3,401.56"
"68.","SENEGAL","4,246.47","2,117.86","6,364.33","2,128.61"
"69.","MAURITIUS","5,919.74","123.06","6,042.80","5,796.68"
"70.","DOMINIC REP","1,509.17","4,514.77","6,023.94","-3,005.61"
"71.","COTE D' IVOIRE","2,811.67","3,056.20","5,867.87","-244.54"
"72.","ETHIOPIA","5,186.47","449.02","5,635.48","4,737.45"
"73.","BHUTAN","3,413.54","2,062.99","5,476.53","1,350.55"
"74.","NEW ZEALAND","2,077.04","3,385.25","5,462.29","-1,308.20"
"75.","NORWAY","1,642.48","3,816.46","5,458.93","-2,173.98"
"76.","PORTUGAL","4,489.55","946.41","5,435.96","3,543.14"
"77.","EQUTL GUINEA","75.34","5,352.56","5,427.89","-5,277.22"
"78.","AFGHANISTAN TIS","3,396.82","1,967.47","5,364.29","1,429.34"
"79.","BAHARAIN IS","3,162.59","1,950.85","5,113.44","1,211.73"
"80.","BRUNEI","287.21","4,208.47","4,495.68","-3,921.26"
"81.","BENIN","3,001.25","1,391.30","4,392.55","1,609.95"
"82.","KAZAKHSTAN","810.84","3,473.77","4,284.61","-2,662.93"
"83.","GUINEA","2,378.89","1,874.43","4,253.32","504.46"
"84.","HUNGARY","2,725.07","1,466.34","4,191.41","1,258.73"
"85.","ROMANIA","1,726.04","2,127.95","3,853.99","-401.91"
"86.","UGANDA","3,315.46","461.73","3,777.19","2,853.73"
"87.","ECUADOR","1,326.48","2,384.36","3,710.84","-1,057.88"
"88.","SOMALIA","3,379.01","118.60","3,497.61","3,260.40"
"89.","CAMEROON","998.24","2,411.24","3,409.48","-1,412.99"
"90.","AZERBAIJAN","270.54","3,104.95","3,375.48","-2,834.41"
"91.","GREECE","2,550.16","818.82","3,368.98","1,731.34"
"92.","TOGO","2,116.38","928.95","3,045.33","1,187.43"
"93.","YEMEN REPUBLC","2,989.52","32.34","3,021.86","2,957.18"
"94.","PANAMA REPUBLIC","1,476.47","1,352.53","2,829.00","123.95"
"95.","BULGARIA","1,605.06","1,220.08","2,825.14","384.99"
"96.","BURKINA FASO","771.13","1,715.04","2,486.17","-943.90"
"97.","TUNISIA","1,712.47","768.59","2,481.05","943.88"
"98.","LITHUANIA","643.68","1,819.25","2,462.93","-1,175.56"
"99.","SLOVENIA","1,686.50","681.86","2,368.36","1,004.65"
"100.","MADAGASCAR","1,428.37","802.47","2,230.84","625.90"
"101.","CONGO P REP","909.69","1,049.38","1,959.08","-139.69"
"102.","CONGO D. REP.","1,335.24","575.87","1,911.11","759.37"
"103.","DJIBOUTI","1,879.76","18.97","1,898.73","1,860.79"
"104.","PARAGUAY","838.80","1,041.60","1,880.40","-202.80"
"105.","BAHAMAS","39.82","1,727.65","1,767.47","-1,687.83"
"106.","GUATEMALA","1,617.32","145.51","1,762.82","1,471.81"
"107.","TRINIDAD","566.91","1,164.33","1,731.24","-597.42"
"108.","BOLIVIA","532.59","1,166.55","1,699.14","-633.96"
"109.","LEBANON","1,412.06","202.53","1,614.59","1,209.54"
"110.","GUINEA BISSAU","145.20","1,442.65","1,587.85","-1,297.45"
"111.","LAO PD RP","172.21","1,390.72","1,562.93","-1,218.50"
"112.","MALAWI","1,195.24","277.85","1,473.09","917.39"
"113.","COSTA RICA","1,068.57","394.24","1,462.81","674.34"
"114.","SLOVAK REP","979.51","459.56","1,439.07","519.95"
"115.","BELARUS","269.30","1,142.93","1,412.24","-873.63"
"116.","CHAD","258.04","1,138.40","1,396.44","-880.35"
"117.","MALDIVES","1,325.20","61.50","1,386.70","1,263.70"
"118.","MALI","722.87","662.10","1,384.97","60.76"
"119.","URUGUAY","1,262.65","90.43","1,353.08","1,172.21"
"120.","ESTONIA","654.12","687.06","1,341.18","-32.93"
"121.","ZIMBABWE","731.15","406.16","1,137.31","324.99"
"122.","MALTA","922.33","150.07","1,072.40","772.26"
"123.","HONDURAS","904.47","148.92","1,053.38","755.55"
"124.","PUERTO RICO","708.91","334.75","1,043.67","374.16"
"125.","LATVIA","775.75","266.25","1,042.00","509.50"
"126.","UZBEKISTAN","728.53","312.02","1,040.55","416.51"
"127.","SYRIA","816.76","216.39","1,033.15","600.37"
"128.","LIBERIA","978.84","51.46","1,030.30","927.38"
"129.","CROATIA","831.11","170.03","1,001.14","661.09"
"130.","PAPUA N GNA","243.15","725.50","968.65","-482.35"
"131.","CAMBODIA","704.96","242.14","947.09","462.82"
"132.","NAMIBIA","602.77","337.68","940.45","265.08"
"133.","CYPRUS","480.36","444.83","925.19","35.53"
"134.","KOREA DP RP","300.64","591.71","892.35","-291.07"
"135.","LIBYA","804.57","50.01","854.59","754.56"
"136.","GEORGIA","608.84","211.46","820.30","397.39"
"137.","GABON","290.43","466.22","756.65","-175.79"
"138.","SIERRA LEONE","628.07","82.03","710.10","546.05"
"139.","GAMBIA","417.73","289.57","707.30","128.16"
"140.","NETHERLANDANTIL","255.39","445.74","701.13","-190.36"
"141.","RWANDA","590.33","7.90","598.23","582.42"
"142.","NICARAGUA","578.25","17.61","595.86","560.64"
"143.","NIGER","544.94","0.20","545.13","544.74"
"144.","TURKMENISTAN","386.63","142.86","529.49","243.77"
"145.","SWAZILAND","265.05","263.50","528.55","1.54"
"146.","SERBIA","335.63","182.59","518.23","153.04"
"147.","MAURITANIA","442.26","73.47","515.73","368.79"
"148.","HAITI","479.09","24.21","503.29","454.88"
"149.","EL SALVADOR","405.06","38.71","443.77","366.35"
"150.","LESOTHO","222.33","167.18","389.51","55.15"
"151.","LUXEMBOURG","77.02","309.59","386.62","-232.57"
"152.","SOLOMON IS","15.43","363.54","378.97","-348.11"
"153.","SURINAME","70.40","308.55","378.95","-238.15"
"154.","REUNION","275.88","93.27","369.15","182.62"
"155.","FIJI IS","351.77","4.00","355.77","347.77"
"156.","COMOROS","139.11","172.74","311.85","-33.63"
"157.","JAMAICA","288.49","7.84","296.34","280.65"
"158.","CUBA","279.61","8.79","288.40","270.83"
"159.","TAJIKISTAN","137.08","146.39","283.47","-9.31"
"160.","ERITREA","21.55","242.24","263.79","-220.68"
"161.","MACEDONIA","99.86","161.59","261.45","-61.73"
"162.","BURUNDI","240.27","10.69","250.97","229.58"
"163.","SEYCHELLES","241.10","6.22","247.32","234.89"
"164.","MONTENEGRO","243.56","0.36","243.92","243.20"
"165.","GUYANA","134.50","96.73","231.23","37.77"
"166.","ALBANIA","177.12","43.75","220.88","133.37"
"167.","NEW CALEDONIA","54.36","161.09","215.45","-106.74"
"168.","KYRGHYZSTAN","203.84","10.01","213.85","193.83"
"169.","ARMENIA","203.27","7.04","210.31","196.22"
"170.","ICELAND","112.10","31.57","143.67","80.52"
"171.","MOLDOVA","45.00","78.53","123.53","-33.53"
"172.","BOSNIA-HRZGOVIN","87.94","22.27","110.21","65.67"
"173.","BELIZE","102.23","3.49","105.72","98.75"
"174.","BARBADOS","82.94","1.21","84.15","81.73"
"175.","ARUBA","53.07","28.50","81.58","24.57"
"176.","MONGOLIA","65.52","13.35","78.87","52.17"
"177.","C AFRI REP","68.98","2.54","71.52","66.44"
