Rank,Country,Export,Import,Total Trade,Trade Balance
"1.","CHINA P RP","10,171.89","61,283.03","71,454.93","-51,111.14"
"2.","U S A","42,212.27","22,307.44","64,519.71","19,904.83"
"3.","U ARAB EMTS","31,175.50","21,509.83","52,685.33","9,665.67"
"4.","SAUDI ARAB","5,110.28","19,972.40","25,082.68","-14,862.11"
"5.","HONG KONG","14,047.24","8,204.18","22,251.42","5,843.06"
"6.","GERMANY","7,181.61","11,583.67","18,765.27","-4,402.06"
"7.","SWITZERLAND","978.06","17,248.68","18,226.74","-16,270.62"
"8.","INDONESIA","3,488.12","13,427.99","16,916.11","-9,939.87"
"9.","KOREA RP","4,241.42","12,585.35","16,826.78","-8,343.93"
"10.","SINGAPORE","9,564.58","7,086.57","16,651.15","2,478.01"
"11.","MALAYSIA","5,224.86","8,933.59","14,158.45","-3,708.74"
"12.","AUSTRALIA","2,957.79","11,154.48","14,112.27","-8,196.68"
"13.","JAPAN","3,845.73","9,754.64","13,600.37","-5,908.90"
"14.","IRAN","2,379.61","10,506.51","12,886.12","-8,126.89"
"15.","IRAQ","1,111.45","11,707.94","12,819.39","-10,596.50"
"16.","BELGIUM","5,656.89","6,624.63","12,281.52","-967.74"
"17.","U K","8,530.07","3,664.96","12,195.03","4,865.11"
"18.","FRANCE","5,250.05","5,707.77","10,957.82","-457.72"
"19.","VIETNAM SOC REP","6,786.56","3,320.56","10,107.12","3,466.00"
"20.","UNSPECIFIED","2,470.14","7,343.64","9,813.78","-4,873.50"
"21.","NIGERIA","1,764.11","7,659.48","9,423.59","-5,895.37"
"22.","SOUTH AFRICA","3,545.95","5,833.75","9,379.71","-2,287.80"
"23.","ITALY","4,902.18","3,895.01","8,797.18","1,007.17"
"24.","THAILAND","3,133.44","5,415.40","8,548.84","-2,281.96"
"25.","QATAR","784.56","7,646.22","8,430.78","-6,861.66"
"26.","BANGLADESH PR","6,820.11","701.68","7,521.79","6,118.42"
"27.","RUSSIA","1,937.06","5,552.30","7,489.36","-3,615.25"
"28.","NETHERLAND","5,069.69","1,895.71","6,965.40","3,173.98"
"29.","BRAZIL","2,400.46","4,114.69","6,515.15","-1,714.22"
"30.","MEXICO","3,460.98","2,944.52","6,405.50","516.47"
"31.","CANADA","2,004.12","4,131.52","6,135.64","-2,127.40"
"32.","KUWAIT","1,497.99","4,462.28","5,960.27","-2,964.29"
"33.","NEPAL","5,453.59","445.13","5,898.72","5,008.46"
"34.","TURKEY","4,626.59","1,207.31","5,833.90","3,419.29"
"35.","VENEZUELA","62.22","5,512.06","5,574.28","-5,449.83"
"36.","SPAIN","3,424.99","1,968.77","5,393.76","1,456.22"
"37.","TAIWAN","2,183.64","3,142.89","5,326.52","-959.25"
"38.","ISRAEL","3,087.16","1,961.12","5,048.28","1,126.05"
"39.","SRI LANKA DSR","3,913.15","602.20","4,515.35","3,310.95"
"40.","OMAN","2,728.30","1,290.50","4,018.79","1,437.80"
"41.","EGYPT A RP","2,067.35","1,163.77","3,231.12","903.58"
"42.","ARGENTINA","510.72","2,500.75","3,011.47","-1,990.03"
"43.","UKRAINE","310.16","2,481.47","2,791.63","-2,171.31"
"44.","ANGOLA","154.63","2,596.49","2,751.12","-2,441.86"
"45.","TANZANIA REP","1,783.57","948.49","2,732.06","835.08"
"46.","GHANA","681.03","1,938.54","2,619.57","-1,257.52"
"47.","KENYA","2,194.29","104.36","2,298.64","2,089.93"
"48.","PAKISTAN IR","1,821.87","454.49","2,276.36","1,367.38"
"49.","MYANMAR","1,107.89","1,067.25","2,175.14","40.64"
"50.","PHILIPPINES","1,482.52","494.62","1,977.13","987.90"
"51.","CHILE","674.34","1,226.34","1,900.67","-552.00"
"52.","POLAND","1,197.81","690.98","1,888.78","506.83"
"53.","SWEDEN","708.93","1,161.12","1,870.05","-452.19"
"54.","PERU","696.42","1,076.69","1,773.12","-380.27"
"55.","MOZAMBIQUE","1,009.97","546.29","1,556.26","463.69"
"56.","ALGERIA","841.89","605.12","1,447.01","236.77"
"57.","BOTSWANA","77.12","1,307.39","1,384.51","-1,230.28"
"58.","COLOMBIA","784.50","593.96","1,378.47","190.54"
"59.","JORDAN","522.41","828.24","1,350.65","-305.84"
"60.","AUSTRIA","383.16","908.34","1,291.50","-525.19"
"61.","FINLAND","269.74","1,011.67","1,281.42","-741.93"
"62.","DENMARK","692.94","481.55","1,174.50","211.39"
"63.","MOROCCO","373.91","792.93","1,166.84","-419.02"
"64.","CZECH REPUBLIC","533.14","539.25","1,072.39","-6.11"
"65.","IRELAND","485.28","525.82","1,011.11","-40.54"
"66.","SUDAN","748.71","245.15","993.86","503.56"
"67.","ZAMBIA","237.21","743.90","981.11","-506.69"
"68.","SENEGAL","634.10","315.85","949.95","318.25"
"69.","DOMINIC REP","224.98","674.86","899.83","-449.88"
"70.","MAURITIUS","881.38","18.37","899.75","863.01"
"71.","COTE D' IVOIRE","418.66","455.81","874.47","-37.16"
"72.","ETHIOPIA","773.50","67.07","840.57","706.44"
"73.","BHUTAN","509.28","307.82","817.10","201.46"
"74.","NEW ZEALAND","309.66","504.44","814.10","-194.78"
"75.","NORWAY","244.89","566.79","811.68","-321.89"
"76.","PORTUGAL","669.66","141.16","810.82","528.50"
"77.","EQUTL GUINEA","11.24","797.85","809.10","-786.61"
"78.","AFGHANISTAN TIS","506.34","292.90","799.24","213.44"
"79.","BAHARAIN IS","471.71","290.69","762.40","181.02"
"80.","BRUNEI","42.88","627.85","670.73","-584.96"
"81.","BENIN","447.89","207.40","655.28","240.49"
"82.","KAZAKHSTAN","120.88","521.29","642.16","-400.41"
"83.","GUINEA","354.95","279.20","634.15","75.75"
"84.","HUNGARY","406.29","218.78","625.07","187.51"
"85.","ROMANIA","257.55","317.36","574.91","-59.80"
"86.","UGANDA","494.48","68.93","563.41","425.55"
"87.","ECUADOR","197.73","355.99","553.73","-158.26"
"88.","SOMALIA","504.04","17.70","521.74","486.34"
"89.","CAMEROON","148.79","359.11","507.90","-210.33"
"90.","GREECE","381.07","121.95","503.02","259.13"
"91.","AZERBAIJAN","40.27","461.67","501.93","-421.40"
"92.","TOGO","315.70","138.42","454.12","177.27"
"93.","YEMEN REPUBLC","446.13","4.81","450.94","441.31"
"94.","PANAMA REPUBLIC","220.21","201.83","422.04","18.38"
"95.","BULGARIA","239.53","182.22","421.75","57.31"
"96.","BURKINA FASO","114.94","256.42","371.36","-141.48"
"97.","TUNISIA","255.42","114.80","370.21","140.62"
"98.","LITHUANIA","95.99","271.16","367.15","-175.17"
"99.","SLOVENIA","251.61","101.68","353.28","149.93"
"100.","MADAGASCAR","213.70","119.82","333.51","93.88"
"101.","CONGO P REP","135.82","156.52","292.34","-20.69"
"102.","CONGO D. REP.","199.19","85.92","285.10","113.27"
"103.","DJIBOUTI","280.41","2.82","283.24","277.59"
"104.","PARAGUAY","125.03","155.28","280.31","-30.24"
"105.","BAHAMAS","5.93","258.82","264.76","-252.89"
"106.","GUATEMALA","241.23","21.70","262.93","219.53"
"107.","TRINIDAD","84.53","173.54","258.07","-89.01"
"108.","BOLIVIA","79.52","173.54","253.06","-94.02"
"109.","LEBANON","210.65","30.21","240.86","180.44"
"110.","GUINEA BISSAU","21.66","215.67","237.32","-194.01"
"111.","LAO PD RP","25.72","207.38","233.10","-181.65"
"112.","MALAWI","178.42","41.33","219.76","137.09"
"113.","COSTA RICA","159.31","58.83","218.15","100.48"
"114.","SLOVAK REP","146.15","68.53","214.68","77.62"
"115.","BELARUS","40.16","170.57","210.73","-130.41"
"116.","CHAD","38.52","169.36","207.88","-130.84"
"117.","MALDIVES","197.79","9.17","206.97","188.62"
"118.","MALI","107.70","99.23","206.94","8.47"
"119.","URUGUAY","187.80","13.45","201.25","174.35"
"120.","ESTONIA","97.50","102.47","199.96","-4.97"
"121.","ZIMBABWE","109.08","60.46","169.54","48.63"
"122.","MALTA","137.23","22.37","159.60","114.86"
"123.","HONDURAS","134.97","22.16","157.13","112.81"
"124.","PUERTO RICO","105.87","49.99","155.86","55.88"
"125.","UZBEKISTAN","108.97","46.54","155.51","62.43"
"126.","LATVIA","115.60","39.65","155.25","75.95"
"127.","SYRIA","121.74","32.25","153.99","89.49"
"128.","LIBERIA","146.30","7.65","153.96","138.65"
"129.","CROATIA","124.13","25.36","149.49","98.77"
"130.","PAPUA N GNA","36.28","108.06","144.34","-71.78"
"131.","CAMBODIA","105.06","36.10","141.16","68.95"
"132.","NAMIBIA","89.88","50.31","140.20","39.57"
"133.","CYPRUS","71.77","66.59","138.35","5.18"
"134.","KOREA DP RP","44.84","88.59","133.43","-43.75"
"135.","LIBYA","120.05","7.45","127.50","112.60"
"136.","GEORGIA","90.93","31.52","122.45","59.41"
"137.","GABON","43.34","69.46","112.80","-26.12"
"138.","SIERRA LEONE","93.71","12.23","105.94","81.48"
"139.","GAMBIA","62.38","43.20","105.58","19.18"
"140.","NETHERLANDANTIL","38.12","66.70","104.82","-28.58"
"141.","RWANDA","88.05","1.18","89.23","86.87"
"142.","NICARAGUA","86.33","2.62","88.96","83.71"
"143.","NIGER","81.24","0.03","81.27","81.21"
"144.","TURKMENISTAN","57.60","21.32","78.92","36.28"
"145.","SWAZILAND","39.56","39.24","78.80","0.32"
"146.","SERBIA","50.07","27.24","77.30","22.83"
"147.","MAURITANIA","65.98","10.95","76.93","55.03"
"148.","HAITI","71.44","3.61","75.05","67.82"
"149.","EL SALVADOR","60.45","5.77","66.21","54.68"
"150.","LESOTHO","33.18","24.91","58.09","8.27"
"151.","LUXEMBOURG","11.48","46.08","57.56","-34.60"
"152.","SURINAME","10.50","45.92","56.42","-35.42"
"153.","SOLOMON IS","2.31","53.96","56.27","-51.66"
"154.","REUNION","41.16","13.90","55.07","27.26"
"155.","FIJI IS","52.52","0.60","53.12","51.93"
"156.","COMOROS","20.78","25.65","46.43","-4.87"
"157.","JAMAICA","43.01","1.17","44.18","41.83"
"158.","CUBA","41.79","1.31","43.10","40.48"
"159.","TAJIKISTAN","20.44","21.82","42.26","-1.39"
"160.","ERITREA","3.22","36.41","39.63","-33.19"
"161.","MACEDONIA","14.88","24.13","39.02","-9.25"
"162.","BURUNDI","35.98","1.60","37.58","34.38"
"163.","SEYCHELLES","35.96","0.93","36.88","35.03"
"164.","MONTENEGRO","36.37","0.05","36.42","36.31"
"165.","GUYANA","20.07","14.48","34.55","5.58"
"166.","ALBANIA","26.45","6.50","32.95","19.95"
"167.","NEW CALEDONIA","8.09","23.98","32.08","-15.89"
"168.","KYRGHYZSTAN","30.44","1.48","31.93","28.96"
"169.","ARMENIA","30.33","1.05","31.38","29.27"
"170.","ICELAND","16.72","4.68","21.40","12.04"
"171.","MOLDOVA","6.71","11.73","18.45","-5.02"
"172.","BOSNIA-HRZGOVIN","13.10","3.32","16.43","9.78"
"173.","BELIZE","15.23","0.52","15.75","14.71"
"174.","BARBADOS","12.35","0.18","12.53","12.17"
"175.","ARUBA","7.91","4.27","12.18","3.64"
"176.","MONGOLIA","9.78","1.99","11.77","7.78"
"177.","C AFRI REP","10.29","0.38","10.67","9.91"
"178.","VIRGIN IS US","5.33","4.53","9.86","0.80"
"179.","MACAO","1.51","7.91","9.42","-6.40"
"180.","MARSHALL ISLAND","0.14","8.71","8.86","-8.57"
"181.","SAMOA","1.77","6.30","8.07","-4.52"
"182.","BR VIRGN IS","0.41","6.72","7.14","-6.31"
"183.","CAYMAN IS","4.74","0.02","4.76","4.72"
"184.","ST LUCIA","4.32","0.24","4.56","4.09"
"185.","BERMUDA","4.20","0.02","4.21","4.18"
"186.","FR POLYNESIA","4.13","0.01","4.14","4.12"
"187.","SOUTH SUDAN","3.24","0.18","3.42","3.07"
"188.","DOMINICA","2.46","0.77","3.23","1.68"
"189.","CAPE VERDE IS","1.25","1.90","3.15","-0.65"
"190.","ST KITT N A","3.09","0.01","3.10","3.09"
"191.","GRENADA","3.02","0.06","3.09","2.96"
"192.","FR GUIANA","1.47","1.45","2.92","0.02"
"193.","MONACO","1.53","1.11","2.65","0.42"
"194.","NAURU RP","2.53","0.04","2.56","2.49"
"195.","TIMOR LESTE","2.31","0.17","2.48","2.13"
"196.","ANTIGUA","1.97","0.00","1.98","1.97"
"197.","US MINOR OUTLYING ISLANDS","1.08","0.56","1.64","0.52"
"198.","LIECHTENSTEIN","0.73","0.86","1.59","-0.12"
"199.","TONGA","1.21","0.05","1.26","1.16"
"200.","SAO TOME","0.92","0.02","0.95","0.90"
"201.","TURKS C IS","0.78","0.03","0.82","0.75"
