Rank,Country,Export,Import,Total Trade,Trade Balance
"1.","U S A","17,353.06","9,454.74","26,807.80","7,898.32"
"2.","UNSPECIFIED","191.85","24,807.23","24,999.08","-24,615.38"
"3.","CHINA P RP","6,759.10","10,868.05","17,627.15","-4,108.95"
"4.","U ARAB EMTS","8,591.79","4,354.08","12,945.87","4,237.71"
"5.","GERMANY","3,586.12","6,023.63","9,609.75","-2,437.51"
"6.","U K","5,059.28","3,930.30","8,989.58","1,128.98"
"7.","SINGAPORE","5,425.29","3,353.77","8,779.06","2,071.51"
"8.","BELGIUM","2,871.23","4,725.14","7,596.37","-1,853.90"
"9.","SWITZERLAND","479.52","6,555.80","7,035.32","-6,076.28"
"10.","HONG KONG","4,471.32","2,206.98","6,678.30","2,264.34"
"11.","JAPAN","2,481.26","4,061.10","6,542.35","-1,579.84"
"12.","KOREA RP","1,827.21","4,563.85","6,391.06","-2,736.64"
"13.","FRANCE","2,079.59","4,113.30","6,192.89","-2,033.71"
"14.","AUSTRALIA","821.23","4,947.91","5,769.14","-4,126.69"
"15.","INDONESIA","1,380.20","3,008.11","4,388.31","-1,627.91"
"16.","ITALY","2,519.04","1,855.63","4,374.67","663.41"
"17.","SOUTH AFRICA","1,526.87","2,471.80","3,998.67","-944.93"
"18.","MALAYSIA","1,161.86","2,415.61","3,577.47","-1,253.74"
"19.","NETHERLAND","2,474.78","1,049.55","3,524.33","1,425.23"
"20.","SAUDI ARAB","1,809.77","1,632.34","3,442.11","177.43"
"21.","RUSSIA","733.15","2,022.19","2,755.33","-1,289.04"
"22.","SRI LANKA DSR","2,024.67","577.70","2,602.37","1,446.97"
"23.","THAILAND","1,075.31","1,211.58","2,286.89","-136.28"
"24.","ISRAEL","1,201.50","1,031.19","2,232.68","170.31"
"25.","SPAIN","1,605.66","573.46","2,179.13","1,032.20"
"26.","TAIWAN","629.05","1,382.96","2,012.01","-753.91"
"27.","BRAZIL","1,090.61","893.06","1,983.67","197.56"
"28.","CANADA","1,021.58","919.87","1,941.44","101.71"
"29.","IRAN","1,188.35","702.46","1,890.81","485.89"
