Rank,Country,Export,Import,Total Trade,Trade Balance
"1.","U S A","76,828.08","41,859.45","118,687.54","34,968.63"
"2.","UNSPECIFIED","849.40","109,830.29","110,679.68","-108,980.89"
"3.","CHINA P RP","29,924.91","48,116.65","78,041.57","-18,191.74"
"4.","U ARAB EMTS","38,038.85","19,277.03","57,315.88","18,761.81"
"5.","GERMANY","15,877.02","26,668.73","42,545.75","-10,791.71"
"6.","U K","22,399.21","17,400.81","39,800.02","4,998.39"
"7.","SINGAPORE","24,019.65","14,848.33","38,867.99","9,171.32"
"8.","BELGIUM","12,711.96","20,919.83","33,631.79","-8,207.88"
"9.","SWITZERLAND","2,123.01","29,024.82","31,147.83","-26,901.81"
"10.","HONG KONG","19,796.10","9,771.08","29,567.18","10,025.03"
"11.","JAPAN","10,985.39","17,979.90","28,965.30","-6,994.51"
"12.","KOREA RP","8,089.70","20,205.77","28,295.47","-12,116.07"
"13.","FRANCE","9,207.08","18,211.01","27,418.09","-9,003.94"
"14.","AUSTRALIA","3,635.86","21,906.15","25,542.01","-18,270.29"
"15.","INDONESIA","6,110.63","13,317.96","19,428.59","-7,207.32"
"16.","ITALY","11,152.67","8,215.53","19,368.20","2,937.15"
"17.","SOUTH AFRICA","6,760.00","10,943.53","17,703.53","-4,183.52"
"18.","MALAYSIA","5,143.98","10,694.73","15,838.71","-5,550.75"
"19.","NETHERLAND","10,956.72","4,646.73","15,603.45","6,309.99"
"20.","SAUDI ARAB","8,012.48","7,226.93","15,239.41","785.55"
"21.","RUSSIA","3,245.89","8,952.94","12,198.83","-5,707.05"
"22.","SRI LANKA DSR","8,963.91","2,557.68","11,521.59","6,406.23"
"23.","THAILAND","4,760.76","5,364.10","10,124.86","-603.34"
"24.","ISRAEL","5,319.44","4,565.44","9,884.88","754.00"
"25.","SPAIN","7,108.83","2,538.92","9,647.75","4,569.92"
"26.","TAIWAN","2,785.01","6,122.84","8,907.85","-3,337.84"
"27.","BRAZIL","4,828.53","3,953.87","8,782.40","874.67"
"28.","CANADA","4,522.87","4,072.58","8,595.45","450.29"
"29.","IRAN","5,261.24","3,110.05","8,371.29","2,151.19"
"30.","BANGLADESH PR","7,368.72","562.40","7,931.12","6,806.32"
"31.","SWEDEN","1,445.05","5,189.75","6,634.80","-3,744.69"
"32.","NEPAL","3,807.39","1,681.73","5,489.12","2,125.66"
"33.","TURKEY","4,471.98","858.01","5,329.99","3,613.97"
"34.","QATAR","1,148.17","3,991.79","5,139.96","-2,843.62"
"35.","UKRAINE","1,143.09","3,508.18","4,651.27","-2,365.09"
"36.","KUWAIT","2,274.48","2,044.79","4,319.26","229.69"
"37.","ARGENTINA","883.28","3,338.38","4,221.65","-2,455.10"
"38.","NIGERIA","3,869.65","320.82","4,190.47","3,548.83"
"39.","DENMARK","1,816.47","2,284.25","4,100.72","-467.78"
"40.","EGYPT A RP","2,977.06","975.99","3,953.05","2,001.08"
"41.","PAKISTAN IR","3,051.47","794.98","3,846.45","2,256.49"
"42.","VIETNAM SOC REP","3,057.86","581.69","3,639.55","2,476.17"
"43.","FINLAND","906.26","2,583.26","3,489.52","-1,677.01"
"44.","PHILIPPINES","2,190.05","1,042.60","3,232.66","1,147.45"
"45.","OMAN","1,808.27","1,175.84","2,984.11","632.43"
"46.","MYANMAR","490.10","2,328.63","2,818.72","-1,838.53"
"47.","JORDAN","818.92","1,958.36","2,777.28","-1,139.45"
"48.","KENYA","2,552.55","214.80","2,767.35","2,337.74"
"49.","GREECE","2,497.44","249.58","2,747.02","2,247.86"
"50.","CHILE","673.61","1,923.68","2,597.29","-1,250.07"
"51.","MOROCCO","564.52","2,020.52","2,585.04","-1,456.00"
"52.","MEXICO","1,961.61","432.17","2,393.78","1,529.44"
"53.","AUSTRIA","586.49","1,523.10","2,109.60","-936.61"
"54.","COLOMBIA","2,014.51","41.42","2,055.94","1,973.09"
"55.","IRELAND","1,238.64","716.81","1,955.45","521.83"
"56.","NORWAY","576.46","1,281.02","1,857.48","-704.55"
"57.","SENEGAL","413.95","1,295.26","1,709.21","-881.31"
