Rank,Country,Export,Import,Total Trade,Trade Balance
"1.","UNSPECIFIED","3.98","14,795.19","14,799.17","-14,791.21"
"2.","U S A","9,305.12","3,015.00","12,320.12","6,290.12"
"3.","U K","2,298.71","3,167.92","5,466.63","-869.21"
"4.","BELGIUM","1,470.56","2,870.05","4,340.60","-1,399.49"
"5.","GERMANY","1,907.57","1,759.59","3,667.15","147.98"
"6.","JAPAN","1,794.48","1,842.19","3,636.67","-47.70"
"7.","SWITZERLAND","437.70","3,160.14","3,597.85","-2,722.44"
"8.","HONG KONG","2,640.86","852.11","3,492.97","1,788.75"
"9.","U ARAB EMTS","2,597.52","658.98","3,256.51","1,938.54"
"10.","Petroleum Products","1,825.65","886.46","2,712.11","939.19"
"11.","SINGAPORE","877.11","1,463.91","2,341.03","-586.80"
"12.","CHINA P RP","831.30","1,502.20","2,333.50","-670.89"
"13.","ITALY","1,308.75","723.58","2,032.33","585.17"
"14.","MALAYSIA","608.15","1,176.80","1,784.95","-568.65"
"15.","FRANCE","1,020.01","640.81","1,660.82","379.20"
"16.","AUSTRALIA","405.87","1,062.76","1,468.63","-656.89"
"17.","SAUDI ARAB","822.94","621.12","1,444.06","201.82"
"18.","RUSSIA","889.01","517.66","1,406.67","371.35"
"19.","KOREA RP","450.78","893.76","1,344.54","-442.98"
"20.","SOUTH AFRICA","310.67","1,021.91","1,332.58","-711.24"
"21.","NETHERLAND","880.09","437.53","1,317.63","442.56"
"22.","INDONESIA","399.75","910.24","1,310.00","-510.49"
"23.","CANADA","656.47","397.07","1,053.54","259.40"
"24.","BANGLADESH PR","935.04","80.51","1,015.55","854.54"
"25.","ISRAEL","472.29","432.48","904.77","39.81"
"26.","TAIWAN","391.67","508.69","900.36","-117.03"
"27.","THAILAND","530.12","337.92","868.05","192.20"
"28.","SPAIN","666.25","142.15","808.40","524.10"
"29.","SRI LANKA DSR","640.14","45.01","685.15","595.14"
"30.","ARGENTINA","98.50","380.76","479.27","-282.26"
"31.","NIGERIA","384.66","63.78","448.44","320.87"
"32.","IRAN","226.97","211.23","438.20","15.74"
"33.","SWEDEN","176.16","238.19","414.35","-62.03"
"34.","EGYPT A RP","357.48","38.79","396.27","318.69"
"35.","NEPAL","140.84","255.08","395.92","-114.25"
"36.","TURKEY","333.63","43.33","376.96","290.30"
"37.","BRAZIL","226.05","145.17","371.21","80.88"
"38.","MOROCCO","40.08","315.29","355.37","-275.21"
"39.","JORDAN","79.50","242.63","322.13","-163.12"
"40.","DENMARK","174.38","142.50","316.88","31.88"
"41.","KUWAIT","199.11","112.66","311.77","86.44"
"42.","BAHARAIN IS","78.67","202.53","281.19","-123.86"
"43.","FINLAND","58.31","207.39","265.70","-149.08"
"44.","PHILIPPINES","202.61","63.04","265.65","139.57"
"45.","MEXICO","208.51","53.83","262.34","154.69"
"46.","PAKISTAN IR","186.83","64.03","250.86","122.81"
"47.","VIETNAM SOC REP","225.90","12.39","238.30","213.51"
"48.","MYANMAR","52.71","181.69","234.40","-128.98"
"49.","MAURITIUS","199.75","6.17","205.92","193.57"
"50.","UKRAINE","70.80","130.25","201.05","-59.44"
"51.","KOREA DP RP","170.61","19.30","189.92","151.31"
"52.","IRELAND","103.18","72.00","175.18","31.18"
"53.","YEMEN REPUBLC","158.94","15.32","174.26","143.62"
"54.","COTE D' IVOIRE","45.92","123.10","169.02","-77.19"
"55.","CHILE","108.45","57.14","165.59","51.31"
"56.","TANZANIA REP","101.99","59.49","161.48","42.50"
"57.","KENYA","140.93","19.02","159.95","121.91"
"58.","PORTUGAL","146.70","11.99","158.68","134.71"
"59.","OMAN","144.62","6.34","150.95","138.28"
"60.","AUSTRIA","81.02","69.32","150.34","11.70"
"61.","QATAR","63.63","79.04","142.67","-15.42"
"62.","NEW ZEALAND","63.28","79.34","142.61","-16.06"
