Rank,Country,Export,Import,Total Trade,Trade Balance
"1.","UNSPECIFIED","18.19","67,590.94","67,609.12","-67,572.75"
"2.","U S A","42,509.88","13,773.87","56,283.75","28,736.02"
"3.","U K","10,501.53","14,472.47","24,973.99","-3,970.94"
"4.","BELGIUM","6,718.14","13,111.65","19,829.79","-6,393.50"
"5.","GERMANY","8,714.60","8,038.57","16,753.17","676.03"
"6.","JAPAN","8,197.99","8,415.91","16,613.90","-217.93"
"7.","SWITZERLAND","1,999.63","14,436.93","16,436.55","-12,437.30"
"8.","HONG KONG","12,064.63","3,892.82","15,957.44","8,171.81"
"9.","U ARAB EMTS","11,866.63","3,010.52","14,877.15","8,856.11"
"10.","Petroleum Products","8,340.36","4,049.73","12,390.09","4,290.63"
"11.","SINGAPORE","4,007.04","6,687.80","10,694.84","-2,680.76"
"12.","CHINA P RP","3,797.76","6,862.70","10,660.45","-3,064.94"
"13.","ITALY","5,978.96","3,305.64","9,284.60","2,673.32"
"14.","MALAYSIA","2,778.31","5,376.14","8,154.44","-2,597.83"
"15.","FRANCE","4,659.86","2,927.49","7,587.35","1,732.36"
"16.","AUSTRALIA","1,854.19","4,855.15","6,709.34","-3,000.96"
"17.","SAUDI ARAB","3,759.54","2,837.55","6,597.09","922.00"
"18.","RUSSIA","4,061.39","2,364.90","6,426.29","1,696.49"
"19.","KOREA RP","2,059.35","4,083.09","6,142.43","-2,023.74"
"20.","SOUTH AFRICA","1,419.27","4,668.54","6,087.82","-3,249.27"
"21.","NETHERLAND","4,020.65","1,998.85","6,019.50","2,021.80"
"22.","INDONESIA","1,826.24","4,158.39","5,984.63","-2,332.15"
"23.","CANADA","2,999.05","1,814.00","4,813.06","1,185.05"
"24.","BANGLADESH PR","4,271.69","367.78","4,639.47","3,903.90"
"25.","ISRAEL","2,157.64","1,975.77","4,133.41","181.87"
"26.","TAIWAN","1,789.30","2,323.93","4,113.23","-534.63"
"27.","THAILAND","2,421.84","1,543.79","3,965.63","878.06"
"28.","SPAIN","3,043.72","649.41","3,693.13","2,394.31"
"29.","SRI LANKA DSR","2,924.46","205.61","3,130.07","2,718.86"
"30.","ARGENTINA","450.01","1,739.49","2,189.50","-1,289.47"
"31.","NIGERIA","1,757.28","291.39","2,048.67","1,465.88"
"32.","IRAN","1,036.90","964.99","2,001.89","71.92"
"33.","SWEDEN","804.78","1,088.17","1,892.95","-283.38"
"34.","EGYPT A RP","1,633.14","177.22","1,810.35","1,455.92"
"35.","NEPAL","643.40","1,165.33","1,808.73","-521.93"
"36.","TURKEY","1,524.15","197.95","1,722.10","1,326.20"
"37.","BRAZIL","1,032.67","663.19","1,695.86","369.49"
"38.","MOROCCO","183.10","1,440.37","1,623.47","-1,257.27"
"39.","JORDAN","363.21","1,108.44","1,471.65","-745.22"
"40.","DENMARK","796.66","651.00","1,447.65","145.66"
"41.","KUWAIT","909.61","514.70","1,424.31","394.91"
"42.","BAHARAIN IS","359.38","925.23","1,284.61","-565.84"
"43.","FINLAND","266.39","947.46","1,213.84","-681.07"
"44.","PHILIPPINES","925.62","287.99","1,213.60","637.63"
"45.","MEXICO","952.59","245.90","1,198.49","706.68"
"46.","PAKISTAN IR","853.54","292.50","1,146.04","561.04"
"47.","VIETNAM SOC REP","1,032.03","56.62","1,088.65","975.40"
"48.","MYANMAR","240.81","830.04","1,070.85","-589.23"
"49.","MAURITIUS","912.53","28.20","940.73","884.33"
"50.","UKRAINE","323.46","595.03","918.48","-271.57"
"51.","KOREA DP RP","779.44","88.19","867.63","691.25"
"52.","IRELAND","471.37","328.92","800.30","142.45"
"53.","YEMEN REPUBLC","726.11","70.00","796.11","656.11"
"54.","COTE D' IVOIRE","209.77","562.39","772.16","-352.63"
"55.","CHILE","495.46","261.04","756.50","234.42"
"56.","TANZANIA REP","465.94","271.76","737.69","194.18"
"57.","KENYA","643.84","86.90","730.74","556.93"
"58.","PORTUGAL","670.17","54.77","724.94","615.40"
"59.","OMAN","660.67","28.94","689.61","631.72"
"60.","AUSTRIA","370.15","316.69","686.83","53.46"
"61.","QATAR","290.67","361.10","651.77","-70.43"
"62.","NEW ZEALAND","289.07","362.45","651.52","-73.38"
"63.","GREECE","518.46","100.52","618.98","417.94"
"64.","POLAND","393.91","194.77","588.68","199.14"
"65.","TUNISIA","175.28","393.53","568.81","-218.25"
"66.","NORWAY","275.90","214.02","489.93","61.88"
"67.","SUDAN","446.76","36.64","483.40","410.13"
"68.","BENIN","206.21","237.93","444.14","-31.72"
"69.","IRAQ","383.85","31.53","415.38","352.32"
"70.","GHANA","269.01","123.80","392.80","145.21"
"71.","SYRIA","344.10","30.47","374.57","313.63"
"72.","GUINEA BISSAU","65.96","281.73","347.69","-215.78"
"73.","PANAMA REPUBLIC","299.90","43.40","343.30","256.50"
"74.","CZECH REPUBLIC","175.36","166.33","341.69","9.03"
"75.","ETHIOPIA","304.11","17.52","321.63","286.59"
"76.","SENEGAL","108.59","202.56","311.15","-93.97"
"77.","KAZAKHSTAN","228.79","64.13","292.92","164.66"
"78.","COLOMBIA","224.68","44.49","269.17","180.19"
"79.","HUNGARY","194.90","68.80","263.70","126.10"
"80.","VENEZUELA","193.21","65.96","259.17","127.25"
"81.","LEBANON","215.72","33.88","249.60","181.84"
"82.","MOZAMBIQUE","146.36","97.18","243.54","49.18"
"83.","AFGHANISTAN TIS","118.15","121.47","239.62","-3.31"
"84.","TOGO","180.72","57.98","238.69","122.74"
"85.","UGANDA","206.61","14.04","220.65","192.57"
"86.","CONGO P REP","180.03","38.74","218.77","141.28"
"87.","URUGUAY","163.13","13.21","176.34","149.92"
"88.","SLOVENIA","68.18","99.97","168.16","-31.79"
"89.","VANUATU REP","30.10","133.31","163.42","-103.21"
"90.","PERU","120.25","41.69","161.95","78.56"
"91.","ZAMBIA","102.69","52.86","155.55","49.83"
"92.","ROMANIA","55.66","98.98","154.64","-43.31"
"93.","CYPRUS","143.78","5.62","149.40","138.15"
"94.","MALI","76.25","60.82","137.07","15.43"
"95.","NIGER","119.55","7.51","127.06","112.04"
"96.","MALDIVES","112.43","0.87","113.30","111.57"
"97.","BULGARIA","52.74","59.60","112.33","-6.86"
"98.","ALGERIA","96.12","11.89","108.02","84.23"
"99.","ZIMBABWE","68.81","38.08","106.89","30.73"
"100.","NETHERLANDANTIL","103.52","0.64","104.16","102.88"
"101.","BHUTAN","4.92","96.35","101.27","-91.43"
"102.","KYRGHYZSTAN","80.37","20.24","100.61","60.13"
"103.","DJIBOUTI","95.80","2.08","97.87","93.72"
"104.","TURKS C IS","95.93","0.10","96.03","95.83"
"105.","UZBEKISTAN","42.92","48.35","91.27","-5.43"
"106.","GABON","22.65","66.32","88.97","-43.66"
"107.","MALAWI","84.92","1.57","86.50","83.35"
"108.","GUATEMALA","85.39","0.30","85.68","85.09"
"109.","LATVIA","62.50","20.24","82.75","42.26"
"110.","LIBERIA","51.72","29.94","81.66","21.78"
"111.","GUINEA","61.02","20.53","81.55","40.49"
"112.","BURKINA FASO","30.80","48.02","78.82","-17.22"
"113.","ECUADOR","43.10","35.19","78.29","7.90"
"114.","SLOVAK REP","44.83","31.80","76.62","13.03"
"115.","BOLIVIA","9.03","65.61","74.64","-56.58"
"116.","LIBYA","36.85","35.60","72.45","1.24"
"117.","CAMEROON","44.87","26.98","71.84","17.89"
"118.","GAMBIA","70.35","1.10","71.46","69.25"
"119.","HONDURAS","69.86","0.27","70.13","69.59"
"120.","MAURITANIA","62.46","0.06","62.52","62.40"
"121.","AZERBAIJAN","53.32","0.61","53.94","52.71"
"122.","DOMINIC REP","52.05","0.48","52.53","51.57"
"123.","FIJI IS","51.79","0.00","51.79","51.79"
"124.","MADAGASCAR","49.31","1.74","51.05","47.57"
"125.","LUXEMBOURG","25.50","23.84","49.34","1.66"
"126.","MALTA","48.07","0.20","48.27","47.87"
"127.","SOMALIA","31.82","14.35","46.17","17.46"
"128.","UNION OF SERBIA &amp; MONTENEGRO","30.37","14.99","45.36","15.38"
"129.","CUBA","22.01","22.85","44.86","-0.84"
"130.","LITHUANIA","39.70","4.97","44.68","34.73"
"131.","JAMAICA","41.78","0.34","42.12","41.45"
"132.","CAMBODIA","35.89","6.05","41.94","29.84"
"133.","PARAGUAY","37.77","2.47","40.24","35.29"
"134.","SEYCHELLES","35.85","0.15","36.00","35.70"
"135.","COSTA RICA","31.28","4.00","35.28","27.28"
"136.","NAURU RP","0.09","33.94","34.03","-33.85"
"137.","ICELAND","27.02","4.61","31.63","22.41"
"138.","GUYANA","23.27","6.09","29.35","17.18"
"139.","BELARUS","18.52","9.55","28.07","8.97"
"140.","HAITI","26.31","0.02","26.33","26.29"
"141.","BOTSWANA","25.40","0.01","25.41","25.40"
"142.","PUERTO RICO","24.79","0.31","25.10","24.47"
"143.","SIERRA LEONE","19.10","4.64","23.74","14.46"
"144.","CROATIA","19.05","4.63","23.68","14.43"
"145.","PAPUA N GNA","20.59","1.41","22.00","19.19"
"146.","CONGO D. REP.","20.33","1.27","21.60","19.06"
"147.","DOMINICA","21.35","","21.35",""
"148.","TAJIKISTAN","16.23","2.48","18.72","13.75"
"149.","NICARAGUA","18.56","0.08","18.65","18.48"
"150.","REUNION","17.23","0.92","18.14","16.31"
"151.","TURKMENISTAN","12.39","5.13","17.51","7.26"
"152.","NAMIBIA","15.19","1.97","17.16","13.22"
"153.","GEORGIA","14.18","2.66","16.84","11.52"
"154.","ESTONIA","15.08","1.45","16.53","13.63"
"155.","BRUNEI","15.13","0.69","15.82","14.44"
"156.","SOLOMON IS","2.09","13.38","15.47","-11.28"
"157.","BURUNDI","13.83","0.35","14.17","13.48"
"158.","BARBADOS","13.97","0.12","14.09","13.86"
"159.","FR GUIANA","11.24","2.13","13.37","9.11"
"160.","SWAZILAND","6.89","4.34","11.22","2.55"
"161.","BAHAMAS","10.67","0.35","11.01","10.32"
"162.","ARMENIA","6.40","2.58","8.98","3.82"
"163.","ALBANIA","8.36","0.16","8.52","8.19"
"164.","MARTINIQUE","8.33","0.01","8.34","8.33"
"165.","MONGOLIA","6.23","0.62","6.84","5.61"
"166.","MACEDONIA","5.32","0.41","5.73","4.91"
"167.","GUADELOUPE","5.50","0.01","5.51","5.50"
"168.","SURINAME","4.60","0.86","5.47","3.74"
"169.","SAMOA","4.55","0.75","5.30","3.80"
"170.","COMOROS","5.25","0.00","5.25","5.25"
"171.","NEW CALEDONIA","3.36","1.83","5.19","1.53"
"172.","MACAO","4.96","0.05","5.01","4.91"
"173.","C AFRI REP","3.94","0.65","4.58","3.29"
"174.","MOLDOVA","4.02","0.00","4.02","4.02"
"175.","NORFOLK IS","3.41","0.05","3.46","3.36"
"176.","BOSNIA-HRZGOVIN","0.83","1.62","2.45","-0.79"
"177.","BELIZE","2.37","0.01","2.38","2.36"
"178.","CHANNEL IS","1.82","0.24","2.06","1.58"
"179.","GREENLAND","1.52","0.35","1.87","1.17"
"180.","TOKELAU IS","0.41","0.94","1.35","-0.53"
"181.","CHRISTMAS IS.","0.72","0.28","1.00","0.43"
"182.","ANTIGUA","0.82","0.03","0.85","0.79"
"183.","LESOTHO","0.36","0.05","0.41","0.30"
"184.","FAROE IS.","0.03","0.20","0.23","-0.18"
"185.","ST HELENA","0.20","0.01","0.20","0.19"
"186.","LIECHTENSTEIN","0.08","0.12","0.20","-0.03"
"187.","MONTSERRAT","0.25","","",""
"188.","GRENADA","2.43","","",""
"189.","GIBRALTAR","2.47","","",""
"190.","GUAM","1.36","","",""
"191.","LAO PD RP","28.53","","",""
"192.","KIRIBATI REP","0.53","","",""
"193.","FALKLAND IS","0.11","","",""
"194.","EQUTL GUINEA","1.25","","",""
"195.","FR POLYNESIA","0.19","","",""
"196.","FR S ANT TR","0.02","","",""
"197.","EL SALVADOR","11.15","","",""
"198.","COCOS IS","1.98","","",""
"199.","CHAD","9.35","","",""
"200.","COOK IS","0.19","","",""
"201.","AMERI SAMOA","3.26","","",""
"202.","ANDORRA","0.39","","",""
"203.","ANGOLA","69.21","","",""
"204.","BERMUDA","2.45","","",""
"205.","BR VIRGN IS","1.68","","",""
"206.","CANARY IS","17.41","","",""
"207.","CAPE VERDE IS","0.07","","",""
"208.","CAYMAN IS","0.53","","",""
"209.","ST KITT N A","","","",""
"210.","ST LUCIA","1.78","","",""
"211.","ST PIERRE","0.00","","",""
"212.","ST VINCENT","16.45","","",""
"213.","RWANDA","15.12","","",""
"214.","SAHARWI A.DM RP","0.06","","",""
"215.","SAO TOME","0.02","","",""
"216.","TIMOR LESTE","27.50","","",""
"217.","PITCAIRN IS.","0.39","","",""
"218.","PANAMA C Z","105.70","","",""
"219.","TONGA","1.51","","",""
"220.","TRINIDAD","39.70","","",""
"221.","VIRGIN IS US","3.60","","",""
"222.","WALLIS F IS","0.07","","",""
"223.","TUVALU","0.11","","",""
"","Total of Top  countries","203,571.00","230,872.75","434,076.92","-27,301.75"
"","India's Total","203,571.00","230,872.75","434,076.92","-27,301.75"
"","% Share of Top  countries","100.00","100.00","100.00","100.00"
