Rank,Country,Export,Import,Total Trade,Trade Balance
"1.","U S A","25,031.98","13,803.66","38,835.64","11,228.32"
"2.","U K","7,776.35","9,080.43","16,856.78","-1,304.07"
"3.","GERMANY","7,139.71","9,396.38","16,536.09","-2,256.66"
"4.","JAPAN","7,031.83","7,971.47","15,003.31","-939.64"
"5.","BELGIUM","4,516.68","9,915.87","14,432.55","-5,399.19"
"6.","Petroleum Products","1,311.00","12,431.92","13,742.92","-11,120.92"
"7.","U ARAB EMTS","6,056.24","5,481.97","11,538.21","574.27"
"8.","SWITZERLAND","1,362.72","9,814.04","11,176.76","-8,451.32"
"9.","SAUDI ARAB","2,563.96","6,392.99","8,956.95","-3,829.03"
"10.","HONG KONG","7,168.20","1,175.37","8,343.57","5,992.84"
"11.","ITALY","4,139.56","3,323.47","7,463.04","816.09"
"12.","AUSTRALIA","1,628.75","5,521.05","7,149.80","-3,892.31"
"13.","CHINA P RP","2,668.24","4,132.93","6,801.17","-1,464.69"
"14.","SINGAPORE","2,878.51","3,723.92","6,602.43","-845.41"
"15.","MALAYSIA","1,820.88","4,381.32","6,202.20","-2,560.43"
"16.","RUSSIA","3,541.68","2,390.15","5,931.83","1,151.53"
"17.","FRANCE","2,821.35","2,917.37","5,738.72","-96.02"
"18.","KOREA RP","1,737.62","3,532.19","5,269.81","-1,794.57"
"19.","NIGERIA","801.01","4,145.68","4,946.69","-3,344.67"
"20.","NETHERLAND","2,982.06","1,654.55","4,636.61","1,327.51"
"21.","INDONESIA","1,625.11","2,719.09","4,344.21","-1,093.98"
"22.","KUWAIT","662.89","3,306.89","3,969.79","-2,644.00"
"23.","SOUTH AFRICA","1,463.53","1,851.20","3,314.73","-387.67"
"24.","TAIWAN","1,500.64","1,755.70","3,256.34","-255.06"
"25.","CANADA","1,589.99","1,564.31","3,154.30","25.68"
"26.","BANGLADESH PR","2,922.87","188.85","3,111.72","2,734.03"
"27.","IRAN","637.95","2,352.56","2,990.51","-1,714.60"
"28.","ISRAEL","1,312.80","1,247.37","2,560.17","65.43"
