Rank,Country,Export,Import,Total Trade,Trade Balance
"1.","U S A","6,735.40","3,714.18","10,449.58","3,021.22"
"2.","U K","2,092.40","2,443.29","4,535.68","-350.89"
"3.","GERMANY","1,921.10","2,528.30","4,449.40","-607.20"
"4.","JAPAN","1,892.07","2,144.90","4,036.97","-252.83"
"5.","BELGIUM","1,215.31","2,668.08","3,883.39","-1,452.77"
"6.","Petroleum Products","352.75","3,345.08","3,697.83","-2,992.33"
"7.","U ARAB EMTS","1,629.56","1,475.04","3,104.61","154.52"
"8.","SWITZERLAND","366.67","2,640.68","3,007.35","-2,274.01"
"9.","SAUDI ARAB","689.89","1,720.17","2,410.06","-1,030.28"
"10.","HONG KONG","1,928.76","316.26","2,245.02","1,612.50"
"11.","ITALY","1,113.84","894.25","2,008.09","219.59"
"12.","AUSTRALIA","438.25","1,485.56","1,923.81","-1,047.31"
"13.","CHINA P RP","717.95","1,112.05","1,830.00","-394.11"
"14.","SINGAPORE","774.53","1,002.00","1,776.53","-227.48"
"15.","MALAYSIA","489.95","1,178.89","1,668.84","-688.94"
"16.","RUSSIA","952.97","643.12","1,596.09","309.84"
"17.","FRANCE","759.15","784.98","1,544.13","-25.84"
"18.","KOREA RP","467.55","950.41","1,417.96","-482.87"
"19.","NIGERIA","215.53","1,115.48","1,331.01","-899.96"
"20.","NETHERLAND","802.39","445.19","1,247.58","357.20"
"21.","INDONESIA","437.27","731.63","1,168.90","-294.36"
"22.","KUWAIT","178.37","889.79","1,068.16","-711.43"
"23.","SOUTH AFRICA","393.79","498.11","891.90","-104.31"
"24.","TAIWAN","403.78","472.41","876.19","-68.63"
"25.","CANADA","427.82","420.91","848.73","6.91"
"26.","BANGLADESH PR","786.46","50.81","837.28","735.65"
"27.","IRAN","171.66","633.01","804.66","-461.35"
"28.","ISRAEL","353.24","335.63","688.87","17.61"
"29.","SPAIN","441.98","160.98","602.96","280.99"
"30.","THAILAND","342.90","226.57","569.46","116.33"
"31.","SRI LANKA DSR","489.23","30.21","519.43","459.02"
"32.","MOROCCO","28.26","461.40","489.67","-433.14"
"33.","EGYPT A RP","253.40","192.62","446.01","60.78"
"34.","SWEDEN","165.95","274.48","440.43","-108.53"
"35.","BRAZIL","143.36","199.21","342.57","-55.85"
"36.","TURKEY","244.12","64.32","308.44","179.80"
"37.","MYANMAR","49.31","224.01","273.32","-174.70"
"38.","NEPAL","170.05","95.16","265.21","74.90"
"39.","PHILIPPINES","238.72","23.06","261.78","215.66"
"40.","DENMARK","158.73","90.76","249.50","67.97"
"41.","UKRAINE","60.69","179.74","240.43","-119.05"
"42.","JORDAN","69.24","168.37","237.60","-99.13"
"43.","FINLAND","58.15","175.79","233.94","-117.65"
"44.","ARGENTINA","92.71","128.19","220.90","-35.48"
"45.","IRAQ","11.20","185.41","196.61","-174.21"
"46.","BAHARAIN IS","61.20","132.93","194.12","-71.73"
"47.","CHILE","120.56","72.06","192.61","48.50"
"48.","MEXICO","111.08","79.49","190.57","31.58"
"49.","PAKISTAN IR","143.15","44.45","187.60","98.70"
"50.","MAURITIUS","180.64","6.03","186.67","174.61"
"51.","NORWAY","77.18","97.85","175.03","-20.67"
"52.","AUSTRIA","85.17","81.13","166.30","4.04"
"53.","TUNISIA","14.83","145.43","160.26","-130.59"
"54.","NEW ZEALAND","71.93","83.76","155.68","-11.83"
"55.","QATAR","44.07","101.58","145.65","-57.51"
"56.","KENYA","123.91","20.95","144.86","102.96"
"57.","OMAN","109.29","32.46","141.76","76.83"
"58.","TANZANIA REP","68.93","67.98","136.91","0.95"
"59.","VIETNAM SOC REP","126.60","8.73","135.34","117.87"
"60.","PORTUGAL","111.45","15.59","127.04","95.86"
"61.","ZAMBIA","26.59","97.24","123.84","-70.65"
"62.","GREECE","93.17","30.10","123.26","63.07"
"63.","POLAND","87.43","32.70","120.13","54.73"
"64.","IRELAND","66.86","35.67","102.53","31.19"
"65.","KOREA DP RP","37.63","57.38","95.01","-19.74"
"66.","PANAMA REPUBLIC","39.98","47.99","87.96","-8.01"
"67.","SENEGAL","28.97","48.14","77.11","-19.18"
"68.","ROMANIA","15.33","61.43","76.76","-46.11"
"69.","YEMEN REPUBLC","57.57","11.80","69.36","45.77"
"70.","ETHIOPIA","67.51","0.77","68.27","66.74"
"71.","LIBYA","38.66","29.33","67.99","9.34"
"72.","CZECH REPUBLIC","25.41","42.33","67.74","-16.92"
"73.","SYRIA","56.81","8.92","65.73","47.89"
"74.","COTE D' IVOIRE","13.25","51.64","64.89","-38.40"
"75.","CONGO D. REP.","22.19","32.10","54.29","-9.91"
"76.","GHANA","49.05","4.96","54.01","44.10"
"77.","KAZAKHSTAN","15.13","36.03","51.16","-20.90"
"78.","SUDAN","44.57","4.47","49.04","40.10"
"79.","HUNGARY","35.60","12.05","47.65","23.55"
"80.","MALTA","13.33","33.22","46.55","-19.89"
"81.","UGANDA","44.04","0.47","44.51","43.58"
"82.","GUINEA BISSAU","1.09","43.25","44.33","-42.16"
"83.","MOZAMBIQUE","29.94","13.73","43.67","16.21"
"84.","ZIMBABWE","23.93","17.23","41.16","6.70"
"85.","TOGO","28.52","9.95","38.47","18.57"
"86.","SLOVAK REP","6.03","32.09","38.12","-26.05"
"87.","COLOMBIA","31.96","6.01","37.97","25.95"
"88.","URUGUAY","34.00","3.12","37.11","30.88"
"89.","PERU","21.62","14.08","35.71","7.54"
"90.","CYPRUS","32.28","2.19","34.47","30.08"
"91.","BENIN","20.67","13.51","34.19","7.16"
"92.","AFGHANISTAN TIS","21.25","10.70","31.95","10.55"
"93.","VENEZUELA","22.68","6.77","29.45","15.90"
"94.","LEBANON","26.55","0.68","27.23","25.88"
"95.","BHUTAN","13.33","13.44","26.77","-0.11"
"96.","CAMEROON","6.19","16.32","22.51","-10.13"
"97.","SOMALIA","20.88","1.41","22.29","19.47"
"98.","BULGARIA","9.04","11.59","20.63","-2.54"
"99.","UZBEKISTAN","17.59","2.71","20.30","14.88"
"100.","LATVIA","6.73","12.80","19.53","-6.07"
"101.","ALGERIA","17.06","0.58","17.64","16.49"
"102.","CONGO P REP","14.35","2.33","16.68","12.02"
"103.","SLOVENIA","10.47","5.72","16.19","4.75"
"104.","TRINIDAD","11.36","2.62","13.98","8.74"
"105.","GABON","3.36","10.21","13.57","-6.85"
"106.","LIBERIA","9.24","3.76","12.99","5.48"
"107.","MALAWI","10.85","0.53","11.38","10.31"
"108.","MADAGASCAR","7.58","3.47","11.05","4.11"
"109.","KYRGHYZSTAN","10.79","0.01","10.79","10.78"
"110.","ECUADOR","4.36","5.17","9.53","-0.82"
"111.","UNION OF SERBIA &amp; MONTENEGRO","5.03","4.06","9.08","0.97"
"112.","MALI","8.88","0.14","9.02","8.74"
"113.","DJIBOUTI","8.82","0.15","8.97","8.67"
"114.","MALDIVES","8.74","0.24","8.97","8.50"
"115.","LUXEMBOURG","3.20","4.73","7.93","-1.52"
"116.","PARAGUAY","6.59","0.59","7.18","6.00"
"117.","CROATIA","5.94","1.09","7.03","4.85"
"118.","ICELAND","6.38","0.32","6.70","6.06"
"119.","GUINEA","6.38","0.06","6.43","6.32"
"120.","SEYCHELLES","6.08","0.30","6.38","5.78"
"121.","CUBA","0.62","5.76","6.38","-5.14"
