Rank,Country,Export,Import,Total Trade,Trade Balance
"1.","CHINA P RP","18,076.55","55,313.58","73,390.13","-37,237.02"
"2.","U ARAB EMTS","35,925.52","36,756.32","72,681.84","-830.80"
"3.","U S A","34,741.60","23,454.92","58,196.52","11,286.68"
"4.","SAUDI ARAB","5,683.29","31,817.70","37,501.00","-26,134.41"
"5.","SWITZERLAND","1,095.34","34,758.96","35,854.30","-33,663.62"
"6.","SINGAPORE","16,857.71","8,388.49","25,246.19","8,469.22"
"7.","GERMANY","7,942.79","15,601.13","23,543.93","-7,658.34"
"8.","HONG KONG","12,931.90","10,408.71","23,340.61","2,523.18"
"9.","INDONESIA","6,677.99","14,765.93","21,443.92","-8,087.94"
"10.","IRAQ","763.97","18,918.47","19,682.44","-18,154.50"
"11.","JAPAN","6,328.54","11,999.43","18,327.97","-5,670.89"
"12.","AUSTRALIA","2,476.84","15,578.52","18,055.35","-13,101.68"
"13.","KUWAIT","1,181.41","16,439.64","17,621.05","-15,258.24"
"14.","BELGIUM","7,160.76","10,401.43","17,562.19","-3,240.68"
"15.","UNSPECIFIED","16,436.76","1,039.26","17,476.02","15,397.50"
"16.","NIGERIA","2,702.01","14,757.77","17,459.78","-12,055.76"
"17.","KOREA RP","4,352.35","12,811.99","17,164.34","-8,459.64"
"18.","IRAN","2,411.33","13,790.16","16,201.48","-11,378.83"
"19.","U K","8,589.93","7,134.30","15,724.23","1,455.63"
"20.","SOUTH AFRICA","4,731.17","10,971.76","15,702.94","-6,240.59"
"21.","QATAR","807.95","12,916.35","13,724.30","-12,108.41"
"22.","MALAYSIA","3,980.36","9,473.64","13,454.00","-5,493.29"
"23.","NETHERLAND","9,151.25","2,618.50","11,769.74","6,532.75"
"24.","BRAZIL","5,769.75","4,271.47","10,041.22","1,498.28"
"25.","ITALY","4,883.09","5,121.69","10,004.78","-238.60"
"26.","FRANCE","4,558.11","4,332.78","8,890.89","225.32"
"27.","THAILAND","2,961.01","5,283.84","8,244.85","-2,322.83"
"28.","TAIWAN","3,348.44","4,826.38","8,174.82","-1,477.95"
"29.","ANGOLA","454.33","6,625.07","7,079.40","-6,170.75"
"30.","VENEZUELA","249.72","6,666.90","6,916.62","-6,417.18"
"31.","ISRAEL","4,040.52","2,635.34","6,675.87","1,405.18"
"32.","RUSSIA","1,778.27","4,764.31","6,542.58","-2,986.04"
"33.","VIETNAM SOC REP","3,719.09","1,722.87","5,441.96","1,996.22"
"34.","EGYPT A RP","2,421.89","3,002.40","5,424.29","-580.51"
"35.","SRI LANKA DSR","4,378.79","637.43","5,016.23","3,741.36"
"36.","CANADA","2,053.54","2,918.76","4,972.30","-865.22"
"37.","SPAIN","2,999.27","1,809.78","4,809.06","1,189.49"
"38.","OMAN","1,322.13","3,345.94","4,668.08","-2,023.81"
"39.","TURKEY","3,547.26","1,021.91","4,569.17","2,525.35"
"40.","BANGLADESH PR","3,789.20","585.73","4,374.93","3,203.47"
"41.","MEXICO","1,367.37","2,579.73","3,947.10","-1,212.35"
"42.","NEPAL","2,721.57","549.97","3,271.54","2,171.59"
"43.","UKRAINE","491.22","2,463.71","2,954.93","-1,972.48"
"44.","ALGERIA","835.65","2,111.43","2,947.08","-1,275.78"
"45.","SWEDEN","825.00","1,940.78","2,765.79","-1,115.78"
"46.","CHILE","522.08","2,133.27","2,655.35","-1,611.19"
"47.","FINLAND","314.34","2,103.57","2,417.91","-1,789.23"
"48.","KENYA","2,277.46","113.39","2,390.85","2,164.07"
"49.","JORDAN","821.08","1,483.06","2,304.14","-661.98"
"50.","BAHAMAS","2,243.52","3.54","2,247.06","2,239.98"
"51.","MOROCCO","372.10","1,658.45","2,030.55","-1,286.34"
"52.","PAKISTAN IR","1,541.56","397.66","1,939.21","1,143.90"
"53.","MYANMAR","545.38","1,381.15","1,926.52","-835.77"
"54.","TANZANIA REP","1,614.69","239.73","1,854.42","1,374.97"
"55.","YEMEN REPUBLC","730.62","970.72","1,701.34","-240.10"
"56.","ARGENTINA","473.57","1,105.55","1,579.12","-631.97"
