Rank,Country,Export,Import,Total Trade,Trade Balance
"1.","UNSPECIFIED","2,100.05","14,074.87","16,174.92","-11,974.83"
"2.","U S A","8,513.34","3,149.62","11,662.96","5,363.73"
"3.","U K","2,160.87","2,563.20","4,724.07","-402.33"
"4.","BELGIUM","1,390.62","2,763.00","4,153.62","-1,372.38"
"5.","GERMANY","1,788.36","2,028.10","3,816.45","-239.74"
"6.","JAPAN","1,510.44","2,146.44","3,656.88","-636.01"
"7.","U ARAB EMTS","2,491.79","915.09","3,406.88","1,576.70"
"8.","SWITZERLAND","409.10","2,870.75","3,279.85","-2,461.65"
"9.","HONG KONG","2,366.36","728.86","3,095.22","1,637.49"
"10.","CHINA P RP","951.95","2,036.39","2,988.34","-1,084.44"
"11.","SINGAPORE","972.31","1,304.09","2,276.40","-331.78"
"12.","ITALY","1,206.53","704.78","1,911.31","501.74"
"13.","MALAYSIA","773.69","1,133.54","1,907.23","-359.84"
"14.","SOUTH AFRICA","352.94","1,440.90","1,793.84","-1,087.95"
"15.","FRANCE","945.00","844.25","1,789.25","100.75"
"16.","AUSTRALIA","418.02","1,306.10","1,724.12","-888.07"
"17.","KOREA RP","471.37","1,141.37","1,612.74","-669.99"
"18.","INDONESIA","533.71","1,036.81","1,570.52","-503.11"
"19.","RUSSIA","798.18","535.51","1,333.69","262.68"
"20.","NETHERLAND","863.88","466.47","1,330.35","397.41"
"21.","SAUDI ARAB","826.43","463.99","1,290.42","362.45"
"22.","CANADA","584.82","529.43","1,114.25","55.38"
"23.","BANGLADESH PR","1,002.18","59.12","1,061.30","943.06"
"24.","THAILAND","633.13","423.09","1,056.22","210.05"
"25.","TAIWAN","360.11","559.28","919.38","-199.17"
"26.","ISRAEL","428.02","427.75","855.77","0.27"
"27.","SPAIN","677.21","168.78","845.98","508.43"
"28.","SRI LANKA DSR","630.89","67.38","698.27","563.51"
"29.","NIGERIA","563.14","87.12","650.26","476.03"
"30.","NEPAL","214.46","355.94","570.40","-141.48"
"31.","EGYPT A RP","462.73","99.94","562.67","362.79"
"32.","SWEDEN","154.27","402.21","556.48","-247.94"
"33.","IRAN","253.03","283.82","536.85","-30.79"
"34.","BRAZIL","219.01","308.17","527.18","-89.16"
"35.","ARGENTINA","64.62","436.00","500.62","-371.38"
"36.","MYANMAR","60.89","374.43","435.32","-313.54"
"37.","PHILIPPINES","247.79","94.84","342.63","152.94"
"38.","MOROCCO","55.55","266.39","321.94","-210.83"
"39.","MEXICO","237.45","62.24","299.68","175.21"
"40.","JORDAN","80.90","209.76","290.66","-128.86"
"41.","TURKEY","219.05","69.36","288.41","149.70"
"42.","KUWAIT","206.25","73.69","279.94","132.56"
"43.","DENMARK","151.86","120.61","272.47","31.24"
"44.","UKRAINE","81.05","166.88","247.93","-85.83"
"45.","VIETNAM SOC REP","218.17","18.91","237.09","199.26"
"46.","FINLAND","69.75","162.09","231.84","-92.35"
"47.","BAHARAIN IS","75.59","134.01","209.60","-58.42"
"48.","PAKISTAN IR","144.01","64.76","208.76","79.25"
"49.","IRAQ","206.79","0.04","206.83","206.75"
"50.","YEMEN REPUBLC","147.74","47.81","195.55","99.93"
"51.","KENYA","156.01","31.94","187.95","124.07"
"52.","IRELAND","102.38","84.94","187.31","17.44"
"53.","CHILE","83.25","94.79","178.04","-11.54"
"54.","TANZANIA REP","90.78","76.09","166.87","14.69"
"55.","MAURITIUS","162.91","3.26","166.17","159.64"
"56.","KOREA DP RP","160.07","3.19","163.26","156.87"
"57.","PORTUGAL","147.84","14.00","161.84","133.84"
"58.","OMAN","148.99","8.48","157.47","140.50"
"59.","SENEGAL","23.03","133.60","156.63","-110.57"
"60.","AUSTRIA","76.33","77.82","154.15","-1.48"
"61.","TUNISIA","46.37","104.16","150.53","-57.79"
"62.","NEW ZEALAND","62.21","82.17","144.38","-19.96"
"63.","QATAR","49.00","91.69","140.70","-42.69"
"64.","POLAND","108.31","31.39","139.70","76.91"
"65.","GREECE","106.53","29.57","136.10","76.96"
"66.","SUDAN","122.19","13.42","135.61","108.77"
"67.","COTE D' IVOIRE","52.73","76.35","129.08","-23.62"
"68.","ETHIOPIA","90.83","18.39","109.22","72.43"
"69.","SYRIA","98.40","7.41","105.81","90.99"
"70.","NORWAY","54.30","47.98","102.27","6.32"
"71.","BENIN","55.42","43.05","98.47","12.36"
"72.","GHANA","68.41","19.92","88.33","48.49"
