Rank,Country,Export,Import,Total Trade,Trade Balance
"1.","CHINA P RP","90,561.09","309,234.96","399,796.05","-218,673.87"
"2.","U S A","236,589.80","135,613.46","372,203.26","100,976.35"
"3.","U ARAB EMTS","184,778.65","174,126.66","358,905.32","10,651.99"
"4.","SAUDI ARAB","73,863.94","220,515.49","294,379.43","-146,651.56"
"5.","GERMANY","45,519.44","78,209.64","123,729.08","-32,690.20"
"6.","SWITZERLAND","10,736.96","112,338.18","123,075.14","-101,601.22"
"7.","HONG KONG","77,240.96","44,107.06","121,348.02","33,133.90"
"8.","INDONESIA","29,339.87","89,035.42","118,375.29","-59,695.55"
"9.","IRAQ","5,524.97","111,637.70","117,162.67","-106,112.73"
"10.","SINGAPORE","74,966.20","41,063.47","116,029.67","33,902.73"
"11.","KUWAIT","6,434.94","103,362.61","109,797.56","-96,927.67"
"12.","BELGIUM","38,686.86","64,672.31","103,359.17","-25,985.45"
"13.","NIGERIA","16,180.74","85,767.22","101,947.97","-69,586.48"
"14.","QATAR","5,911.20","95,005.39","100,916.60","-89,094.19"
"15.","KOREA RP","25,470.92","75,282.58","100,753.51","-49,811.66"
"16.","JAPAN","41,253.45","57,211.69","98,465.14","-15,958.24"
"17.","U K","59,219.16","36,043.02","95,262.17","23,176.14"
"18.","UNSPECIFIED","69,072.57","24,741.02","93,813.59","44,331.54"
"19.","IRAN","30,056.57","62,798.48","92,855.06","-32,741.91"
"20.","VENEZUELA","1,195.54","84,384.43","85,579.97","-83,188.89"
"21.","MALAYSIA","25,413.61","55,902.11","81,315.72","-30,488.51"
"22.","AUSTRALIA","13,958.49","58,957.59","72,916.08","-44,999.10"
"23.","NETHERLAND","48,744.47","18,921.38","67,665.85","29,823.10"
"24.","SOUTH AFRICA","30,769.95","35,858.33","66,628.28","-5,088.39"
"25.","ITALY","31,887.17","25,140.57","57,027.75","6,746.60"
"26.","BRAZIL","33,870.64","22,547.30","56,417.94","11,323.34"
"27.","THAILAND","22,431.08","32,380.01","54,811.09","-9,948.93"
"28.","FRANCE","30,951.27","22,331.34","53,282.61","8,619.93"
"29.","VIETNAM SOC REP","33,253.25","15,568.38","48,821.63","17,684.88"
"30.","BANGLADESH PR","37,411.26","2,903.33","40,314.59","34,507.93"
"31.","ANGOLA","3,266.12","36,651.36","39,917.48","-33,385.24"
"32.","ISRAEL","22,757.14","13,887.74","36,644.87","8,869.40"
"33.","TAIWAN","12,060.47","24,381.57","36,442.04","-12,321.10"
"34.","RUSSIA","12,828.79","23,569.86","36,398.66","-10,741.07"
"35.","COLOMBIA","6,115.32","29,996.28","36,111.60","-23,880.96"
"36.","MEXICO","13,571.28","22,353.02","35,924.31","-8,781.74"
"37.","OMAN","17,156.05","17,827.70","34,983.75","-671.65"
"38.","SRI LANKA DSR","27,643.67","4,064.45","31,708.12","23,579.22"
"39.","TURKEY","27,042.38","4,593.67","31,636.05","22,448.70"
"40.","CANADA","12,344.04","19,029.83","31,373.87","-6,685.79"
"41.","EGYPT A RP","15,560.74","14,391.14","29,951.88","1,169.60"
"42.","SPAIN","17,489.90","11,172.24","28,662.14","6,317.65"
"43.","TANZANIA REP","20,907.08","4,298.42","25,205.51","16,608.66"
"44.","NEPAL","21,770.23","3,204.30","24,974.53","18,565.94"
"45.","KENYA","23,595.54","763.13","24,358.67","22,832.41"
"46.","CHILE","4,028.25","15,229.60","19,257.85","-11,201.35"
"47.","PAKISTAN IR","13,832.34","2,606.57","16,438.91","11,225.77"
"48.","SWEDEN","4,445.86","10,158.29","14,604.15","-5,712.43"
"49.","UKRAINE","2,931.17","10,895.83","13,827.00","-7,964.66"
"50.","JORDAN","9,827.30","3,637.19","13,464.49","6,190.12"
"51.","MYANMAR","4,805.68","8,391.48","13,197.16","-3,585.80"
"52.","YEMEN REPUBLC","7,886.34","4,727.37","12,613.72","3,158.97"
"53.","ARGENTINA","3,708.33","8,155.32","11,863.66","-4,446.99"
"54.","ALGERIA","6,450.14","5,231.66","11,681.80","1,218.48"
"55.","PHILIPPINES","8,610.18","2,372.20","10,982.38","6,237.97"
"56.","POLAND","6,040.16","3,780.03","9,820.19","2,260.13"
"57.","MOZAMBIQUE","7,679.16","1,780.83","9,459.98","5,898.33"
"58.","FINLAND","2,529.03","6,421.90","8,950.93","-3,892.87"
"59.","SUDAN","5,212.98","2,697.21","7,910.19","2,515.78"
"60.","MOROCCO","2,329.79","5,387.86","7,717.65","-3,058.07"
"61.","AZERBAIJAN","746.70","6,857.03","7,603.73","-6,110.32"
"62.","DENMARK","4,610.24","2,691.52","7,301.76","1,918.71"
"63.","GHANA","5,045.19","2,250.27","7,295.45","2,794.92"
"64.","BAHARAIN IS","3,763.21","3,448.88","7,212.09","314.33"
"65.","AUSTRIA","2,037.07","5,018.11","7,055.18","-2,981.04"
"66.","PERU","3,766.05","3,171.62","6,937.67","594.43"
"67.","MAURITIUS","6,077.39","124.64","6,202.03","5,952.76"
"68.","NORWAY","1,389.23","4,540.11","5,929.34","-3,150.88"
"69.","IRELAND","2,508.97","3,379.48","5,888.45","-870.52"
"70.","PORTUGAL","3,808.60","2,075.33","5,883.93","1,733.27"
"71.","BENIN","4,636.42","1,000.98","5,637.40","3,635.44"
"72.","KAZAKHSTAN","1,580.10","3,978.49","5,558.59","-2,398.39"
"73.","CZECH REPUBLIC","2,370.60","3,139.87","5,510.47","-769.27"
"74.","GABON","321.20","5,077.03","5,398.23","-4,755.83"
"75.","NEW ZEALAND","1,679.55","3,700.76","5,380.31","-2,021.21"
"76.","ETHIOPIA","4,950.38","169.61","5,119.99","4,780.77"
"77.","BRUNEI","196.11","4,574.97","4,771.08","-4,378.86"
"78.","LIBYA","1,733.60","2,644.76","4,378.35","-911.16"
"79.","BAHAMAS","1,302.19","3,052.11","4,354.30","-1,749.92"
"80.","AFGHANISTAN TIS","2,878.88","1,287.59","4,166.47","1,591.28"
"81.","ROMANIA","1,730.74","2,268.20","3,998.94","-537.46"
"82.","ZAMBIA","2,283.26","1,453.69","3,736.95","829.57"
"83.","TOGO","2,721.41","948.58","3,669.99","1,772.83"
"84.","COTE D' IVOIRE","1,814.41","1,790.56","3,604.97","23.84"
"85.","SENEGAL","2,580.07","953.73","3,533.80","1,626.33"
"86.","UGANDA","3,216.88","199.94","3,416.82","3,016.94"
"87.","HUNGARY","2,079.94","1,334.38","3,414.33","745.56"
"88.","ECUADOR","1,760.68","1,587.81","3,348.49","172.88"
