Rank,Country,Export,Import,Total Trade,Trade Balance
"1.","UNSPECIFIED","373.82","25,978.91","26,352.73","-25,605.09"
"2.","U S A","13,765.75","7,001.35","20,767.10","6,764.40"
"3.","CHINA P RP","5,615.88","7,097.98","12,713.86","-1,482.11"
"4.","U ARAB EMTS","7,347.88","4,641.10","11,988.98","2,706.78"
"5.","U K","3,681.09","3,566.20","7,247.29","114.90"
"6.","BELGIUM","2,509.71","4,588.91","7,098.61","-2,079.20"
"7.","GERMANY","2,826.25","4,015.35","6,841.60","-1,189.10"
"8.","SINGAPORE","4,000.61","2,651.40","6,652.01","1,349.22"
"9.","SWITZERLAND","540.89","5,939.93","6,480.81","-5,399.04"
"10.","HONG KONG","3,691.82","1,730.13","5,421.95","1,961.69"
"11.","JAPAN","2,127.91","3,235.13","5,363.04","-1,107.22"
"12.","KOREA RP","1,041.68","3,508.77","4,550.45","-2,467.08"
"13.","AUSTRALIA","720.25","3,824.53","4,544.77","-3,104.28"
"14.","INDONESIA","1,332.60","2,617.74","3,950.34","-1,285.14"
"15.","ITALY","2,285.99","1,373.10","3,659.09","912.89"
"16.","FRANCE","1,680.94","1,894.10","3,575.04","-213.16"
"17.","MALAYSIA","1,084.06","2,299.01","3,383.07","-1,214.95"
"18.","SOUTH AFRICA","984.04","2,197.67","3,181.70","-1,213.63"
"19.","SAUDI ARAB","1,412.06","1,301.15","2,713.21","110.91"
"20.","NETHERLAND","1,604.86","791.46","2,396.32","813.40"
"21.","ISRAEL","1,005.76","988.11","1,993.87","17.65"
"22.","RUSSIA","631.26","1,322.74","1,954.01","-691.48"
"23.","SRI LANKA DSR","1,413.18","378.40","1,791.58","1,034.79"
"24.","SPAIN","1,389.37","389.55","1,778.91","999.82"
"25.","THAILAND","901.39","865.88","1,767.27","35.51"
"26.","TAIWAN","618.51","1,092.07","1,710.59","-473.56"
"27.","BANGLADESH PR","1,631.12","59.37","1,690.49","1,571.75"
"28.","CANADA","866.80","775.72","1,642.53","91.08"
"29.","IRAN","1,231.39","410.21","1,641.60","821.18"
"30.","BRAZIL","678.17","792.40","1,470.57","-114.23"
"31.","SWEDEN","241.80","937.33","1,179.13","-695.53"
"32.","NEPAL","743.14","345.83","1,088.97","397.31"
"33.","QATAR","209.42","672.85","882.27","-463.44"
"34.","TURKEY","723.70","134.92","858.62","588.78"
"35.","UKRAINE","207.73","538.67","746.40","-330.94"
"36.","KUWAIT","421.44","305.94","727.38","115.49"
"37.","ARGENTINA","186.32","539.59","725.91","-353.28"
"38.","NIGERIA","644.68","48.40","693.07","596.28"
"39.","VIETNAM SOC REP","555.96","86.50","642.46","469.46"
"40.","PAKISTAN IR","521.05","94.97","616.03","426.08"
"41.","PHILIPPINES","412.23","187.39","599.62","224.83"
"42.","EGYPT A RP","444.73","152.64","597.38","292.09"
"43.","DENMARK","305.74","270.22","575.96","35.52"
"44.","FINLAND","143.54","388.81","532.35","-245.27"
"45.","MYANMAR","113.19","405.91","519.11","-292.72"
"46.","JORDAN","128.25","355.89","484.13","-227.64"
"47.","MOROCCO","112.48","362.16","474.65","-249.68"
"48.","KENYA","426.64","46.73","473.36","379.91"
"49.","CHILE","111.20","345.57","456.78","-234.37"
"50.","MEXICO","368.58","82.62","451.20","285.95"
"51.","IRELAND","211.99","183.15","395.13","28.84"
"52.","AUSTRIA","117.15","262.34","379.49","-145.20"
"53.","COLOMBIA","330.71","14.17","344.87","316.54"
"54.","SUDAN","317.45","22.88","340.33","294.57"
"55.","NORWAY","103.81","235.08","338.89","-131.28"
"56.","GREECE","306.34","23.82","330.16","282.52"
"57.","TOGO","263.37","46.03","309.40","217.34"
"58.","TANZANIA REP","173.88","131.65","305.53","42.23"
"59.","OMAN","267.67","20.61","288.28","247.06"
"60.","BAHARAIN IS","156.46","121.87","278.33","34.59"
"61.","YEMEN REPUBLC","246.41","30.82","277.23","215.59"
"62.","ROMANIA","105.96","168.44","274.40","-62.49"
"63.","POLAND","176.30","90.37","266.66","85.93"
"64.","MAURITIUS","258.20","7.19","265.38","251.01"
"65.","CZECH REPUBLIC","88.00","175.34","263.33","-87.34"
"66.","COTE D' IVOIRE","101.03","160.09","261.11","-59.06"
"67.","SYRIA","253.18","3.82","257.00","249.37"
"68.","SENEGAL","69.24","181.20","250.44","-111.96"
"69.","PORTUGAL","223.17","18.94","242.11","204.23"
"70.","ALGERIA","231.22","6.31","237.53","224.90"
"71.","GHANA","183.08","51.28","234.36","131.81"
"72.","NEW ZEALAND","93.22","127.96","221.18","-34.74"
"73.","AFGHANISTAN TIS","165.44","47.01","212.44","118.43"
"74.","LIBYA","173.53","13.60","187.14","159.93"
"75.","TUNISIA","74.46","94.94","169.40","-20.48"
"76.","BHUTAN","84.58","71.00","155.59","13.58"
"77.","PANAMA REPUBLIC","55.95","90.87","146.82","-34.92"
"78.","HUNGARY","108.10","31.53","139.62","76.57"
"79.","KOREA DP RP","123.91","9.33","133.24","114.58"
"80.","IRAQ","131.19","1.12","132.31","130.07"
"81.","DJIBOUTI","128.63","3.12","131.74","125.51"
"82.","BENIN","47.12","79.79","126.91","-32.66"
"83.","MOZAMBIQUE","81.30","41.56","122.86","39.74"
"84.","CONGO P REP","93.26","21.97","115.23","71.28"
"85.","PAPUA N GNA","14.28","95.20","109.48","-80.92"
"86.","PERU","68.82","36.35","105.17","32.47"
"87.","KAZAKHSTAN","81.42","15.39","96.81","66.03"
"88.","LEBANON","67.46","20.46","87.93","47.00"
"89.","SLOVENIA","63.37","21.45","84.82","41.92"
"90.","UGANDA","75.98","6.60","82.58","69.38"
"91.","GUINEA","51.31","27.59","78.91","23.72"
"92.","VENEZUELA","71.97","4.02","75.99","67.95"
"93.","ANGOLA","72.89","0.91","73.80","71.99"
"94.","ZAMBIA","50.40","22.96","73.37","27.44"
"95.","GUINEA BISSAU","0.93","70.87","71.79","-69.94"
"96.","MALTA","31.50","36.86","68.36","-5.36"
"97.","ETHIOPIA","55.51","10.26","65.76","45.25"
"98.","MALAWI","58.26","5.08","63.34","53.18"
"99.","LIBERIA","18.30","45.02","63.32","-26.71"
"100.","SOMALIA","47.11","7.47","54.58","39.64"
"101.","GABON","10.36","42.80","53.16","-32.45"
"102.","UZBEKISTAN","21.35","31.46","52.81","-10.12"
"103.","COSTA RICA","16.48","35.47","51.94","-18.99"
"104.","BAHAMAS","5.55","45.40","50.95","-39.85"
"105.","ZIMBABWE","23.45","27.15","50.60","-3.69"
"106.","KYRGHYZSTAN","49.57","0.63","50.19","48.94"
"107.","LITHUANIA","30.60","17.64","48.23","12.96"
"108.","MALDIVES","47.61","0.61","48.23","47.00"
"109.","SLOVAK REP","23.86","22.89","46.75","0.96"
"110.","ECUADOR","22.71","22.94","45.65","-0.22"
"111.","MADAGASCAR","36.12","7.97","44.09","28.16"
"112.","TRINIDAD","28.92","13.95","42.87","14.97"
"113.","BULGARIA","24.76","17.96","42.71","6.80"
"114.","GEORGIA","26.80","15.42","42.21","11.38"
"115.","NIGER","40.29","0.72","41.01","39.57"
"116.","GUATEMALA","37.84","1.06","38.90","36.77"
"117.","AZERBAIJAN","30.79","7.71","38.51","23.08"
"118.","CAMEROON","26.70","11.71","38.41","14.98"
"119.","MALI","21.69","13.07","34.77","8.62"
"120.","CYPRUS","29.38","4.83","34.21","24.54"
"121.","BURKINA FASO","21.10","8.44","29.54","12.66"
"122.","FIJI IS","28.59","0.30","28.89","28.28"
"123.","URUGUAY","24.51","4.05","28.56","20.46"
"124.","GAMBIA","14.89","11.52","26.41","3.37"
"125.","TURKMENISTAN","15.26","10.87","26.12","4.39"
"126.","MAURITANIA","24.71","1.28","25.99","23.43"
"127.","SWAZILAND","22.27","3.14","25.41","19.13"
"128.","CROATIA","22.85","2.06","24.90","20.79"
"129.","DOMINIC REP","22.04","2.76","24.80","19.28"
"130.","BELARUS","10.61","12.32","22.93","-1.72"
"131.","HONDURAS","21.31","0.23","21.53","21.08"
"132.","LUXEMBOURG","11.64","9.69","21.33","1.94"
"133.","PUERTO RICO","14.67","4.97","19.64","9.70"
"134.","SURINAME","17.58","0.96","18.53","16.62"
"135.","LATVIA","17.42","1.10","18.52","16.32"
"136.","CAMBODIA","18.13","0.24","18.38","17.89"
"137.","JAMAICA","13.43","2.65","16.08","10.78"
"138.","SIERRA LEONE","13.12","2.27","15.40","10.85"
"139.","ICELAND","12.91","2.30","15.21","10.62"
"140.","PARAGUAY","12.01","2.77","14.78","9.24"
"141.","GUYANA","6.86","7.17","14.03","-0.31"
"142.","UNION OF SERBIA &amp; MONTENEGRO","9.25","4.25","13.50","5.00"
"143.","REUNION","9.20","3.44","12.64","5.75"
"144.","NICARAGUA","11.38","0.20","11.58","11.18"
"145.","HAITI","10.18","1.02","11.21","9.16"
