Rank,Country,Export,Import,Total Trade,Trade Balance
"1.","UNSPECIFIED","209.38","20,753.69","20,963.07","-20,544.31"
"2.","U S A","11,490.03","5,034.83","16,524.86","6,455.21"
"3.","U ARAB EMTS","5,125.58","2,059.84","7,185.41","3,065.74"
"4.","CHINA P RP","2,955.08","4,053.21","7,008.29","-1,098.13"
"5.","U K","3,023.25","3,234.33","6,257.58","-211.08"
"6.","BELGIUM","1,805.72","3,975.89","5,781.61","-2,170.18"
"7.","GERMANY","2,544.55","2,918.56","5,463.11","-374.01"
"8.","HONG KONG","3,261.80","1,492.68","4,754.48","1,769.13"
"9.","JAPAN","1,709.29","2,667.68","4,376.96","-958.39"
"10.","SINGAPORE","2,124.83","2,085.37","4,210.20","39.46"
"11.","SWITZERLAND","449.87","3,312.73","3,762.60","-2,862.86"
"12.","KOREA RP","764.86","2,829.17","3,594.03","-2,064.31"
"13.","INDONESIA","1,127.20","2,122.06","3,249.26","-994.86"
"14.","AUSTRALIA","584.29","2,649.22","3,233.51","-2,064.93"
"15.","MALAYSIA","892.76","2,046.55","2,939.31","-1,153.79"
"16.","ITALY","1,729.40","1,071.03","2,800.44","658.37"
"17.","SOUTH AFRICA","539.35","1,899.19","2,438.53","-1,359.84"
"18.","FRANCE","1,280.88","1,090.23","2,371.11","190.65"
"19.","SAUDI ARAB","1,123.31","737.77","1,861.07","385.54"
"20.","NETHERLAND","1,289.11","535.56","1,824.67","753.55"
"21.","BANGLADESH PR","1,740.74","77.63","1,818.37","1,663.11"
"22.","RUSSIA","713.75","959.63","1,673.38","-245.88"
"23.","SRI LANKA DSR","1,319.20","194.74","1,513.93","1,124.46"
"24.","CANADA","763.19","725.89","1,489.08","37.31"
"25.","THAILAND","831.68","609.05","1,440.73","222.63"
"26.","ISRAEL","723.98","669.75","1,393.73","54.23"
"27.","TAIWAN","532.45","768.94","1,301.39","-236.49"
"28.","SPAIN","1,002.58","258.78","1,261.36","743.80"
"29.","IRAN","918.11","266.82","1,184.93","651.28"
"30.","NEPAL","669.35","286.04","955.39","383.31"
"31.","SWEDEN","219.88","698.79","918.66","-478.91"
"32.","NIGERIA","565.49","75.64","641.13","489.85"
"33.","TURKEY","563.34","73.32","636.66","490.02"
"34.","ARGENTINA","87.33","523.96","611.29","-436.64"
"35.","BRAZIL","275.62","313.52","589.14","-37.90"
"36.","MYANMAR","89.64","409.01","498.65","-319.37"
"37.","DENMARK","241.89","225.60","467.50","16.29"
"38.","EGYPT A RP","367.48","98.21","465.69","269.28"
"39.","KUWAIT","319.09","142.48","461.57","176.61"
"40.","VIETNAM SOC REP","410.43","38.21","448.65","372.22"
"41.","PHILIPPINES","321.53","122.11","443.64","199.42"
"42.","FINLAND","111.27","270.09","381.37","-158.82"
"43.","JORDAN","150.99","230.27","381.26","-79.28"
"44.","NORWAY","75.69","303.02","378.71","-227.33"
"45.","UKRAINE","110.27","235.15","345.41","-124.88"
"46.","PAKISTAN IR","286.94","57.65","344.59","229.29"
"47.","MOROCCO","87.72","255.60","343.32","-167.89"
"48.","MEXICO","264.42","73.89","338.32","190.53"
"49.","QATAR","128.44","187.05","315.49","-58.61"
"50.","OMAN","258.99","50.88","309.87","208.11"
"51.","AUSTRIA","106.38","201.67","308.05","-95.29"
"52.","TANZANIA REP","175.78","109.32","285.10","66.46"
"53.","IRELAND","150.93","131.13","282.06","19.80"
"54.","KENYA","229.48","41.93","271.41","187.55"
"55.","YEMEN REPUBLC","217.55","29.76","247.31","187.80"
"56.","GREECE","200.04","47.09","247.13","152.94"
"57.","CHILE","83.02","156.73","239.75","-73.72"
"58.","GHANA","182.67","32.93","215.60","149.74"
"59.","MAURITIUS","203.02","7.54","210.56","195.48"
"60.","SYRIA","201.46","4.65","206.11","196.81"
"61.","CZECH REPUBLIC","88.02","111.84","199.86","-23.82"
"62.","COTE D' IVOIRE","98.11","99.77","197.88","-1.66"
"63.","BAHARAIN IS","111.63","74.52","186.15","37.11"
"64.","AFGHANISTAN TIS","145.47","40.51","185.98","104.96"
"65.","PORTUGAL","169.89","13.87","183.76","156.02"
"66.","POLAND","134.21","49.05","183.26","85.15"
"67.","SENEGAL","26.74","144.96","171.70","-118.22"
"68.","NEW ZEALAND","85.97","78.89","164.86","7.09"
"69.","KOREA DP RP","158.75","1.08","159.83","157.67"
"70.","BHUTAN","89.49","52.37","141.86","37.12"
"71.","SUDAN","107.38","31.22","138.59","76.16"
"72.","TUNISIA","68.16","64.71","132.87","3.46"
"73.","ALGERIA","122.15","4.47","126.62","117.68"
"74.","ROMANIA","47.79","71.93","119.72","-24.13"
"75.","HUNGARY","91.87","27.32","119.19","64.55"
"76.","MALTA","117.95","0.93","118.88","117.02"
"77.","BENIN","52.71","53.19","105.90","-0.48"
"78.","COLOMBIA","95.31","10.47","105.78","84.84"
"79.","SLOVENIA","36.19","60.85","97.04","-24.66"
"80.","MOZAMBIQUE","69.14","23.62","92.76","45.52"
"81.","UGANDA","87.73","2.05","89.78","85.68"
"82.","ETHIOPIA","80.43","7.54","87.97","72.90"
"83.","KAZAKHSTAN","74.81","9.26","84.07","65.55"
"84.","IRAQ","75.17","0.14","75.30","75.03"
"85.","MALI","43.82","31.24","75.05","12.58"
"86.","DJIBOUTI","73.67","1.19","74.87","72.48"
"87.","PERU","38.01","29.91","67.92","8.10"
"88.","TOGO","46.98","20.67","67.65","26.32"
"89.","LEBANON","59.05","7.68","66.73","51.37"
"90.","CONGO P REP","61.27","5.28","66.54","55.99"
"91.","PANAMA REPUBLIC","54.55","7.99","62.54","46.56"
"92.","LUXEMBOURG","14.19","44.40","58.59","-30.21"
"93.","ZAMBIA","39.86","18.55","58.41","21.31"
"94.","GUINEA BISSAU","2.14","52.46","54.59","-50.32"
"95.","SOMALIA","40.11","9.68","49.79","30.44"
"96.","COSTA RICA","20.52","25.61","46.13","-5.09"
"97.","MADAGASCAR","39.14","5.05","44.19","34.09"
"98.","MALAWI","38.21","4.98","43.18","33.23"
"99.","UZBEKISTAN","15.14","27.70","42.84","-12.56"
"100.","MALDIVES","42.34","0.37","42.71","41.96"
