Rank,Country,Export,Import,Total Trade,Trade Balance
"1.","CHINA P RP","9,011.36","61,707.95","70,719.31","-52,696.60"
"2.","U S A","40,336.01","21,781.39","62,117.39","18,554.62"
"3.","U ARAB EMTS","30,316.50","19,445.68","49,762.18","10,870.82"
"4.","SAUDI ARAB","6,381.47","20,321.33","26,702.80","-13,939.87"
"5.","SWITZERLAND","977.17","19,299.49","20,276.66","-18,322.32"
"6.","GERMANY","7,092.87","12,088.37","19,181.24","-4,995.50"
"7.","HONG KONG","12,092.28","6,051.66","18,143.93","6,040.62"
"8.","KOREA RP","3,523.43","13,047.12","16,570.56","-9,523.69"
"9.","INDONESIA","2,819.49","13,131.93","15,951.42","-10,312.44"
"10.","SINGAPORE","7,719.81","7,308.38","15,028.20","411.43"
"11.","JAPAN","4,662.85","9,850.22","14,513.07","-5,187.37"
"12.","U K","8,828.48","5,192.54","14,021.02","3,635.95"
"13.","BELGIUM","5,027.61","8,256.06","13,283.67","-3,228.45"
"14.","MALAYSIA","3,706.83","9,083.83","12,790.66","-5,377.00"
"15.","NIGERIA","2,221.90","9,949.17","12,171.07","-7,727.27"
"16.","AUSTRALIA","3,262.98","8,898.78","12,161.76","-5,635.80"
"17.","IRAQ","1,004.39","10,837.58","11,841.98","-9,833.19"
"18.","UNSPECIFIED","2,482.91","8,709.59","11,192.50","-6,226.69"
"19.","QATAR","902.13","9,022.16","9,924.29","-8,120.02"
"20.","SOUTH AFRICA","3,588.07","5,948.42","9,536.48","-2,360.35"
"21.","IRAN","2,781.51","6,278.75","9,060.26","-3,497.24"
"22.","THAILAND","2,987.86","5,510.16","8,498.03","-2,522.30"
"23.","FRANCE","4,633.40","3,730.31","8,363.71","903.09"
"24.","ITALY","4,217.73","4,072.22","8,289.95","145.51"
"25.","VIETNAM SOC REP","5,265.99","2,560.39","7,826.38","2,705.60"
"26.","BANGLADESH PR","6,034.94","727.15","6,762.09","5,307.79"
"27.","BRAZIL","2,650.34","4,040.09","6,690.43","-1,389.74"
"28.","NETHERLAND","4,725.10","1,859.90","6,585.00","2,865.20"
"29.","CANADA","2,018.42","4,234.03","6,252.45","-2,215.61"
"30.","KUWAIT","1,247.51","4,969.69","6,217.21","-3,722.18"
"31.","RUSSIA","1,587.81","4,584.98","6,172.79","-2,997.17"
"32.","SRI LANKA DSR","5,310.75","742.79","6,053.54","4,567.96"
"33.","VENEZUELA","130.65","5,701.81","5,832.47","-5,571.16"
"34.","MEXICO","2,865.13","2,283.19","5,148.32","581.93"
"35.","TURKEY","4,140.00","776.94","4,916.94","3,363.07"
"36.","ISRAEL","2,821.18","2,095.33","4,916.50","725.85"
"37.","SPAIN","3,237.11","1,646.02","4,883.13","1,591.09"
"38.","TAIWAN","1,425.92","3,354.28","4,780.21","-1,928.36"
"39.","NEPAL","3,902.70","470.59","4,373.29","3,432.12"
"40.","OMAN","2,190.96","1,674.71","3,865.66","516.25"
"41.","GHANA","623.73","2,981.27","3,605.01","-2,357.54"
"42.","EGYPT A RP","2,337.68","1,221.20","3,558.88","1,116.48"
"43.","KENYA","3,025.85","127.55","3,153.40","2,898.30"
