Rank,Country,Export,Import,Total Trade,Trade Balance
"1.","CHINA P RP","58,939.41","404,050.84","462,990.25","-345,111.43"
"2.","U S A","263,860.49","142,678.20","406,538.69","121,182.29"
"3.","U ARAB EMTS","198,306.23","126,981.39","325,287.62","71,324.85"
"4.","SAUDI ARAB","41,712.03","132,579.98","174,292.01","-90,867.95"
"5.","SWITZERLAND","6,421.29","126,074.29","132,495.58","-119,653.00"
"6.","GERMANY","46,456.63","79,098.18","125,554.81","-32,641.54"
"7.","HONG KONG","79,307.02","39,635.91","118,942.93","39,671.11"
"8.","KOREA RP","23,043.48","85,363.11","108,406.59","-62,319.63"
"9.","INDONESIA","18,446.07","85,799.57","104,245.64","-67,353.51"
"10.","SINGAPORE","50,531.32","47,734.89","98,266.22","2,796.43"
"11.","JAPAN","30,434.67","64,493.15","94,927.81","-34,058.48"
"12.","U K","57,769.86","33,936.31","91,706.17","23,833.55"
"13.","BELGIUM","32,958.75","54,001.31","86,960.06","-21,042.57"
"14.","MALAYSIA","24,159.33","59,373.17","83,532.50","-35,213.84"
"15.","AUSTRALIA","21,330.80","58,180.67","79,511.46","-36,849.87"
"16.","NIGERIA","14,523.43","64,922.61","79,446.05","-50,399.18"
"17.","IRAQ","6,549.76","70,564.30","77,114.05","-64,014.54"
"18.","UNSPECIFIED","16,214.07","56,925.54","73,139.60","-40,711.47"
"19.","QATAR","5,899.13","58,911.99","64,811.12","-53,012.86"
"20.","SOUTH AFRICA","23,406.61","38,785.39","62,192.00","-15,378.78"
"21.","IRAN","18,176.71","40,822.87","58,999.58","-22,646.16"
"22.","THAILAND","19,556.89","36,011.07","55,567.96","-16,454.19"
"23.","FRANCE","30,326.12","24,420.14","54,746.26","5,905.98"
"24.","ITALY","27,634.65","26,644.63","54,279.27","990.02"
"25.","VIETNAM SOC REP","34,589.35","16,763.12","51,352.47","17,826.24"
"26.","BANGLADESH PR","39,527.26","4,767.07","44,294.33","34,760.19"
"27.","BRAZIL","17,260.86","26,392.48","43,653.35","-9,131.62"
"28.","NETHERLAND","30,941.80","12,168.10","43,109.90","18,773.70"
"29.","CANADA","13,206.80","27,792.77","40,999.57","-14,585.98"
"30.","KUWAIT","8,160.59","32,378.82","40,539.41","-24,218.23"
"31.","RUSSIA","10,408.94","29,986.47","40,395.40","-19,577.53"
"32.","SRI LANKA DSR","34,659.90","4,853.58","39,513.48","29,806.33"
"33.","VENEZUELA","851.75","37,150.29","38,002.05","-36,298.54"
"34.","MEXICO","18,793.37","14,905.12","33,698.49","3,888.25"
"35.","TURKEY","27,135.60","5,080.05","32,215.65","22,055.55"
"36.","ISRAEL","18,466.87","13,712.93","32,179.80","4,753.94"
"37.","SPAIN","21,212.95","10,756.05","31,969.00","10,456.90"
"38.","TAIWAN","9,328.64","21,920.53","31,249.17","-12,591.89"
"39.","NEPAL","25,551.51","3,069.35","28,620.86","22,482.16"
