Rank,Country,Export,Import,Total Trade,Trade Balance
"1.","UNSPECIFIED","997.19","86,063.18","87,060.37","-85,065.99"
"2.","U S A","52,730.37","21,504.82","74,235.19","31,225.55"
"3.","BELGIUM","8,042.50","17,963.99","26,006.49","-9,921.49"
"4.","U K","12,081.44","13,439.44","25,520.88","-1,358.00"
"5.","CHINA P RP","9,560.39","13,512.15","23,072.54","-3,951.76"
"6.","GERMANY","10,195.34","11,636.77","21,832.12","-1,441.43"
"7.","U ARAB EMTS","16,103.43","4,631.39","20,734.82","11,472.04"
"8.","JAPAN","9,021.01","8,886.97","17,907.98","134.04"
"9.","HONG KONG","12,647.27","4,706.87","17,354.14","7,940.40"
"10.","SINGAPORE","6,879.78","6,943.81","13,823.59","-64.04"
"11.","SWITZERLAND","1,852.19","11,275.50","13,127.69","-9,423.31"
"12.","SOUTH AFRICA","2,342.22","10,131.47","12,473.69","-7,789.25"
"13.","MALAYSIA","3,626.61","7,091.92","10,718.54","-3,465.31"
"14.","INDONESIA","3,997.74","6,682.76","10,680.50","-2,685.02"
"15.","ITALY","6,567.62","3,929.63","10,497.25","2,637.99"
"16.","FRANCE","5,198.11","5,295.32","10,493.43","-97.20"
"17.","KOREA RP","3,120.78","7,365.83","10,486.61","-4,245.05"
"18.","AUSTRALIA","2,439.98","6,469.43","8,909.40","-4,029.45"
"19.","SAUDI ARAB","4,552.75","2,442.62","6,995.38","2,110.13"
"20.","NETHERLAND","5,071.40","1,866.81","6,938.20","3,204.59"
"21.","RUSSIA","3,407.03","2,867.94","6,274.97","539.09"
"22.","CANADA","3,379.28","2,740.58","6,119.86","638.69"
"23.","TAIWAN","2,799.70","3,207.30","6,007.00","-407.60"
"24.","BANGLADESH PR","5,691.29","300.29","5,991.58","5,390.99"
"25.","ISRAEL","3,070.87","2,916.68","5,987.54","154.19"
"26.","THAILAND","3,441.86","1,834.19","5,276.04","1,607.67"
"27.","SRI LANKA DSR","4,457.12","439.55","4,896.67","4,017.56"
"28.","SPAIN","3,922.38","857.20","4,779.58","3,065.17"
"29.","IRAN","3,168.58","1,250.04","4,418.62","1,918.54"
"30.","BRAZIL","2,318.30","1,533.11","3,851.41","785.20"
"31.","SWEDEN","853.16","2,504.73","3,357.88","-1,651.57"
"32.","NEPAL","1,695.56","1,363.59","3,059.15","331.97"
"33.","PHILIPPINES","2,284.26","598.98","2,883.24","1,685.27"
"34.","NIGERIA","2,173.34","378.10","2,551.44","1,795.24"
"35.","EGYPT A RP","1,443.35","1,096.50","2,539.86","346.85"
"36.","ARGENTINA","291.77","1,955.84","2,247.62","-1,664.07"
"37.","KUWAIT","1,212.61","868.72","2,081.33","343.89"
"38.","TURKEY","1,782.52","288.62","2,071.14","1,493.90"
"39.","MYANMAR","363.32","1,626.29","1,989.61","-1,262.97"
"40.","VIETNAM SOC REP","1,632.82","141.23","1,774.05","1,491.59"
"41.","MEXICO","1,265.79","317.10","1,582.89","948.69"
"42.","DENMARK","888.86","693.79","1,582.65","195.06"
"43.","MOROCCO","615.17","966.22","1,581.39","-351.05"
"44.","JORDAN","492.72","1,086.22","1,578.93","-593.50"
"45.","UKRAINE","453.45","943.50","1,396.95","-490.05"
"46.","FINLAND","344.29","963.05","1,307.33","-618.76"
"47.","PAKISTAN IR","997.73","217.05","1,214.78","780.69"
"48.","AUSTRIA","392.54","794.70","1,187.24","-402.16"
