Rank,Country,Export,Import,Total Trade,Trade Balance
"1.","UNSPECIFIED","206.05","17,783.38","17,989.43","-17,577.32"
"2.","U S A","10,895.76","4,443.58","15,339.34","6,452.19"
"3.","BELGIUM","1,661.84","3,711.93","5,373.76","-2,050.09"
"4.","U K","2,496.41","2,777.01","5,273.42","-280.61"
"5.","CHINA P RP","1,975.48","2,792.04","4,767.52","-816.56"
"6.","GERMANY","2,106.68","2,404.53","4,511.21","-297.84"
"7.","U ARAB EMTS","3,327.48","956.99","4,284.47","2,370.49"
"8.","JAPAN","1,864.03","1,836.33","3,700.35","27.70"
"9.","HONG KONG","2,613.33","972.59","3,585.91","1,640.74"
"10.","SINGAPORE","1,421.58","1,434.81","2,856.39","-13.23"
"11.","SWITZERLAND","382.72","2,329.88","2,712.60","-1,947.15"
"12.","SOUTH AFRICA","483.98","2,093.48","2,577.46","-1,609.51"
"13.","MALAYSIA","749.37","1,465.42","2,214.79","-716.04"
"14.","INDONESIA","826.06","1,380.87","2,206.93","-554.81"
"15.","ITALY","1,357.08","811.99","2,169.06","545.09"
"16.","FRANCE","1,074.09","1,094.18","2,168.27","-20.09"
"17.","KOREA RP","644.85","1,522.01","2,166.87","-877.16"
"18.","AUSTRALIA","504.18","1,336.79","1,840.96","-832.61"
"19.","SAUDI ARAB","940.74","504.72","1,445.47","436.02"
"20.","NETHERLAND","1,047.91","385.74","1,433.65","662.17"
"21.","RUSSIA","704.00","592.61","1,296.61","111.39"
"22.","CANADA","698.27","566.29","1,264.56","131.97"
"23.","TAIWAN","578.51","662.73","1,241.24","-84.22"
"24.","BANGLADESH PR","1,176.00","62.05","1,238.05","1,113.95"
"25.","ISRAEL","634.54","602.68","1,237.22","31.86"
"26.","THAILAND","711.20","379.00","1,090.20","332.20"
"27.","SRI LANKA DSR","920.98","90.83","1,011.81","830.16"
"28.","SPAIN","810.49","177.12","987.61","633.36"
"29.","IRAN","654.73","258.30","913.03","396.43"
"30.","BRAZIL","479.03","316.79","795.82","162.25"
"31.","SWEDEN","176.29","517.56","693.85","-341.27"
"32.","NEPAL","350.36","281.76","632.12","68.59"
"33.","PHILIPPINES","472.00","123.77","595.77","348.23"
"34.","NIGERIA","449.08","78.13","527.21","370.95"
"35.","EGYPT A RP","298.24","226.57","524.81","71.67"
"36.","ARGENTINA","60.29","404.14","464.43","-343.85"
"37.","KUWAIT","250.56","179.50","430.07","71.06"
"38.","TURKEY","368.33","59.64","427.96","308.69"
"39.","MYANMAR","75.07","336.04","411.12","-260.97"
"40.","VIETNAM SOC REP","337.39","29.18","366.57","308.21"
"41.","MEXICO","261.55","65.52","327.07","196.03"
"42.","DENMARK","183.67","143.36","327.03","40.31"
"43.","MOROCCO","127.11","199.65","326.77","-72.54"
"44.","JORDAN","101.81","224.45","326.26","-122.64"
"45.","UKRAINE","93.70","194.96","288.65","-101.26"
"46.","FINLAND","71.14","199.00","270.14","-127.86"
