Rank,Country,Export,Import,Total Trade,Trade Balance
"1.","U S A","53,084.03","35,662.51","88,746.55","17,421.52"
"2.","CHINA P RP","16,607.20","65,259.36","81,866.57","-48,652.16"
"3.","U ARAB EMTS","28,853.47","30,256.64","59,110.10","-1,403.17"
"4.","SAUDI ARAB","6,236.85","26,857.37","33,094.22","-20,620.52"
"5.","HONG KONG","10,967.05","16,935.28","27,902.33","-5,968.23"
"6.","IRAQ","1,878.17","23,740.18","25,618.34","-21,862.01"
"7.","SINGAPORE","8,922.58","14,746.77","23,669.35","-5,824.19"
"8.","GERMANY","8,290.70","13,351.27","21,641.97","-5,060.56"
"9.","KOREA RP","4,845.11","15,659.70","20,504.82","-10,814.59"
"10.","INDONESIA","4,123.89","15,061.87","19,185.76","-10,937.99"
"11.","SWITZERLAND","1,200.00","16,899.70","18,099.69","-15,699.70"
"12.","JAPAN","4,519.79","12,434.66","16,954.45","-7,914.88"
"13.","MALAYSIA","6,364.40","9,782.27","16,146.67","-3,417.87"
"14.","U K","8,737.63","6,712.63","15,450.26","2,025.01"
"15.","BELGIUM","5,809.87","8,879.44","14,689.31","-3,069.57"
"16.","NIGERIA","3,609.94","10,213.61","13,823.55","-6,603.66"
"17.","AUSTRALIA","2,851.82","9,782.22","12,634.04","-6,930.40"
"18.","VIETNAM SOC REP","5,059.88","7,283.42","12,343.30","-2,223.55"
"19.","NETHERLAND","8,365.65","3,390.74","11,756.38","4,974.91"
"20.","THAILAND","4,299.28","6,788.38","11,087.66","-2,489.10"
"21.","SOUTH AFRICA","4,108.10","6,969.79","11,077.90","-2,861.69"
"22.","FRANCE","5,097.57","5,955.16","11,052.73","-857.59"
"23.","QATAR","1,268.35","9,685.98","10,954.33","-8,417.63"
"24.","KUWAIT","1,286.56","9,573.80","10,860.36","-8,287.24"
"25.","RUSSIA","3,017.58","7,093.01","10,110.59","-4,075.42"
"26.","ITALY","4,970.81","4,489.13","9,459.94","481.68"
"27.","BANGLADESH PR","8,188.98","1,263.78","9,452.76","6,925.21"
"28.","MEXICO","3,623.70","4,296.80","7,920.50","-673.09"
"29.","NEPAL","7,146.18","711.61","7,857.79","6,434.57"
"30.","TURKEY","4,969.37","2,116.56","7,085.92","2,852.81"
"31.","BRAZIL","3,967.39","3,072.18","7,039.57","895.21"
"32.","CANADA","2,851.53","3,880.33","6,731.87","-1,028.80"
"33.","VENEZUELA","339.71","6,057.01","6,396.72","-5,717.30"
"34.","OMAN","2,261.81","3,669.33","5,931.14","-1,407.53"
"35.","TAIWAN","1,674.34","4,046.23","5,720.57","-2,371.89"
"36.","SPAIN","3,945.34","1,613.16","5,558.50","2,332.18"
"37.","ISRAEL","3,363.02","1,592.70","4,955.72","1,770.32"
"38.","IRAN","3,373.62","1,397.33","4,770.95","1,976.29"
"39.","SRI LANKA DSR","3,800.90","903.69","4,704.59","2,897.21"
"40.","EGYPT A RP","2,504.23","2,031.38","4,535.61","472.86"
"41.","ANGOLA","285.10","3,649.02","3,934.11","-3,363.92"
"42.","ARGENTINA","763.23","2,327.26","3,090.49","-1,564.03"
"43.","MOZAMBIQUE","2,174.31","835.07","3,009.38","1,339.24"
"44.","TANZANIA REP","1,740.08","1,023.47","2,763.56","716.61"
"45.","UNSPECIFIED","2,521.86","123.13","2,644.99","2,398.73"
"46.","ALGERIA","611.02","1,996.76","2,607.79","-1,385.74"
