Rank,Country,Export,Import,Total Trade,Trade Balance
"1.","U S A","376,131.80","252,237.38","628,369.18","123,894.42"
"2.","CHINA P RP","117,633.87","461,514.52","579,148.39","-343,880.65"
"3.","U ARAB EMTS","204,236.99","214,446.94","418,683.93","-10,209.95"
"4.","SAUDI ARAB","44,266.79","190,245.22","234,512.01","-145,978.43"
"5.","HONG KONG","77,751.97","119,998.74","197,750.70","-42,246.77"
"6.","IRAQ","13,286.60","168,354.48","181,641.08","-155,067.88"
"7.","SINGAPORE","63,026.34","104,394.08","167,420.42","-41,367.74"
"8.","GERMANY","58,721.24","94,462.02","153,183.26","-35,740.78"
"9.","KOREA RP","34,337.41","110,883.44","145,220.85","-76,546.02"
"10.","INDONESIA","29,260.59","106,727.27","135,987.86","-77,466.68"
"11.","SWITZERLAND","8,504.72","119,238.01","127,742.72","-110,733.29"
"12.","JAPAN","31,999.54","88,033.57","120,033.11","-56,034.04"
"13.","MALAYSIA","45,104.55","69,166.58","114,271.13","-24,062.03"
"14.","U K","61,880.68","47,494.84","109,375.53","14,385.84"
"15.","BELGIUM","41,164.11","62,830.62","103,994.72","-21,666.51"
"16.","NIGERIA","25,601.23","72,428.29","98,029.52","-46,827.06"
"17.","AUSTRALIA","20,195.59","69,183.24","89,378.83","-48,987.65"
"18.","VIETNAM SOC REP","35,851.17","51,490.60","87,341.76","-15,639.43"
"19.","NETHERLAND","59,187.17","23,993.20","83,180.37","35,193.97"
"20.","SOUTH AFRICA","29,113.81","49,507.25","78,621.05","-20,393.44"
"21.","THAILAND","30,451.40","48,047.85","78,499.25","-17,596.45"
"22.","FRANCE","36,109.88","42,084.33","78,194.21","-5,974.45"
"23.","QATAR","8,995.29","68,716.93","77,712.22","-59,721.64"
"24.","KUWAIT","9,111.90","67,932.09","77,043.99","-58,820.19"
"25.","RUSSIA","21,399.27","50,291.07","71,690.34","-28,891.80"
"26.","BANGLADESH PR","58,092.18","8,968.10","67,060.27","49,124.08"
"27.","ITALY","35,259.32","31,764.72","67,024.04","3,494.60"
"28.","MEXICO","25,652.53","30,441.37","56,093.90","-4,788.84"
"29.","NEPAL","50,611.72","5,044.97","55,656.68","45,566.75"
"30.","TURKEY","35,224.21","14,985.24","50,209.45","20,238.98"
"31.","BRAZIL","28,118.21","21,802.13","49,920.34","6,316.08"
"32.","CANADA","20,212.99","27,423.46","47,636.45","-7,210.46"
"33.","VENEZUELA","2,439.44","42,955.10","45,394.54","-40,515.66"
"34.","OMAN","16,080.79","26,085.68","42,166.47","-10,004.88"
"35.","TAIWAN","11,883.13","28,654.47","40,537.60","-16,771.34"
"36.","SPAIN","27,953.03","11,417.00","39,370.03","16,536.03"
"37.","ISRAEL","23,806.83","11,296.59","35,103.42","12,510.24"
"38.","IRAN","23,854.29","9,762.02","33,616.30","14,092.27"
"39.","SRI LANKA DSR","26,934.45","6,406.63","33,341.08","20,527.81"
"40.","EGYPT A RP","17,724.10","14,390.89","32,114.99","3,333.21"
"41.","ANGOLA","2,019.22","25,832.09","27,851.31","-23,812.88"
"42.","ARGENTINA","5,428.58","16,509.64","21,938.21","-11,081.06"
"43.","MOZAMBIQUE","15,410.61","5,911.40","21,322.02","9,499.21"
"44.","TANZANIA REP","12,327.47","7,287.51","19,614.98","5,039.95"
"45.","UNSPECIFIED","17,835.61","867.67","18,703.28","16,967.94"
"46.","ALGERIA","4,316.87","14,122.19","18,439.06","-9,805.32"
"47.","UKRAINE","3,286.09","14,618.66","17,904.75","-11,332.57"
"48.","KAZAKHSTAN","1,435.59","16,036.68","17,472.27","-14,601.09"
"49.","POLAND","10,966.90","5,998.92","16,965.83","4,967.98"
"50.","GHANA","4,374.52","12,499.58","16,874.10","-8,125.07"
"51.","PERU","5,408.57","11,141.19","16,549.76","-5,732.62"
"52.","KENYA","14,936.57","632.78","15,569.35","14,303.78"
"53.","PHILIPPINES","10,814.70","3,706.09","14,520.80","7,108.61"
"54.","JORDAN","6,770.87","7,542.61","14,313.48","-771.75"
"55.","CHILE","5,611.68","8,312.73","13,924.41","-2,701.05"
"56.","SWEDEN","5,300.56","7,885.98","13,186.54","-2,585.42"
"57.","COLOMBIA","7,397.67","5,768.43","13,166.10","1,629.24"
"58.","MOROCCO","5,662.07","6,724.91","12,386.98","-1,062.85"
"59.","AFGHANISTAN TIS","7,084.58","3,765.61","10,850.19","3,318.98"
"60.","SUDAN","7,791.08","2,800.28","10,591.37","4,990.80"
"61.","MYANMAR","6,567.51","3,910.16","10,477.67","2,657.35"
"62.","TOGO","7,395.06","2,703.81","10,098.86","4,691.25"
"63.","DENMARK","5,198.16","4,484.32","9,682.48","713.85"
"64.","IRELAND","3,783.19","4,266.04","8,049.24","-482.85"
"65.","BHUTAN","5,068.12","2,870.77","7,938.89","2,197.35"
"66.","ZAMBIA","1,754.19","5,986.03","7,740.21","-4,231.84"
"67.","AUSTRIA","3,228.70","4,458.61","7,687.31","-1,229.90"
"68.","NORWAY","2,973.91","4,480.91","7,454.83","-1,507.00"
"69.","BAHARAIN IS","3,969.62","2,990.33","6,959.96","979.29"
"70.","EQUTL GUINEA","77.71","6,857.82","6,935.53","-6,780.11"
"71.","BOLIVIA","803.89","5,995.82","6,799.71","-5,191.92"
"72.","SENEGAL","3,388.25","3,316.31","6,704.57","71.94"
"73.","BOTSWANA","1,265.32","5,284.32","6,549.64","-4,019.00"
"74.","CAMEROON","1,621.24","4,793.79","6,415.04","-3,172.55"
