Rank,Country,Export,Import,Total Trade,Trade Balance
"1.","U S A","7,199.59","3,640.25","10,839.84","3,559.34"
"2.","U K","1,855.40","2,621.37","4,476.77","-765.96"
"3.","BELGIUM","1,287.88","2,876.80","4,164.68","-1,588.91"
"4.","JAPAN","1,652.00","2,465.72","4,117.72","-813.72"
"5.","GERMANY","1,851.94","2,140.68","3,992.63","-288.74"
"6.","U ARAB EMTS","1,867.59","1,721.24","3,588.83","146.35"
"7.","SWITZERLAND","319.06","2,942.37","3,261.43","-2,623.30"
"8.","SAUDI ARAB","774.29","1,831.47","2,605.76","-1,057.18"
"9.","HONG KONG","1,880.57","449.31","2,329.88","1,431.25"
"10.","ITALY","1,054.99","1,088.26","2,143.25","-33.27"
"11.","MALAYSIA","321.69","1,608.36","1,930.05","-1,286.67"
"12.","SINGAPORE","517.53","1,384.16","1,901.69","-866.63"
"13.","AUSTRALIA","387.41","1,445.01","1,832.42","-1,057.60"
"14.","SOUTH AFRICA","387.72","1,351.88","1,739.59","-964.16"
"15.","KOREA RP","307.90","1,394.43","1,702.32","-1,086.53"
"16.","KUWAIT","164.67","1,501.09","1,665.76","-1,336.43"
"17.","FRANCE","829.70","719.60","1,549.30","110.10"
"18.","CHINA P RP","427.16","1,096.71","1,523.87","-669.55"
"19.","NIGERIA","248.09","1,177.73","1,425.82","-929.65"
"20.","RUSSIA","709.42","545.54","1,254.96","163.88"
"21.","NETHERLAND","763.53","464.19","1,227.72","299.34"
"22.","BANGLADESH PR","995.64","62.40","1,058.04","933.24"
"23.","INDONESIA","185.27","829.10","1,014.37","-643.84"
"24.","CANADA","473.01","385.57","858.58","87.44"
"25.","SPAIN","499.34","214.28","713.63","285.06"
"26.","ISRAEL","355.21","350.27","705.48","4.94"
"27.","TAIWAN","307.96","367.45","675.41","-59.48"
"28.","IRAN","159.12","473.73","632.85","-314.62"
"29.","THAILAND","321.00","273.11","594.11","47.88"
"30.","BAHARAIN IS","56.84","470.44","527.28","-413.60"
"31.","SRI LANKA DSR","437.13","37.68","474.80","399.45"
"32.","EGYPT A RP","270.34","192.39","462.73","77.95"
"33.","MOROCCO","28.45","402.00","430.45","-373.55"
"34.","ARGENTINA","74.00","339.29","413.28","-265.29"
"35.","SWEDEN","149.61","200.22","349.83","-50.61"
"36.","JORDAN","68.77","275.98","344.75","-207.21"
"37.","BRAZIL","133.29","195.81","329.10","-62.52"
"38.","PAKISTAN IR","106.10","214.45","320.55","-108.34"
"39.","DENMARK","186.54","99.70","286.24","86.84"
"40.","TURKEY","169.90","98.58","268.48","71.32"
"41.","NEPAL","122.41","144.85","267.26","-22.44"
"42.","FINLAND","76.62","177.98","254.59","-101.36"
"43.","TUNISIA","22.82","199.96","222.78","-177.14"
"44.","MEXICO","130.20","92.02","222.23","38.18"
"45.","TANZANIA REP","85.41","124.63","210.04","-39.22"
"46.","MYANMAR","30.12","173.76","203.88","-143.64"
"47.","IRAQ","36.30","151.17","187.47","-114.87"
"48.","KENYA","145.20","36.21","181.40","108.99"
"49.","UKRAINE","34.39","135.82","170.21","-101.44"
"50.","MAURITIUS","161.12","2.01","163.13","159.11"
"51.","PHILIPPINES","118.74","37.25","155.99","81.48"
"52.","SENEGAL","34.22","117.07","151.30","-82.85"
"53.","GREECE","135.99","10.34","146.34","125.65"
"54.","NEW ZEALAND","56.82","88.33","145.15","-31.52"
"55.","OMAN","118.55","22.68","141.22","95.87"
"56.","AUSTRIA","77.58","59.64","137.22","17.94"
"57.","VIETNAM SOC REP","125.43","9.14","134.57","116.29"
"58.","POLAND","93.06","33.81","126.87","59.26"
"59.","CHILE","68.06","56.29","124.34","11.77"
"60.","NORWAY","55.55","66.32","121.87","-10.77"
"61.","PORTUGAL","106.28","9.34","115.62","96.94"
"62.","QATAR","40.16","70.14","110.30","-29.99"
"63.","KOREA DP RP","18.96","90.20","109.15","-71.24"
"64.","IRELAND","67.43","40.18","107.62","27.25"
"65.","COTE D' IVOIRE","66.09","38.10","104.19","27.99"
