Rank,Country,Export,Import,Total Trade,Trade Balance
"1.","U S A","20,731.34","21,067.24","41,798.58","-335.90"
"2.","CHINA P RP","10,871.34","27,146.41","38,017.74","-16,275.07"
"3.","U ARAB EMTS","15,636.91","13,482.61","29,119.52","2,154.30"
"4.","SAUDI ARAB","3,711.16","19,470.30","23,181.46","-15,759.15"
"5.","SINGAPORE","7,379.20","8,122.63","15,501.83","-743.43"
"6.","GERMANY","5,121.53","9,884.83","15,006.36","-4,763.31"
"7.","IRAN","1,943.92","10,943.61","12,887.52","-8,999.69"
"8.","U K","6,705.50","4,953.68","11,659.18","1,751.81"
"9.","SWITZERLAND","614.40","9,758.28","10,372.68","-9,143.87"
"10.","JAPAN","3,858.48","6,325.92","10,184.40","-2,467.44"
"11.","HONG KONG","6,312.96","2,697.61","9,010.57","3,615.35"
"12.","AUSTRALIA","1,152.40","7,815.32","8,967.72","-6,662.92"
"13.","KOREA RP","2,860.84","6,044.80","8,905.64","-3,183.96"
"14.","FRANCE","2,599.64","6,265.76","8,865.41","-3,666.12"
"15.","NIGERIA","1,085.41","7,612.02","8,697.43","-6,526.61"
"16.","MALAYSIA","2,575.26","6,012.90","8,588.16","-3,437.64"
"17.","BELGIUM","4,207.08","4,349.93","8,557.01","-142.85"
"18.","KUWAIT","681.54","7,704.25","8,385.79","-7,022.71"
"19.","ITALY","3,914.02","3,906.72","7,820.73","7.30"
"20.","NETHERLAND","5,249.08","1,926.73","7,175.81","3,322.34"
"21.","IRAQ","272.10","6,837.80","7,109.90","-6,565.70"
"22.","INDONESIA","2,164.17","4,821.25","6,985.42","-2,657.07"
"23.","SOUTH AFRICA","2,660.75","3,605.35","6,266.10","-944.60"
"24.","TAIWAN","1,735.67","2,399.52","4,135.19","-663.85"
"25.","THAILAND","1,810.87","2,300.93","4,111.80","-490.05"
"26.","BRAZIL","2,525.90","949.95","3,475.85","1,575.95"
"27.","SRI LANKA DSR","2,830.43","634.96","3,465.39","2,195.47"
"28.","TURKEY","1,752.61","1,687.59","3,440.20","65.01"
"29.","RUSSIA","940.61","2,478.16","3,418.77","-1,537.55"
"30.","EGYPT A RP","1,398.83","1,985.52","3,384.34","-586.69"
"31.","SPAIN","2,293.59","995.64","3,289.23","1,297.94"
"32.","CANADA","1,266.64","1,981.22","3,247.86","-714.57"
"33.","BANGLADESH PR","2,923.72","257.02","3,180.74","2,666.70"
"34.","ISRAEL","1,604.36","1,425.94","3,030.30","178.42"
"35.","QATAR","538.73","2,455.75","2,994.49","-1,917.02"
"36.","SWEDEN","544.19","2,128.11","2,672.31","-1,583.92"
"37.","YEMEN REPUBLC","1,010.82","1,457.78","2,468.60","-446.95"
"38.","PAKISTAN IR","1,950.53","287.97","2,238.50","1,662.56"
"39.","UNSPECIFIED","365.21","1,779.76","2,144.97","-1,414.55"
"40.","NEPAL","1,507.42","628.56","2,135.98","878.86"
"41.","CHILE","250.21","1,837.21","2,087.41","-1,587.00"
"42.","OMAN","939.43","1,141.46","2,080.88","-202.03"
"43.","NORWAY","265.65","1,639.55","1,905.20","-1,373.90"
"44.","VIETNAM SOC REP","1,610.09","173.68","1,783.77","1,436.40"
"45.","MEXICO","592.35","1,189.13","1,781.48","-596.77"
"46.","KENYA","1,584.63","86.64","1,671.27","1,497.99"
"47.","ALGERIA","377.17","1,238.95","1,616.12","-861.77"
"48.","LIBYA","135.98","1,230.67","1,366.65","-1,094.69"
"49.","ANGOLA","261.47","1,024.74","1,286.21","-763.27"
"50.","UKRAINE","400.04","883.50","1,283.54","-483.47"
"51.","ARGENTINA","290.09","906.84","1,196.93","-616.76"
"52.","FINLAND","239.74","927.98","1,167.73","-688.24"
"53.","MAURITIUS","1,088.82","10.05","1,098.87","1,078.77"
"54.","BAHARAIN IS","252.47","835.42","1,087.89","-582.95"
"55.","JORDAN","358.33","687.06","1,045.39","-328.73"
"56.","KOREA DP RP","850.96","161.41","1,012.37","689.55"
"57.","MYANMAR","185.82","808.63","994.45","-622.81"
"58.","DENMARK","496.57","464.54","961.11","32.03"
"59.","GHANA","795.12","140.60","935.72","654.53"
"60.","COLOMBIA","760.14","83.78","843.92","676.36"
"61.","SUDAN","407.51","433.14","840.66","-25.63"
"62.","PHILIPPINES","620.32","204.54","824.87","415.78"
"63.","GUINEA","130.30","685.75","816.05","-555.44"
"64.","AUSTRIA","183.41","585.94","769.36","-402.53"
"65.","TANZANIA REP","588.00","166.38","754.38","421.63"
"66.","MOROCCO","208.43","499.40","707.83","-290.97"
"67.","SYRIA","672.78","20.24","693.02","652.55"
"68.","ROMANIA","262.55","416.91","679.45","-154.36"
"69.","GREECE","530.38","126.20","656.58","404.18"
"70.","POLAND","447.45","189.46","636.92","257.99"
"71.","CZECH REPUBLIC","180.28","447.73","628.00","-267.45"
"72.","IRELAND","314.47","260.32","574.78","54.15"
"73.","VENEZUELA","142.80","389.91","532.70","-247.11"
"74.","PORTUGAL","495.91","35.69","531.61","460.22"
"75.","NEW ZEALAND","158.82","335.94","494.76","-177.12"
