Rank,Country,Export,Import,Total Trade,Trade Balance
"1.","CHINA P RP","85,994.30","492,236.17","578,230.47","-406,241.87"
"2.","U S A","308,602.69","171,564.48","480,167.17","137,038.21"
"3.","U ARAB EMTS","181,456.93","140,095.89","321,552.82","41,361.04"
"4.","SAUDI ARAB","34,867.98","142,240.74","177,108.72","-107,372.76"
"5.","HONG KONG","94,677.35","68,777.02","163,454.37","25,900.33"
"6.","GERMANY","55,993.63","85,700.20","141,693.84","-29,706.57"
"7.","KOREA RP","28,751.44","105,422.84","134,174.28","-76,671.40"
"8.","INDONESIA","25,561.76","105,961.12","131,522.87","-80,399.36"
"9.","SWITZERLAND","6,986.98","122,017.81","129,004.79","-115,030.83"
"10.","IRAQ","9,422.65","113,452.67","122,875.32","-104,030.01"
"11.","AUSTRALIA","25,856.52","90,197.22","116,053.74","-64,340.69"
"12.","SINGAPORE","65,789.31","48,132.82","113,922.13","17,656.49"
"13.","JAPAN","30,505.99","70,745.25","101,251.24","-40,239.25"
"14.","MALAYSIA","36,738.21","58,081.29","94,819.49","-21,343.08"
"15.","U K","62,431.40","30,989.47","93,420.87","31,441.93"
"16.","IRAN","17,093.71","71,620.10","88,713.81","-54,526.40"
"17.","VIETNAM SOC REP","50,388.38","32,356.71","82,745.09","18,031.66"
"18.","BELGIUM","40,007.25","38,645.69","78,652.94","1,361.56"
"19.","NIGERIA","14,535.26","61,293.31","75,828.57","-46,758.05"
"20.","UNSPECIFIED","15,661.95","59,301.08","74,963.02","-43,639.13"
"21.","FRANCE","31,586.10","42,032.33","73,618.43","-10,446.22"
"22.","THAILAND","23,551.30","45,987.99","69,539.29","-22,436.69"
"23.","RUSSIA","13,622.02","55,287.09","68,909.11","-41,665.07"
"24.","SOUTH AFRICA","24,659.80","44,055.74","68,715.54","-19,395.93"
"25.","ITALY","36,806.07","30,336.79","67,142.86","6,469.27"
"26.","QATAR","9,487.72","54,210.54","63,698.26","-44,722.82"
"27.","BANGLADESH PR","55,536.99","4,419.98","59,956.97","51,117.02"
"28.","NETHERLAND","40,343.97","16,198.91","56,542.88","24,145.06"
"29.","BRAZIL","19,747.31","35,428.54","55,175.85","-15,681.23"
"30.","KUWAIT","8,803.76","46,220.90","55,024.66","-37,417.14"
"31.","MEXICO","24,384.32","25,329.59","49,713.91","-945.27"
"32.","CANADA","16,153.54","30,479.07","46,632.61","-14,325.53"
"33.","TURKEY","32,814.80","13,785.15","46,599.95","19,029.66"
"34.","NEPAL","42,623.68","2,824.57","45,448.24","39,799.11"
"35.","OMAN","15,719.38","27,500.04","43,219.42","-11,780.66"
"36.","TAIWAN","13,899.31","25,302.50","39,201.81","-11,403.19"
"37.","VENEZUELA","510.53","37,796.68","38,307.22","-37,286.15"
"38.","SPAIN","25,752.84","10,720.53","36,473.38","15,032.31"
"39.","ISRAEL","21,687.36","13,321.20","35,008.56","8,366.17"
"40.","SRI LANKA DSR","28,869.71","4,976.50","33,846.21","23,893.22"
"41.","ANGOLA","1,513.61","27,863.28","29,376.88","-26,349.67"
"42.","EGYPT A RP","15,420.54","8,332.69","23,753.23","7,087.86"
"43.","GHANA","4,098.02","17,484.30","21,582.32","-13,386.28"
"44.","PERU","4,903.73","15,331.52","20,235.25","-10,427.79"
"45.","ARGENTINA","4,567.03","14,365.07","18,932.10","-9,798.05"
"46.","CHILE","4,921.91","13,477.63","18,399.54","-8,555.72"
"47.","UKRAINE","2,128.14","15,194.49","17,322.64","-13,066.35"
"48.","TANZANIA REP","10,440.00","6,634.43","17,074.43","3,805.58"
"49.","PHILIPPINES","10,910.41","4,927.58","15,837.99","5,982.83"
"50.","PAKISTAN IR","12,397.11","3,150.30","15,547.41","9,246.81"
"51.","POLAND","9,934.39","4,943.50","14,877.89","4,990.89"
"52.","SWEDEN","4,972.37","9,440.37","14,412.75","-4,468.00"
"53.","ALGERIA","5,306.92","8,132.19","13,439.11","-2,825.27"
"54.","KENYA","12,724.49","467.81","13,192.30","12,256.68"
"55.","MOZAMBIQUE","5,805.75","6,008.65","11,814.40","-202.89"
"56.","BOTSWANA","698.40","10,560.69","11,259.09","-9,862.29"
"57.","FINLAND","1,821.26","9,022.66","10,843.92","-7,201.41"
"58.","MYANMAR","6,227.06","4,120.39","10,347.44","2,106.67"
"59.","COLOMBIA","6,054.15","3,823.22","9,877.37","2,230.93"
"60.","JORDAN","3,478.43","6,348.75","9,827.18","-2,870.32"
"61.","AUSTRIA","2,964.73","6,274.37","9,239.10","-3,309.64"
"62.","ZAMBIA","1,897.58","7,055.80","8,953.37","-5,158.22"
"63.","DENMARK","5,052.71","3,640.68","8,693.39","1,412.03"
"64.","IRELAND","3,455.02","5,125.52","8,580.54","-1,670.49"
"65.","SENEGAL","4,668.41","3,648.78","8,317.19","1,019.63"
"66.","SUDAN","5,302.59","2,917.30","8,219.89","2,385.29"
"67.","MOROCCO","2,789.13","5,025.33","7,814.45","-2,236.20"
"68.","NORWAY","2,323.16","5,425.21","7,748.38","-3,102.05"
"69.","AFGHANISTAN TIS","4,576.89","2,796.62","7,373.52","1,780.27"
"70.","MAURITIUS","6,946.61","133.56","7,080.17","6,813.05"
"71.","CZECH REPUBLIC","2,612.95","4,315.38","6,928.34","-1,702.43"
"72.","KAZAKHSTAN","807.92","5,857.10","6,665.02","-5,049.18"
"73.","NEW ZEALAND","2,274.55","4,151.77","6,426.32","-1,877.22"
"74.","BAHARAIN IS","3,588.85","2,782.92","6,371.77","805.93"
"75.","COTE D' IVOIRE","3,297.74","2,846.86","6,144.61","450.88"
"76.","PORTUGAL","4,817.60","1,225.13","6,042.72","3,592.47"
"77.","BHUTAN","3,520.02","2,435.81","5,955.83","1,084.21"
"78.","GUINEA","2,436.47","3,317.43","5,753.90","-880.97"
"79.","DOMINIC REP","1,268.69","4,172.33","5,441.02","-2,903.64"
"80.","ROMANIA","2,571.66","2,655.78","5,227.44","-84.13"
"81.","BURKINA FASO","956.53","4,081.39","5,037.92","-3,124.86"
"82.","BOLIVIA","678.57","4,304.03","4,982.60","-3,625.46"
"83.","EQUTL GUINEA","69.49","4,868.61","4,938.09","-4,799.12"
"84.","ETHIOPIA","4,409.40","306.09","4,715.49","4,103.31"
"85.","YEMEN REPUBLC","3,632.04","979.69","4,611.73","2,652.35"
"86.","BENIN","3,089.26","1,436.89","4,526.15","1,652.37"
"87.","HUNGARY","2,595.49","1,745.82","4,341.31","849.67"
"88.","AZERBAIJAN","217.14","3,827.52","4,044.66","-3,610.38"
"89.","UGANDA","3,430.72","362.37","3,793.09","3,068.36"
"90.","TOGO","2,638.60","1,055.25","3,693.85","1,583.35"
"91.","GREECE","2,795.22","618.88","3,414.10","2,176.34"
"92.","BRUNEI","407.13","2,804.59","3,211.73","-2,397.46"
"93.","ECUADOR","1,804.23","1,250.30","3,054.53","553.93"
"94.","SOMALIA","2,934.86","22.89","2,957.75","2,911.96"
"95.","CONGO D. REP.","1,450.82","1,452.87","2,903.70","-2.05"
"96.","GABON","290.72","2,547.12","2,837.84","-2,256.40"
"97.","TUNISIA","1,816.50","902.63","2,719.13","913.86"
"98.","CAMEROON","1,250.15","1,373.31","2,623.46","-123.16"
"99.","SLOVENIA","1,831.88","722.39","2,554.28","1,109.49"
"100.","MADAGASCAR","1,469.07","1,079.06","2,548.13","390.01"
"101.","DJIBOUTI","2,422.20","35.09","2,457.29","2,387.11"
"102.","PARAGUAY","1,086.13","1,077.41","2,163.54","8.72"
"103.","CONGO P REP","752.22","1,283.21","2,035.43","-531.00"
"104.","BULGARIA","1,116.77","915.73","2,032.50","201.03"
"105.","GUATEMALA","1,882.19","102.93","1,985.11","1,779.26"
"106.","LEBANON","1,657.05","248.11","1,905.17","1,408.94"
"107.","LIBERIA","1,658.16","236.63","1,894.79","1,421.53"
"108.","LITHUANIA","669.39","1,222.90","1,892.28","-553.51"
"109.","GIBRALTAR","1,878.44","0.04","1,878.47","1,878.40"
"110.","PANAMA REPUBLIC","1,462.95","279.19","1,742.14","1,183.76"
"111.","GUINEA BISSAU","68.85","1,651.29","1,720.14","-1,582.44"
"112.","BELARUS","306.90","1,337.82","1,644.73","-1,030.92"
"113.","SLOVAK REP","982.62","614.04","1,596.66","368.57"
"114.","PAPUA N GNA","270.38","1,266.16","1,536.54","-995.78"
"115.","MALI","796.44","735.66","1,532.10","60.79"
"116.","UZBEKISTAN","855.99","658.00","1,513.99","197.99"
"117.","ZIMBABWE","1,054.63","401.01","1,455.64","653.62"
"118.","LIBYA","786.56","652.70","1,439.25","133.86"
"119.","MALDIVES","1,398.66","36.55","1,435.21","1,362.11"
"120.","MALAWI","1,286.50","106.09","1,392.58","1,180.41"
"121.","MALTA","1,262.41","102.93","1,365.34","1,159.48"
"122.","COSTA RICA","860.51","433.62","1,294.13","426.89"
"123.","CROATIA","1,087.04","206.48","1,293.52","880.56"
"124.","LAO PD RP","161.16","1,088.01","1,249.17","-926.84"
"125.","URUGUAY","1,027.73","160.97","1,188.70","866.76"
"126.","SYRIA","988.52","165.31","1,153.83","823.20"
"127.","GAMBIA","775.22","377.95","1,153.17","397.27"
"128.","CAMBODIA","782.93","359.71","1,142.64","423.22"
"129.","CHAD","175.98","961.53","1,137.51","-785.56"
"130.","LATVIA","722.91","339.10","1,062.01","383.81"
"131.","HONDURAS","942.51","85.88","1,028.39","856.63"
"132.","PUERTO RICO","503.04","482.63","985.66","20.41"
"133.","ESTONIA","517.71","390.30","908.01","127.41"
"134.","NIGER","774.53","130.44","904.98","644.09"
"135.","TRINIDAD","571.70","275.76","847.47","295.94"
"136.","LESOTHO","203.34","578.36","781.70","-375.02"
"137.","SIERRA LEONE","602.20","155.72","757.93","446.48"
"138.","CYPRUS","646.29","86.74","733.03","559.55"
"139.","SURINAME","111.97","598.57","710.55","-486.60"
"140.","NAMIBIA","282.93","401.34","684.27","-118.41"
"141.","GEORGIA","497.74","174.15","671.89","323.59"
"142.","HAITI","605.85","53.21","659.06","552.64"
"143.","RWANDA","584.06","34.45","618.52","549.61"
"144.","NICARAGUA","562.78","26.82","589.61","535.96"
"145.","MAURITANIA","536.75","35.10","571.85","501.66"
"146.","SERBIA","380.55","155.30","535.85","225.25"
"147.","KOREA DP RP","372.19","161.56","533.75","210.63"
"148.","TURKMENISTAN","350.47","169.02","519.50","181.45"
"149.","EL SALVADOR","447.80","58.23","506.03","389.57"
"150.","TAJIKISTAN","154.34","324.09","478.43","-169.76"
"151.","SOUTH SUDAN","22.80","454.13","476.93","-431.33"
"152.","SOLOMON IS","8.24","437.02","445.25","-428.78"
"153.","ALBANIA","189.00","250.76","439.76","-61.76"
"154.","COMOROS","191.57","240.15","431.72","-48.59"
"155.","LUXEMBOURG","73.43","342.85","416.28","-269.42"
"156.","REUNION","298.99","116.33","415.32","182.67"
"157.","MACEDONIA","112.06","300.65","412.71","-188.60"
"158.","KYRGHYZSTAN","184.27","199.34","383.60","-15.07"
"159.","JAMAICA","336.84","28.07","364.91","308.77"
"160.","FIJI IS","349.75","3.15","352.90","346.60"
"161.","BURUNDI","245.46","106.47","351.93","138.99"
"162.","MONTENEGRO","332.50","0.06","332.56","332.44"
"163.","BAHAMAS","52.04","260.91","312.95","-208.86"
