Rank,Country,Export,Import,Total Trade,Trade Balance
"1.","CHINA P RP","13,333.53","76,380.70","89,714.23","-63,047.16"
"2.","U S A","47,878.48","26,611.03","74,489.51","21,267.44"
"3.","U ARAB EMTS","28,146.12","21,739.11","49,885.23","6,407.01"
"4.","SAUDI ARAB","5,410.70","22,069.96","27,480.66","-16,659.26"
"5.","HONG KONG","14,690.27","10,675.98","25,366.25","4,014.29"
"6.","GERMANY","8,687.80","13,295.71","21,983.51","-4,607.91"
"7.","KOREA RP","4,460.98","16,361.77","20,822.75","-11,900.80"
"8.","INDONESIA","3,963.77","16,438.80","20,402.57","-12,475.03"
"9.","SWITZERLAND","1,083.84","18,923.05","20,006.89","-17,839.21"
"10.","IRAQ","1,462.23","17,615.81","19,078.04","-16,153.58"
"11.","AUSTRALIA","4,012.32","13,993.75","18,006.07","-9,981.42"
"12.","SINGAPORE","10,202.82","7,466.99","17,669.82","2,735.83"
"13.","JAPAN","4,734.22","10,973.35","15,707.57","-6,239.13"
"14.","MALAYSIA","5,701.56","9,011.58","14,713.14","-3,310.02"
"15.","U K","9,691.07","4,806.75","14,497.82","4,884.32"
"16.","IRAN","2,652.37","11,111.52","13,763.89","-8,459.16"
"17.","VIETNAM SOC REP","7,813.08","5,018.55","12,831.64","2,794.53"
"18.","BELGIUM","6,206.88","5,993.41","12,200.29","213.47"
"19.","NIGERIA","2,254.92","9,501.33","11,756.26","-7,246.41"
"20.","UNSPECIFIED","2,429.68","9,194.62","11,624.30","-6,764.94"
"21.","FRANCE","4,900.27","6,524.16","11,424.43","-1,623.89"
"22.","THAILAND","3,653.83","7,134.46","10,788.29","-3,480.62"
"23.","RUSSIA","2,113.39","8,573.46","10,686.85","-6,460.08"
"24.","SOUTH AFRICA","3,825.21","6,834.70","10,659.91","-3,009.49"
"25.","ITALY","5,709.85","4,706.89","10,416.74","1,002.97"
"26.","QATAR","1,471.88","8,409.02","9,880.90","-6,937.14"
"27.","BANGLADESH PR","8,614.35","685.65","9,299.99","7,928.70"
"28.","NETHERLAND","6,261.14","2,512.63","8,773.76","3,748.51"
"29.","BRAZIL","3,063.49","5,498.22","8,561.71","-2,434.73"
"30.","KUWAIT","1,365.66","7,165.69","8,531.34","-5,800.03"
"31.","MEXICO","3,782.79","3,930.26","7,713.05","-147.47"
"32.","CANADA","2,506.15","4,728.51","7,234.66","-2,222.36"
"33.","TURKEY","5,090.70","2,132.20","7,222.89","2,958.50"
"34.","NEPAL","6,612.96","438.38","7,051.34","6,174.57"
"35.","OMAN","2,439.46","4,264.29","6,703.76","-1,824.83"
"36.","TAIWAN","2,156.67","3,926.25","6,082.91","-1,769.58"
"37.","VENEZUELA","79.21","5,866.37","5,945.58","-5,787.16"
"38.","SPAIN","3,995.11","1,663.37","5,658.48","2,331.74"
"39.","ISRAEL","3,364.05","2,066.51","5,430.56","1,297.54"
"40.","SRI LANKA DSR","4,476.46","772.63","5,249.09","3,703.83"
"41.","ANGOLA","234.92","4,323.85","4,558.77","-4,088.93"
"42.","EGYPT A RP","2,392.34","1,292.93","3,685.27","1,099.40"
"43.","GHANA","635.78","2,710.05","3,345.84","-2,074.27"
"44.","PERU","760.68","2,376.86","3,137.54","-1,616.18"
"45.","ARGENTINA","708.71","2,229.20","2,937.91","-1,520.50"
"46.","CHILE","763.56","2,092.15","2,855.71","-1,328.59"
"47.","UKRAINE","330.10","2,355.97","2,686.07","-2,025.87"
"48.","TANZANIA REP","1,618.80","1,029.71","2,648.51","589.08"
"49.","PHILIPPINES","1,692.83","764.36","2,457.20","928.47"
"50.","PAKISTAN IR","1,924.28","488.56","2,412.83","1,435.72"
"51.","POLAND","1,541.36","766.99","2,308.35","774.37"
"52.","SWEDEN","771.50","1,464.47","2,235.97","-692.98"
"53.","ALGERIA","823.23","1,260.98","2,084.20","-437.75"
"54.","KENYA","1,974.57","72.57","2,047.14","1,902.00"
"55.","MOZAMBIQUE","900.58","931.75","1,832.34","-31.17"
"56.","BOTSWANA","108.58","1,638.29","1,746.87","-1,529.71"
"57.","FINLAND","282.55","1,401.33","1,683.87","-1,118.78"
"58.","MYANMAR","966.19","639.64","1,605.84","326.55"
"59.","COLOMBIA","939.14","592.80","1,531.94","346.34"
"60.","JORDAN","540.82","984.98","1,525.80","-444.16"
"61.","AUSTRIA","460.03","973.33","1,433.35","-513.30"
"62.","ZAMBIA","294.29","1,094.98","1,389.27","-800.69"
"63.","DENMARK","784.10","564.55","1,348.66","219.55"
"64.","IRELAND","536.08","795.01","1,331.09","-258.93"
"65.","SENEGAL","724.11","564.94","1,289.05","159.17"
"66.","SUDAN","822.72","452.07","1,274.78","370.65"
"67.","MOROCCO","432.32","779.63","1,211.95","-347.30"
"68.","NORWAY","359.98","842.08","1,202.06","-482.09"
"69.","AFGHANISTAN TIS","709.75","433.78","1,143.53","275.97"
"70.","MAURITIUS","1,077.15","20.69","1,097.84","1,056.45"
"71.","CZECH REPUBLIC","405.36","669.54","1,074.90","-264.18"
"72.","KAZAKHSTAN","125.37","907.43","1,032.81","-782.06"
"73.","NEW ZEALAND","352.85","643.71","996.56","-290.86"
"74.","BAHARAIN IS","556.82","431.12","987.94","125.70"
"75.","COTE D' IVOIRE","511.75","441.70","953.45","70.05"
"76.","PORTUGAL","747.32","190.15","937.47","557.18"
"77.","BHUTAN","546.12","377.99","924.11","168.13"
"78.","GUINEA","377.94","514.63","892.57","-136.69"
"79.","DOMINIC REP","196.92","645.81","842.73","-448.90"
"80.","ROMANIA","398.90","411.72","810.62","-12.82"
"81.","BURKINA FASO","148.35","632.57","780.92","-484.22"
"82.","BOLIVIA","105.19","667.25","772.44","-562.06"
"83.","EQUTL GUINEA","10.77","755.64","766.41","-744.87"
"84.","ETHIOPIA","683.88","47.45","731.33","636.43"
"85.","YEMEN REPUBLC","563.46","153.05","716.52","410.41"
"86.","BENIN","479.72","223.02","702.74","256.71"
"87.","HUNGARY","402.69","270.84","673.53","131.86"
"88.","AZERBAIJAN","33.68","592.61","626.29","-558.93"
"89.","UGANDA","532.26","56.21","588.47","476.05"
"90.","TOGO","408.68","163.80","572.48","244.88"
"91.","GREECE","433.87","96.11","529.98","337.77"
"92.","BRUNEI","63.19","434.83","498.01","-371.64"
"93.","ECUADOR","279.80","193.97","473.78","85.83"
"94.","SOMALIA","455.52","3.55","459.07","451.97"
"95.","CONGO D. REP.","225.07","225.42","450.50","-0.35"
"96.","GABON","45.08","395.39","440.46","-350.31"
"97.","TUNISIA","281.77","140.25","422.02","141.52"
"98.","CAMEROON","193.94","212.82","406.76","-18.87"
"99.","SLOVENIA","284.13","112.08","396.21","172.05"
"100.","MADAGASCAR","228.11","167.67","395.78","60.44"
"101.","DJIBOUTI","376.46","5.44","381.91","371.02"
"102.","PARAGUAY","168.43","166.90","335.33","1.54"
"103.","CONGO P REP","116.69","198.81","315.49","-82.12"
"104.","BULGARIA","173.24","141.94","315.18","31.29"
"105.","GUATEMALA","291.93","15.97","307.90","275.96"
"106.","LEBANON","257.10","38.47","295.57","218.62"
"107.","LIBERIA","257.46","36.76","294.22","220.70"
"108.","LITHUANIA","103.84","189.38","293.23","-85.54"
"109.","GIBRALTAR","290.68","0.01","290.69","290.67"
"110.","PANAMA REPUBLIC","227.05","43.32","270.37","183.73"
"111.","GUINEA BISSAU","10.68","256.20","266.89","-245.52"
"112.","BELARUS","47.58","207.81","255.39","-160.23"
"113.","SLOVAK REP","152.46","95.20","247.66","57.26"
"114.","PAPUA N GNA","41.93","196.19","238.11","-154.26"
"115.","MALI","123.60","114.14","237.74","9.46"
"116.","UZBEKISTAN","132.72","101.67","234.39","31.05"
"117.","ZIMBABWE","163.54","62.20","225.74","101.34"
"118.","MALDIVES","217.00","5.68","222.68","211.33"
"119.","LIBYA","121.96","100.64","222.60","21.33"
"120.","MALAWI","199.60","16.45","216.05","183.15"
"121.","MALTA","195.86","15.95","211.81","179.92"
"122.","COSTA RICA","133.57","67.28","200.85","66.28"
"123.","CROATIA","168.68","32.05","200.73","136.62"
"124.","LAO PD RP","25.00","168.63","193.64","-143.63"
"125.","URUGUAY","159.45","24.98","184.43","134.48"
"126.","SYRIA","153.32","25.66","178.98","127.65"
"127.","GAMBIA","120.23","58.67","178.90","61.55"
"128.","CAMBODIA","121.41","55.84","177.24","65.57"
"129.","CHAD","27.29","149.47","176.75","-122.18"
"130.","LATVIA","112.22","52.63","164.85","59.59"
"131.","HONDURAS","146.17","13.32","159.49","132.85"
"132.","PUERTO RICO","78.05","74.87","152.93","3.18"
"133.","ESTONIA","80.33","60.54","140.86","19.79"
"134.","NIGER","120.21","20.24","140.46","99.97"
"135.","TRINIDAD","88.69","42.48","131.17","46.22"
"136.","LESOTHO","31.59","89.56","121.16","-57.97"
"137.","SIERRA LEONE","93.51","24.17","117.67","69.34"
"138.","CYPRUS","99.91","13.46","113.37","86.46"
"139.","SURINAME","17.38","92.76","110.14","-75.37"
