Rank,Country,Export,Import,Total Trade,Trade Balance
"1.","U ARAB EMTS","23,970.40","19,499.10","43,469.50","4,471.30"
"2.","CHINA P RP","11,617.88","30,824.02","42,441.90","-19,206.14"
"3.","U S A","19,535.49","16,973.68","36,509.17","2,561.82"
"4.","SAUDI ARAB","3,907.00","17,097.57","21,004.57","-13,190.57"
"5.","GERMANY","5,412.89","10,318.18","15,731.07","-4,905.29"
"6.","SWITZERLAND","589.39","14,698.43","15,287.82","-14,109.04"
"7.","SINGAPORE","7,592.17","6,454.57","14,046.74","1,137.60"
"8.","AUSTRALIA","1,384.96","12,407.37","13,792.33","-11,022.41"
"9.","IRAN","1,853.17","11,540.85","13,394.01","-9,687.68"
"10.","HONG KONG","7,887.81","4,734.30","12,622.12","3,153.51"
"11.","KOREA RP","3,421.05","8,576.07","11,997.12","-5,155.03"
"12.","INDONESIA","3,063.36","8,656.66","11,720.03","-5,593.30"
"13.","U K","6,221.39","4,461.67","10,683.06","1,759.72"
"14.","JAPAN","3,629.54","6,734.18","10,363.72","-3,104.64"
"15.","BELGIUM","3,759.26","6,019.20","9,778.46","-2,259.94"
"16.","KUWAIT","782.45","8,249.49","9,031.95","-7,467.04"
"17.","NIGERIA","1,408.67","7,287.90","8,696.57","-5,879.23"
"18.","NETHERLAND","6,397.56","2,130.00","8,527.56","4,267.56"
"19.","MALAYSIA","2,835.41","5,176.78","8,012.19","-2,341.36"
"20.","FRANCE","3,819.83","4,192.17","8,012.00","-372.35"
"21.","SOUTH AFRICA","2,058.50","5,674.50","7,732.99","-3,616.00"
"22.","IRAQ","477.13","7,026.93","7,504.06","-6,549.80"
"23.","ITALY","3,400.25","3,862.06","7,262.31","-461.81"
"24.","BRAZIL","2,414.29","3,437.97","5,852.25","-1,023.68"
"25.","QATAR","536.97","4,648.52","5,185.49","-4,111.55"
"26.","UNSPECIFIED","4,116.19","939.31","5,055.49","3,176.88"
"27.","ANGOLA","635.07","4,242.79","4,877.85","-3,607.72"
"28.","THAILAND","1,740.16","2,931.52","4,671.68","-1,191.36"
"29.","RUSSIA","980.69","3,566.79","4,547.49","-2,586.10"
"30.","OMAN","1,032.93","3,499.89","4,532.82","-2,466.96"
"31.","TAIWAN","1,877.34","2,612.66","4,490.00","-735.32"
"32.","ISRAEL","1,968.59","1,885.06","3,853.66","83.53"
"33.","CANADA","1,122.77","2,097.35","3,220.13","-974.58"
"34.","TURKEY","1,539.20","1,603.64","3,142.84","-64.43"
"35.","SPAIN","2,029.26","1,095.53","3,124.79","933.73"
"36.","EGYPT A RP","1,403.88","1,692.36","3,096.23","-288.48"
"37.","VENEZUELA","183.96","2,885.76","3,069.72","-2,701.81"
"38.","BANGLADESH PR","2,433.77","254.66","2,688.44","2,179.11"
"39.","SRI LANKA DSR","2,188.01","392.19","2,580.20","1,795.81"
"40.","VIETNAM SOC REP","1,838.95","521.81","2,360.76","1,317.14"
"41.","YEMEN REPUBLC","727.39","1,575.55","2,302.95","-848.16"
"42.","SWEDEN","476.63","1,590.14","2,066.76","-1,113.51"
"43.","NEPAL","1,533.31","452.61","1,985.93","1,080.70"
"44.","UKRAINE","289.03","1,593.52","1,882.55","-1,304.49"
"45.","PAKISTAN IR","1,573.32","275.94","1,849.26","1,297.38"
"46.","MEXICO","596.18","1,048.97","1,645.16","-452.79"
"47.","ALGERIA","574.19","995.32","1,569.51","-421.13"
"48.","KENYA","1,452.00","78.93","1,530.92","1,373.07"
"49.","MYANMAR","207.97","1,289.80","1,497.77","-1,081.84"
"50.","CHILE","277.32","1,119.38","1,396.70","-842.07"
"51.","FINLAND","208.36","1,010.66","1,219.02","-802.30"
"52.","DENMARK","580.42","592.37","1,172.79","-11.95"
"53.","TANZANIA REP","920.48","238.05","1,158.53","682.44"
"54.","NORWAY","228.91","907.35","1,136.26","-678.44"
"55.","MOROCCO","250.47","861.51","1,111.98","-611.04"
"56.","JORDAN","245.62","823.43","1,069.05","-577.81"
"57.","PHILIPPINES","748.77","313.07","1,061.84","435.70"
"58.","AUSTRIA","252.74","789.37","1,042.11","-536.63"
"59.","ARGENTINA","269.96","672.21","942.17","-402.26"
"60.","SUDAN","461.06","475.00","936.06","-13.95"
"61.","BAHAMAS","883.78","0.48","884.27","883.30"
"62.","LIBYA","221.98","622.64","844.62","-400.67"
"63.","COLOMBIA","389.09","424.15","813.25","-35.06"
"64.","POLAND","421.13","387.29","808.42","33.84"
"65.","NEW ZEALAND","255.17","499.21","754.38","-244.04"
"66.","BAHARAIN IS","250.21","502.86","753.07","-252.65"
"67.","CONGO P REP","196.20","545.20","741.40","-349.00"
"68.","CZECH REPUBLIC","177.76","562.45","740.21","-384.70"
"69.","MALTA","708.85","12.11","720.96","696.74"
"70.","GIBRALTAR","647.94","0.00","647.95","647.94"
"71.","GREECE","452.80","154.13","606.93","298.66"
"72.","AFGHANISTAN TIS","463.55","125.19","588.74","338.36"
"73.","ROMANIA","330.81","225.35","556.16","105.46"
"74.","GHANA","390.52","147.01","537.52","243.51"
"75.","IRELAND","260.57","264.82","525.39","-4.25"
"76.","SYRIA","345.43","144.69","490.13","200.74"
"77.","BELARUS","37.86","432.14","470.00","-394.28"
"78.","TUNISIA","213.55","252.83","466.38","-39.28"
"79.","HUNGARY","269.68","194.95","464.63","74.73"
"80.","MAURITIUS","453.43","10.89","464.31","442.54"
"81.","BRUNEI","24.44","428.65","453.09","-404.20"
"82.","PORTUGAL","374.57","71.06","445.63","303.50"
"83.","PANAMA REPUBLIC","78.09","366.35","444.43","-288.26"
"84.","KOREA DP RP","422.38","8.71","431.09","413.67"
"85.","MOZAMBIQUE","358.38","68.76","427.14","289.62"
"86.","SENEGAL","188.70","237.03","425.73","-48.33"
"87.","COTE D' IVOIRE","122.33","298.17","420.50","-175.85"
"88.","PERU","274.33","136.62","410.95","137.70"
"89.","GUINEA","79.35","320.24","399.59","-240.89"
"90.","BENIN","221.75","123.83","345.58","97.91"
"91.","AZERBAIJAN","29.91","284.83","314.74","-254.91"
"92.","SLOVENIA","192.58","118.14","310.72","74.44"
"93.","KAZAKHSTAN","136.54","154.91","291.44","-18.37"
"94.","EQUTL GUINEA","7.66","269.09","276.74","-261.43"
"95.","ETHIOPIA","253.67","18.59","272.26","235.07"
"96.","BHUTAN","118.86","153.11","271.98","-34.25"
"97.","DJIBOUTI","265.84","1.17","267.01","264.67"
"98.","TOGO","163.51","69.37","232.88","94.13"
"99.","UGANDA","206.93","13.38","220.31","193.54"
"100.","CAMEROON","77.22","137.38","214.59","-60.16"
"101.","TRINIDAD","149.15","57.68","206.83","91.47"
"102.","GABON","25.02","180.58","205.60","-155.56"
"103.","LATVIA","47.17","154.94","202.11","-107.77"
"104.","ZAMBIA","88.34","102.22","190.55","-13.88"
"105.","GUINEA BISSAU","3.19","184.20","187.39","-181.01"
"106.","MALAWI","81.36","103.76","185.12","-22.39"
"107.","ECUADOR","89.75","67.02","156.77","22.73"
"108.","CONGO D. REP.","10.12","144.71","154.83","-134.59"
"109.","LITHUANIA","66.39","72.69","139.08","-6.30"
"110.","LEBANON","131.33","6.78","138.11","124.55"
"111.","COSTA RICA","32.23","93.62","125.85","-61.40"
"112.","PAPUA N GNA","17.58","100.56","118.14","-82.98"
"113.","CROATIA","89.68","26.89","116.57","62.79"
"114.","NAMIBIA","63.07","41.88","104.94","21.19"
"115.","MADAGASCAR","85.71","19.03","104.74","66.68"
"116.","PUERTO RICO","87.73","13.35","101.08","74.37"
"117.","GUATEMALA","87.15","5.74","92.89","81.40"
"118.","UZBEKISTAN","54.03","29.97","84.00","24.06"
"119.","BULGARIA","50.89","32.63","83.53","18.26"
"120.","MALDIVES","79.86","3.63","83.49","76.24"
"121.","BR VIRGN IS","81.58","0.17","81.75","81.42"
"122.","SLOVAK REP","35.76","40.30","76.06","-4.54"
"123.","HONDURAS","45.53","25.34","70.87","20.19"
"124.","ZIMBABWE","48.70","21.10","69.80","27.60"
"125.","GEORGIA","55.86","10.30","66.16","45.56"
"126.","GAMBIA","36.99","28.94","65.93","8.04"
"127.","DOMINIC REP","55.20","9.50","64.70","45.70"
"128.","URUGUAY","48.33","16.04","64.37","32.29"
"129.","ESTONIA","28.92","32.94","61.85","-4.02"
"130.","CYPRUS","46.82","14.10","60.93","32.72"
"131.","SWAZILAND","20.26","33.01","53.28","-12.75"
"132.","CAMBODIA","45.54","5.05","50.60","40.49"
"133.","REUNION","34.29","15.46","49.76","18.83"
"134.","LIBERIA","29.58","19.05","48.63","10.53"
"135.","TURKMENISTAN","36.15","10.00","46.15","26.15"
"136.","MALI","42.24","3.86","46.10","38.38"
"137.","BURKINA FASO","36.46","6.14","42.61","30.32"
"138.","PARAGUAY","37.05","5.22","42.27","31.82"
"139.","SIERRA LEONE","37.15","4.16","41.31","32.99"
"140.","MACAO","40.58","0.36","40.94","40.22"
"141.","LUXEMBOURG","4.78","33.85","38.63","-29.07"
