Rank,Country,Export,Import,Total Trade,Trade Balance
"1.","U S A","36,380.45","15,427.39","51,807.84","20,953.06"
"2.","BELGIUM","5,926.38","15,951.96","21,878.33","-10,025.58"
"3.","U K","8,817.27","11,710.94","20,528.22","-2,893.67"
"4.","JAPAN","7,303.17","10,988.30","18,291.47","-3,685.13"
"5.","U ARAB EMTS","9,025.06","8,680.60","17,705.65","344.46"
"6.","GERMANY","7,532.92","7,977.52","15,510.44","-444.60"
"7.","HONG KONG","10,880.34","3,544.18","14,424.52","7,336.16"
"8.","NIGERIA","1,272.74","12,689.52","13,962.26","-11,416.79"
"9.","SAUDI ARAB","3,217.43","10,483.23","13,700.66","-7,265.79"
"10.","SWITZERLAND","1,532.60","11,256.56","12,789.16","-9,723.96"
"11.","Petroleum Products","129.91","11,119.02","11,248.93","-10,989.11"
"12.","MALAYSIA","1,937.35","8,447.34","10,384.68","-6,509.99"
"13.","SOUTH AFRICA","1,236.72","8,734.67","9,971.39","-7,497.94"
"14.","ITALY","4,852.20","3,180.38","8,032.58","1,671.81"
"15.","SINGAPORE","2,915.03","5,027.95","7,942.98","-2,112.92"
"16.","CHINA P RP","2,335.80","5,559.12","7,894.92","-3,223.33"
"17.","FRANCE","3,888.41","3,084.49","6,972.90","803.92"
"18.","KOREA RP","2,065.06","4,785.74","6,850.80","-2,720.68"
"19.","RUSSIA","4,107.61","2,700.43","6,808.04","1,407.18"
"20.","AUSTRALIA","1,747.53","4,687.54","6,435.07","-2,940.01"
"21.","KUWAIT","668.60","5,679.58","6,348.18","-5,010.97"
"22.","NETHERLAND","3,838.25","2,040.56","5,878.81","1,797.69"
"23.","INDONESIA","1,410.81","4,132.62","5,543.43","-2,721.82"
"24.","IRAN","658.88","4,720.91","5,379.79","-4,062.03"
"25.","ISRAEL","2,165.34","2,521.69","4,687.04","-356.35"
"26.","CANADA","2,505.81","1,648.84","4,154.65","856.98"
"27.","THAILAND","1,948.17","1,412.72","3,360.89","535.45"
"28.","TAIWAN","1,368.55","1,797.45","3,166.00","-428.91"
"29.","BANGLADESH PR","2,757.28","338.66","3,095.94","2,418.62"
"30.","SPAIN","2,374.43","606.16","2,980.58","1,768.27"
"31.","EGYPT A RP","1,025.66","1,923.39","2,949.05","-897.73"
"32.","SRI LANKA DSR","2,163.48","191.67","2,355.15","1,971.82"
"33.","BRAZIL","585.10","1,433.85","2,018.95","-848.76"
"34.","MOROCCO","113.35","1,820.40","1,933.75","-1,707.04"
"35.","ARGENTINA","271.32","1,505.67","1,777.00","-1,234.35"
"36.","SWEDEN","634.72","1,034.76","1,669.48","-400.04"
"37.","DENMARK","914.86","586.81","1,501.66","328.05"
"38.","NEPAL","655.31","817.41","1,472.71","-162.10"
"39.","YEMEN REPUBLC","347.78","1,105.83","1,453.62","-758.05"
"40.","JORDAN","271.96","1,138.60","1,410.57","-866.64"
"41.","TURKEY","820.88","418.41","1,239.29","402.48"
"42.","IRAQ","213.98","865.43","1,079.41","-651.45"
"43.","QATAR","154.09","908.99","1,063.08","-754.90"
"44.","MEXICO","610.50","418.11","1,028.61","192.39"
"45.","BAHARAIN IS","260.94","689.73","950.66","-428.79"
"46.","TUNISIA","121.83","810.91","932.74","-689.07"
"47.","TANZANIA REP","355.22","539.51","894.73","-184.28"
"48.","MYANMAR","147.76","743.56","891.33","-595.80"
"49.","PHILIPPINES","621.97","243.71","865.69","378.26"
"50.","FINLAND","251.01","601.30","852.31","-350.30"
"51.","OMAN","575.35","269.70","845.05","305.64"
"52.","UKRAINE","183.58","661.40","844.97","-477.82"
"53.","MAURITIUS","739.98","17.01","756.99","722.97"
"54.","VIETNAM SOC REP","668.92","49.94","718.86","618.98"
"55.","PAKISTAN IR","402.77","295.59","698.36","107.18"
"56.","NEW ZEALAND","278.85","418.17","697.02","-139.33"
"57.","CHILE","297.29","370.44","667.72","-73.15"
"58.","AUSTRIA","325.71","288.55","614.26","37.16"
"59.","KENYA","505.84","91.08","596.92","414.75"
"60.","IRELAND","347.30","241.30","588.59","106.00"
"61.","PORTUGAL","540.14","37.54","577.68","502.60"
"62.","COTE D' IVOIRE","149.43","422.39","571.82","-272.96"
"63.","POLAND","397.18","166.80","563.98","230.38"
"64.","GREECE","389.59","92.85","482.44","296.74"
"65.","SENEGAL","86.91","378.34","465.25","-291.43"
"66.","NORWAY","222.37","186.38","408.75","35.98"
"67.","KOREA DP RP","291.14","71.84","362.98","219.30"
"68.","PERU","142.35","214.62","356.97","-72.26"
"69.","SUDAN","309.72","28.64","338.36","281.08"
"70.","GHANA","268.45","48.92","317.37","219.53"
"71.","CZECH REPUBLIC","146.42","170.93","317.36","-24.51"
"72.","SYRIA","263.91","49.71","313.61","214.20"
"73.","BENIN","122.90","185.21","308.11","-62.31"
"74.","MOZAMBIQUE","138.18","146.05","284.23","-7.87"
"75.","ETHIOPIA","248.43","3.76","252.19","244.67"
"76.","AFGHANISTAN TIS","143.88","91.24","235.13","52.64"
"77.","ZAMBIA","100.90","112.45","213.35","-11.55"
"78.","BULGARIA","31.83","166.94","198.77","-135.11"
"79.","LEBANON","144.86","52.41","197.26","92.45"
"80.","GUINEA BISSAU","38.91","156.39","195.31","-117.48"
"81.","HUNGARY","137.38","53.66","191.04","83.72"
"82.","LIBYA","96.80","87.44","184.24","9.37"
"83.","UGANDA","169.25","9.83","179.08","159.42"
"84.","KAZAKHSTAN","117.82","58.30","176.13","59.52"
"85.","CYPRUS","154.05","8.43","162.48","145.62"
"86.","COLOMBIA","144.53","11.97","156.50","132.56"
"87.","ROMANIA","54.51","87.06","141.57","-32.55"
"88.","ZIMBABWE","80.05","60.78","140.83","19.26"
"89.","PANAMA REPUBLIC","137.53","0.66","138.19","136.87"
"90.","ALGERIA","62.21","73.91","136.13","-11.70"
"91.","TOGO","69.47","61.67","131.15","7.80"
"92.","URUGUAY","114.96","8.83","123.79","106.13"
"93.","MALTA","122.36","0.12","122.48","122.24"
"94.","VENEZUELA","101.12","11.13","112.26","89.99"
"95.","BHUTAN","32.82","78.06","110.88","-45.24"
"96.","LIBERIA","53.12","50.88","104.00","2.24"
"97.","CONGO P REP","96.87","4.21","101.07","92.66"
"98.","MALI","63.35","37.66","101.01","25.69"
"99.","UZBEKISTAN","43.07","56.21","99.27","-13.14"
"100.","MALAWI","87.39","2.72","90.11","84.67"
"101.","LITHUANIA","42.05","44.70","86.76","-2.65"
"102.","SLOVENIA","32.86","48.04","80.89","-15.18"
