Rank,Country,Export,Import,Total Trade,Trade Balance
"1.","U S A","8,395.61","3,560.22","11,955.83","4,835.39"
"2.","BELGIUM","1,367.65","3,681.27","5,048.92","-2,313.63"
"3.","U K","2,034.79","2,702.57","4,737.35","-667.78"
"4.","JAPAN","1,685.37","2,535.80","4,221.17","-850.43"
"5.","U ARAB EMTS","2,082.74","2,003.24","4,085.98","79.49"
"6.","GERMANY","1,738.39","1,840.99","3,579.38","-102.60"
"7.","HONG KONG","2,510.88","817.90","3,328.78","1,692.99"
"8.","NIGERIA","293.71","2,928.39","3,222.11","-2,634.68"
"9.","SAUDI ARAB","742.50","2,419.24","3,161.74","-1,676.75"
"10.","SWITZERLAND","353.68","2,597.71","2,951.39","-2,244.02"
"11.","Petroleum Products","29.98","2,565.97","2,595.94","-2,535.99"
"12.","MALAYSIA","447.09","1,949.41","2,396.50","-1,502.33"
"13.","SOUTH AFRICA","285.40","2,015.72","2,301.12","-1,730.32"
"14.","ITALY","1,119.75","733.95","1,853.70","385.81"
"15.","SINGAPORE","672.71","1,160.31","1,833.02","-487.60"
"16.","CHINA P RP","539.04","1,282.89","1,821.93","-743.86"
"17.","FRANCE","897.34","711.81","1,609.15","185.52"
"18.","KOREA RP","476.56","1,104.42","1,580.98","-627.86"
"19.","RUSSIA","947.92","623.18","1,571.11","324.74"
"20.","AUSTRALIA","403.28","1,081.76","1,485.04","-678.47"
"21.","KUWAIT","154.30","1,310.69","1,464.99","-1,156.39"
"22.","NETHERLAND","885.76","470.90","1,356.67","414.86"
"23.","INDONESIA","325.58","953.70","1,279.27","-628.12"
"24.","IRAN","152.05","1,089.46","1,241.51","-937.40"
"25.","ISRAEL","499.70","581.94","1,081.64","-82.24"
"26.","CANADA","578.27","380.51","958.78","197.77"
"27.","THAILAND","449.59","326.02","775.60","123.57"
"28.","TAIWAN","315.82","414.80","730.63","-98.98"
"29.","BANGLADESH PR","636.31","78.15","714.46","558.15"
"30.","SPAIN","547.95","139.88","687.84","408.07"
"31.","EGYPT A RP","236.70","443.87","680.56","-207.17"
"32.","SRI LANKA DSR","499.27","44.23","543.50","455.04"
"33.","BRAZIL","135.02","330.89","465.92","-195.87"
"34.","MOROCCO","26.16","420.10","446.26","-393.94"
"35.","ARGENTINA","62.61","347.47","410.08","-284.86"
"36.","SWEDEN","146.48","238.79","385.27","-92.32"
"37.","DENMARK","211.12","135.42","346.54","75.71"
"38.","NEPAL","151.23","188.63","339.86","-37.41"
"39.","YEMEN REPUBLC","80.26","255.20","335.46","-174.94"
"40.","JORDAN","62.76","262.76","325.52","-200.00"
"41.","TURKEY","189.44","96.56","285.99","92.88"
"42.","IRAQ","49.38","199.72","249.10","-150.34"
"43.","QATAR","35.56","209.77","245.33","-174.21"
"44.","MEXICO","140.89","96.49","237.38","44.40"
"45.","BAHARAIN IS","60.22","159.17","219.39","-98.95"
"46.","TUNISIA","28.12","187.13","215.25","-159.02"
"47.","TANZANIA REP","81.98","124.50","206.48","-42.53"
"48.","MYANMAR","34.10","171.59","205.69","-137.49"
"49.","PHILIPPINES","143.53","56.24","199.78","87.29"
"50.","FINLAND","57.93","138.76","196.69","-80.84"
"51.","OMAN","132.77","62.24","195.01","70.53"
"52.","UKRAINE","42.36","152.63","195.00","-110.27"
"53.","MAURITIUS","170.77","3.93","174.69","166.84"
"54.","VIETNAM SOC REP","154.37","11.52","165.89","142.84"
"55.","PAKISTAN IR","92.95","68.21","161.16","24.73"
"56.","NEW ZEALAND","64.35","96.50","160.85","-32.15"
"57.","CHILE","68.61","85.49","154.09","-16.88"
"58.","AUSTRIA","75.17","66.59","141.75","8.58"
"59.","KENYA","116.73","21.02","137.75","95.71"
"60.","IRELAND","80.15","55.68","135.83","24.46"
"61.","PORTUGAL","124.65","8.66","133.31","115.99"
"62.","COTE D' IVOIRE","34.49","97.48","131.96","-62.99"
"63.","POLAND","91.66","38.49","130.15","53.17"
"64.","GREECE","89.91","21.43","111.33","68.48"
"65.","SENEGAL","20.06","87.31","107.37","-67.25"
"66.","NORWAY","51.32","43.01","94.33","8.30"
"67.","KOREA DP RP","67.19","16.58","83.77","50.61"
"68.","PERU","32.85","49.53","82.38","-16.68"
"69.","SUDAN","71.47","6.61","78.08","64.86"
"70.","GHANA","61.95","11.29","73.24","50.66"
"71.","CZECH REPUBLIC","33.79","39.45","73.24","-5.66"
"72.","SYRIA","60.90","11.47","72.37","49.43"
"73.","BENIN","28.36","42.74","71.10","-14.38"
"74.","MOZAMBIQUE","31.89","33.70","65.59","-1.82"
"75.","ETHIOPIA","57.33","0.87","58.20","56.46"
"76.","AFGHANISTAN TIS","33.20","21.06","54.26","12.15"
"77.","ZAMBIA","23.28","25.95","49.23","-2.66"
"78.","BULGARIA","7.35","38.53","45.87","-31.18"
"79.","LEBANON","33.43","12.09","45.52","21.33"
"80.","GUINEA BISSAU","8.98","36.09","45.07","-27.11"
