Rank,Country,Export,Import,Total Trade,Trade Balance
"1.","U ARAB EMTS","33,822.39","32,753.16","66,575.55","1,069.22"
"2.","CHINA P RP","14,168.86","43,479.76","57,648.62","-29,310.90"
"3.","U S A","25,291.91","20,050.72","45,342.63","5,241.19"
"4.","SWITZERLAND","689.79","24,802.00","25,491.79","-24,112.21"
"5.","SAUDI ARAB","4,684.40","20,385.28","25,069.68","-15,700.88"
"6.","HONG KONG","10,320.26","9,415.40","19,735.66","904.85"
"7.","UNSPECIFIED","14,390.26","4,317.48","18,707.74","10,072.77"
"8.","GERMANY","6,751.18","11,891.37","18,642.55","-5,140.19"
"9.","SINGAPORE","9,825.44","7,139.31","16,964.75","2,686.13"
"10.","INDONESIA","5,700.78","9,918.63","15,619.41","-4,217.85"
"11.","BELGIUM","5,784.38","8,609.82","14,394.20","-2,825.44"
"12.","KOREA RP","3,727.29","10,475.29","14,202.58","-6,748.00"
"13.","JAPAN","5,091.24","8,632.03","13,723.27","-3,540.80"
"14.","IRAN","2,492.90","10,928.21","13,421.12","-8,435.31"
"15.","NIGERIA","2,098.94","10,787.72","12,886.65","-8,688.78"
"16.","U K","7,284.96","5,396.78","12,681.73","1,888.18"
"17.","AUSTRALIA","1,713.02","10,789.00","12,502.01","-9,075.98"
"18.","KUWAIT","1,856.01","10,313.64","12,169.65","-8,457.64"
"19.","SOUTH AFRICA","3,912.37","7,140.55","11,052.91","-3,228.18"
"20.","MALAYSIA","3,871.17","6,523.58","10,394.75","-2,652.41"
"21.","IRAQ","678.14","9,008.30","9,686.44","-8,330.16"
"22.","NETHERLAND","7,677.56","1,853.10","9,530.66","5,824.47"
"23.","FRANCE","5,209.57","3,704.57","8,914.14","1,505.00"
"24.","ITALY","4,551.58","4,256.02","8,807.59","295.56"
"25.","BRAZIL","4,024.16","3,548.88","7,573.04","475.28"
"26.","QATAR","375.39","6,819.87","7,195.27","-6,444.48"
"27.","THAILAND","2,274.21","4,272.09","6,546.31","-1,997.88"
"28.","TAIWAN","2,301.49","3,961.11","6,262.60","-1,659.62"
"29.","ANGOLA","675.44","5,112.12","5,787.56","-4,436.68"
"30.","VENEZUELA","176.00","5,209.96","5,385.96","-5,033.96"
"31.","RUSSIA","1,689.43","3,600.02","5,289.45","-1,910.59"
"32.","ISRAEL","2,919.78","2,253.51","5,173.28","666.27"
"33.","OMAN","1,082.24","4,002.07","5,084.31","-2,919.83"
"34.","SPAIN","2,565.29","1,487.58","4,052.87","1,077.71"
"35.","SRI LANKA DSR","3,507.50","501.73","4,009.23","3,005.78"
"36.","VIETNAM SOC REP","2,651.44","1,064.90","3,716.34","1,586.54"
"37.","BANGLADESH PR","3,242.90","446.75","3,689.66","2,796.15"
"38.","TURKEY","2,749.15","821.06","3,570.21","1,928.09"
"39.","CANADA","1,348.82","2,029.98","3,378.80","-681.16"
"40.","EGYPT A RP","1,982.43","1,354.56","3,336.98","627.87"
"41.","NEPAL","2,168.06","513.40","2,681.47","1,654.66"
"42.","ALGERIA","781.94","1,816.19","2,598.13","-1,034.25"
"43.","PAKISTAN IR","2,039.53","332.51","2,372.05","1,707.02"
"44.","KENYA","2,182.01","123.98","2,305.99","2,058.02"
"45.","YEMEN REPUBLC","514.10","1,743.90","2,258.00","-1,229.80"
"46.","SWEDEN","627.73","1,619.38","2,247.12","-991.65"
