Rank,Country,Export,Import,Total Trade,Trade Balance
"1.","U ARAB EMTS","153,866.13","149,123.38","302,989.51","4,742.75"
"2.","CHINA P RP","64,315.14","198,079.08","262,394.22","-133,763.93"
"3.","U S A","115,194.50","91,358.50","206,553.01","23,836.00"
"4.","SWITZERLAND","3,137.90","112,739.57","115,877.47","-109,601.67"
"5.","SAUDI ARAB","21,296.07","92,854.91","114,150.98","-71,558.84"
"6.","HONG KONG","47,038.42","42,825.12","89,863.53","4,213.30"
"7.","UNSPECIFIED","65,619.89","19,620.49","85,240.38","45,999.40"
"8.","GERMANY","30,718.54","54,136.02","84,854.55","-23,417.48"
"9.","SINGAPORE","44,731.73","32,545.77","77,277.50","12,185.97"
"10.","INDONESIA","25,924.41","45,136.29","71,060.70","-19,211.89"
"11.","BELGIUM","26,347.04","39,178.67","65,525.70","-12,831.63"
"12.","KOREA RP","16,952.81","47,712.48","64,665.28","-30,759.67"
"13.","JAPAN","23,179.03","39,309.31","62,488.34","-16,130.27"
"14.","IRAN","11,336.89","49,724.63","61,061.52","-38,387.73"
"15.","NIGERIA","9,541.66","49,005.15","58,546.81","-39,463.48"
"16.","U K","33,172.65","24,561.69","57,734.34","8,610.96"
"17.","AUSTRALIA","7,802.98","49,187.56","56,990.53","-41,384.58"
"18.","KUWAIT","8,447.10","46,976.03","55,423.13","-38,528.93"
"19.","SOUTH AFRICA","17,884.66","32,525.14","50,409.80","-14,640.48"
"20.","MALAYSIA","17,677.21","29,745.90","47,423.11","-12,068.69"
"21.","IRAQ","3,075.06","40,977.25","44,052.30","-37,902.19"
"22.","NETHERLAND","34,949.70","8,421.68","43,371.38","26,528.02"
"23.","FRANCE","23,687.48","16,866.57","40,554.05","6,820.91"
"24.","ITALY","20,690.68","19,394.70","40,085.38","1,295.98"
"25.","BRAZIL","18,335.86","16,064.30","34,400.16","2,271.56"
"26.","QATAR","1,709.14","31,035.83","32,744.98","-29,326.69"
"27.","THAILAND","10,346.26","19,459.91","29,806.17","-9,113.65"
"28.","TAIWAN","10,479.17","18,036.78","28,515.95","-7,557.61"
"29.","ANGOLA","3,060.51","23,273.04","26,333.55","-20,212.53"
"30.","VENEZUELA","799.17","23,748.25","24,547.42","-22,949.07"
"31.","RUSSIA","7,706.14","16,416.66","24,122.80","-8,710.52"
"32.","ISRAEL","13,282.60","10,263.45","23,546.04","3,019.15"
"33.","OMAN","4,923.01","18,184.33","23,107.34","-13,261.32"
"34.","SPAIN","11,682.60","6,776.20","18,458.80","4,906.40"
"35.","SRI LANKA DSR","15,950.89","2,278.73","18,229.63","13,672.16"
"36.","VIETNAM SOC REP","12,045.07","4,847.59","16,892.66","7,197.48"
"37.","BANGLADESH PR","14,752.47","2,031.39","16,783.86","12,721.09"
"38.","TURKEY","12,509.82","3,742.45","16,252.27","8,767.36"
"39.","CANADA","6,139.89","9,243.31","15,383.19","-3,103.42"
"40.","EGYPT A RP","9,026.43","6,157.86","15,184.29","2,868.58"
"41.","NEPAL","9,870.81","2,338.95","12,209.76","7,531.86"
"42.","ALGERIA","3,557.87","8,272.86","11,830.73","-4,714.99"
"43.","PAKISTAN IR","9,254.77","1,513.95","10,768.73","7,740.82"
"44.","KENYA","9,947.53","566.11","10,513.64","9,381.41"
"45.","YEMEN REPUBLC","2,351.68","7,966.39","10,318.07","-5,614.70"
"46.","SWEDEN","2,857.91","7,367.67","10,225.58","-4,509.77"
"47.","BAHAMAS","9,930.38","20.29","9,950.66","9,910.09"
"48.","MEXICO","4,154.49","5,268.83","9,423.31","-1,114.34"
"49.","CHILE","2,313.37","7,056.38","9,369.75","-4,743.02"
"50.","UKRAINE","2,333.29","6,459.33","8,792.62","-4,126.04"
"51.","FINLAND","1,160.03","7,527.69","8,687.72","-6,367.67"
